"Timestamp","Subject ID","How engaging did you find the episode?","How easy/difficult was it to follow the episode?","How well do you feel you recalled the events of the episode?","How well do you feel you learned the characters' names over the course of the episode?","How tired do you feel?"
"2018/10/19 2:18:28 PM EST","MD-101318-A-01","Neutral","Somewhat difficult","Neutral","Somewhat well","A little alert"
"2018/10/19 3:13:47 PM EST","MD-101218-A-04","A little engaging","Neutral","Neutral","Neutral","Very tired"
"2018/10/19 4:29:29 PM EST","MD-101318-A-03","Very boring","Neutral","Neutral","Not very well","A little tired"
"2018/10/19 4:30:54 PM EST","MD-101318-B-03","Neutral","Very easy","Somewhat well","Very well","Neutral"
"2018/10/19 6:34:05 PM EST","MD-101318-B-04","Very engaging","Very easy","Somewhat well","Neutral","Neutral"
"2018/10/20 12:55:16 PM EST","MD-101318-B-01","Very engaging","Neutral","Somewhat well","Very well","A little alert"
"2018/10/20 1:01:21 PM EST","MD-101318-B-02","Very engaging","Very easy","Not very well","Somewhat well","A little alert"
"2018/10/20 1:56:02 PM EST","MD-101318-A-02","Very engaging","Somewhat difficult","Neutral","Somewhat well","A little tired"
"2018/10/20 3:01:06 PM EST","MD-102018-A-01","A little engaging","Somewhat easy","Very well","Somewhat well","A little tired"
"2018/10/20 3:15:17 PM EST","MD-102018-B-01","Very engaging","Somewhat easy","Somewhat well","Very well","A little alert"
"2018/10/20 4:14:25 PM EST","MD-101318-A-04","Very engaging","Somewhat easy","Somewhat well","Somewhat well","Neutral"
"2018/10/20 4:14:38 PM EST","MD-102018-A-02","A little engaging","Somewhat difficult","Somewhat well","Somewhat well","A little tired"
"2018/10/20 5:17:24 PM EST","MD-102018-B-02","A little engaging","Neutral","Neutral","Not very well","Neutral"
"2018/10/20 5:18:44 PM EST","MD-101318-B-06","A little boring","Very difficult","Neutral","Not very well","A little tired"
"2018/10/20 6:33:49 PM EST","MD-102018-A-03","A little engaging","Very easy","Very well","Not well at all","Neutral"
"2018/10/21 7:11:38 PM EST","MD-102118-A-01","Very engaging","Very easy","Very well","Neutral","A little tired"
"2018/10/22 11:37:09 AM EST","MD-102218-B-01","A little engaging","Somewhat difficult","Somewhat well","Very well","A little alert"
"2018/10/22 12:38:39 PM EST","MD-102218-A-01","Very engaging","Somewhat easy","Very well","Not very well","Very tired"
"2018/10/22 12:40:24 PM EST","MD-102218-B-02","Very engaging","Somewhat difficult","Not very well","Not very well","A little tired"
"2018/10/22 1:52:12 PM EST","MD-102218-A-02","A little engaging","Neutral","Somewhat well","Somewhat well","Neutral"
"2018/10/22 2:09:20 PM EST","MD-102218-B-03","Very engaging","Somewhat easy","Somewhat well","Somewhat well","A little tired"
"2018/10/22 3:06:34 PM EST","MD-102218-A-04","A little engaging","Somewhat easy","Somewhat well","Somewhat well","Very tired"
"2018/10/22 3:17:02 PM EST","MD-102218-B-04","A little engaging","Somewhat difficult","Neutral","Neutral","Neutral"
"2018/10/22 4:10:17 PM EST","MD-102218-B-05","Very engaging","Very easy","Very well","Very well","A little tired"
"2018/10/22 4:37:52 PM EST","MD-102218-A-05","Neutral","Somewhat difficult","Very well","Somewhat well","A little tired"
"2018/10/22 5:27:45 PM EST","MD-102218-B-06","Very engaging","Somewhat easy","Somewhat well","Somewhat well","Neutral"
"2018/10/22 6:08:42 PM EST","MD-102218-A-06","Very engaging","Somewhat easy","Neutral","Neutral","Neutral"
"2018/10/22 6:28:53 PM EST","MD-102218-B-07","A little engaging","Very easy","Somewhat well","Neutral","A little tired"
"2018/10/22 7:13:11 PM EST","MD-102218-A-07","Very engaging","Somewhat difficult","Very well","Very well","Neutral"
"2018/10/23 1:43:19 PM EST","MD-102318-A-01","Very engaging","Neutral","Very well","Very well","A little alert"
"2018/10/23 2:29:26 PM EST","MD-101618-B-04","A little engaging","Somewhat easy","Somewhat well","Somewhat well","A little tired"
"2018/10/23 3:22:41 PM EST","MD-101618-A-01","Very engaging","Somewhat easy","Somewhat well","Somewhat well","Neutral"
"2018/10/23 3:45:50 PM EST","MD-101618-B-01","Very engaging","Somewhat difficult","Neutral","Somewhat well","Very tired"
"2018/10/23 4:29:39 PM EST","MD-101618-B-02","Very engaging","Very easy","Somewhat well","Very well","Neutral"
"2018/10/23 4:49:00 PM EST","MD-101618-A-03","Very engaging","Very easy","Somewhat well","Somewhat well","Very alert"
"2018/10/23 5:40:25 PM EST","MD-101618-B-03","A little engaging","Somewhat easy","Neutral","Not very well","A little tired"
"2018/10/23 6:43:47 PM EST","MD-101618-A-04","A little engaging","Very easy","Somewhat well","Not very well","Neutral"
"2018/10/23 6:49:04 PM EST","MD-101618-A-02","Very engaging","Very easy","Somewhat well","Somewhat well","A little tired"
"2018/10/28 12:38:36 PM EST","MD-102118-A-01","Very engaging","Somewhat easy","Very well","Neutral","A little tired"
"2018/10/28 12:52:09 PM EST","MD-102218-A-05","Neutral","Somewhat easy","Somewhat well","Not very well","Neutral"
"2018/10/28 1:30:14 PM EST","MD-102218-A-02","A little engaging","Somewhat easy","Not very well","Somewhat well","Very tired"
"2018/10/28 2:38:32 PM EST","MD-102218-B-07","A little engaging","Very easy","Somewhat well","Very well","A little tired"
"2018/10/28 3:50:06 PM EST","MD-102018-B-02","Neutral","Somewhat difficult","Not very well","Not very well","A little tired"
"2018/10/28 3:58:59 PM EST","MD-102018-B-01","Very engaging","Somewhat easy","Very well","Very well","A little tired"
"2018/10/28 5:05:34 PM EST","MD-101218-A-03","A little engaging","Neutral","Somewhat well","Somewhat well","Neutral"
"2018/10/28 6:05:33 PM EST","MD-101218-A-06","A little engaging","Neutral","Not very well","Not very well","Neutral"
"2018/10/28 6:20:25 PM EST","MD-102018-A-01","A little engaging","Somewhat easy","Not very well","Not very well","A little tired"
"2018/10/28 7:22:58 PM EST","MD-102018-A-02","Very engaging","Somewhat easy","Neutral","Somewhat well","A little tired"
"2018/10/29 11:10:29 AM EST","MD-102218-B-01","A little engaging","Somewhat difficult","Somewhat well","Very well","A little tired"
"2018/10/29 3:22:09 PM EST","MD-102218-B-02","Very engaging","Neutral","Somewhat well","Very well","A little tired"
"2018/10/29 3:43:52 PM EST","MD-102218-B-05","A little engaging","Very easy","Very well","Very well","Neutral"
"2018/10/29 4:41:15 PM EST","MD-102218-A-04","A little engaging","Somewhat difficult","Not very well","Somewhat well","Very tired"
"2018/10/29 4:56:36 PM EST","MD-102218-B-03","A little engaging","Somewhat easy","Somewhat well","Neutral","Neutral"
"2018/10/29 5:45:16 PM EST","MD-102118-B-06","Very engaging","Somewhat easy","Somewhat well","Somewhat well","Neutral"
"2018/10/29 8:10:25 PM EST","MD-102218-A-01","A little engaging","Somewhat easy","Not very well","Not very well","Very tired"
"2018/10/29 8:24:19 PM EST","MD-102218-A-07","Very engaging","Somewhat difficult","Neutral","Very well","A little tired"
"2019/01/31 3:36:21 PM EST","MD-013119-A-01","A little engaging","Very easy","Very well","Somewhat well","A little tired"
"2019/01/31 6:59:51 PM EST","MD-013119-B-01","Very engaging","Very easy","Somewhat well","Somewhat well","Neutral"
"2019/01/31 7:00:38 PM EST","MD-011319-A-02","Very engaging","Very easy","Somewhat well","Somewhat well","Very alert"
"2019/02/01 3:02:56 PM EST","MD-020119-A-02","Very engaging","Somewhat difficult","Very well","Neutral","A little alert"
"2019/02/01 4:10:43 PM EST","MD-020119-B-02","A little engaging","Very easy","Somewhat well","Very well","A little tired"
"2019/02/01 4:18:56 PM EST","MD-020119-A-03","A little engaging","Very easy","Somewhat well","Somewhat well","A little tired"
"2019/02/01 5:19:29 PM EST","MD-020119-B-03","Very engaging","Somewhat easy","Very well","Very well","A little tired"
"2019/02/01 6:49:58 PM EST","MD-020119-A-04","Very engaging","Somewhat easy","Somewhat well","Somewhat well","A little alert"
"2019/02/06 7:02:03 PM EST","MD-013119-B-01","A little boring","Somewhat difficult","Neutral","Somewhat well","A little tired"
"2019/02/07 12:33:55 PM EST","MD-020119-A-02","Very engaging","Somewhat easy","Neutral","Neutral","A little tired"
"2019/02/07 3:33:43 PM EST","MD-020119-A-03","A little engaging","Somewhat easy","Somewhat well","Very well","Very tired"
"2019/02/07 3:45:00 PM EST","MD-013119-A-01","A little engaging","Somewhat easy","Neutral","Not very well","Very tired"
"2019/02/07 5:19:03 PM EST","MD-020719-B-01","Very engaging","Somewhat easy","Very well","Neutral","A little tired"
"2019/02/07 5:30:29 PM EST","MD-020119-B-03","A little engaging","Somewhat difficult","Not very well","Not well at all","Very alert"
"2019/02/07 6:52:37 PM EST","MD-013119-A-02","A little engaging","Very easy","Somewhat well","Somewhat well","Neutral"
"2019/02/08 11:20:42 AM EST","MD-020119-A-04","A little engaging","Neutral","Somewhat well","Neutral","Neutral"
"2019/02/08 3:16:22 PM EST","MD-020819-B-01","Very engaging","Very easy","Very well","Somewhat well","A little tired"
"2019/02/08 4:19:16 PM EST","MD-020119-B-02","Very engaging","Very easy","Somewhat well","Very well","A little tired"
"2019/02/14 12:07:54 PM EST","MD-020819-B-01","Very engaging","Very easy","Somewhat well","Neutral","Neutral"
"2019/02/15 1:47:01 PM EST","MD-021519-A-01","A little engaging","Somewhat difficult","Somewhat well","Somewhat well","A little tired"
"2019/02/15 3:22:45 PM EST","MD-020719-B-01","A little engaging","Neutral","Neutral","Not very well","A little tired"
"2019/02/18 4:49:22 PM EST","MD-021819-B-01","A little engaging","Somewhat difficult","Neutral","Neutral","A little tired"
"2019/02/18 5:55:53 PM EST","MD-021819-B-02","A little engaging","Somewhat difficult","Not very well","Somewhat well","A little alert"
"2019/02/19 2:56:11 PM EST","MD-021919-A-01","Very engaging","Somewhat easy","Somewhat well","Neutral","Neutral"
"2019/02/19 5:22:34 PM EST","MD-021919-B-01","A little engaging","Neutral","Very well","Neutral","A little alert"
"2019/02/19 6:43:41 PM EST","MD-021919-A-02","Very engaging","Somewhat easy","Very well","Somewhat well","A little tired"
"2019/02/20 4:31:36 PM EST","MD-022019-B-01","Very engaging","Somewhat easy","Somewhat well","Not well at all","Neutral"
"2019/02/22 1:48:22 PM EST","MD-021519-A-01","Very engaging","Very difficult","Somewhat well","Neutral","A little tired"
"2019/02/25 1:46:05 PM EST","MD-022519-A-01","Very engaging","Neutral","Somewhat well","Neutral","A little tired"
"2019/02/25 4:52:18 PM EST","MD-021819-B-01","A little engaging","Somewhat easy","Not very well","Somewhat well","Very tired"
"2019/02/25 6:18:15 PM EST","MD-021819-B-02","A little engaging","Somewhat difficult","Not very well","Not very well","A little alert"
"2019/02/27 1:57:47 PM EST","MD-021919-A-01","A little boring","Neutral","Somewhat well","Somewhat well","A little tired"
"2019/02/27 4:33:07 PM EST","MD-022719-A-01","Very engaging","Very easy","Somewhat well","Not very well","Neutral"
"2019/02/27 5:16:03 PM EST","MD-021919-B-01","Neutral","Somewhat difficult","Not very well","Not very well","Neutral"
"2019/02/27 6:48:35 PM EST","MD-021919-A-02","Very engaging","Very easy","Very well","Not well at all","A little tired"
"2019/02/28 5:43:22 PM EST","MD--22819-B-01","Very engaging","Somewhat easy","Very well","Somewhat well","Neutral"
"2019/02/28 6:48:27 PM EST","MD-022819-B-02","A little engaging","Neutral","Very well","Somewhat well","A little tired"
"2019/03/04 2:04:53 PM EST","MD-022519-A-01","Very engaging","Somewhat easy","Somewhat well","Neutral","A little tired"
"2019/03/05 12:10:33 PM EST","MD-022719-A-01","Very engaging","Very easy","Neutral","Neutral","A little tired"
"2019/03/06 1:40:55 PM EST","MD-022819-B-02","Very engaging","Very easy","Somewhat well","Neutral","Neutral"
"2019/03/06 8:14:11 PM EST","MD-022819-B-01","Very engaging","Very easy","Not very well","Not very well","Neutral"
