Feature,../../data/brains/away_from_mni.nii.gz
alff,-0.0218
algorithm,-0.0031
allele,-0.0474
allocation,-0.0178
allow,0.0205
allowed,0.0049
allowing,-0.0127
allows,-0.0091
alpha,0.0169
alter,-0.0195
alteration,-0.027
alterations,-0.0478
altered,-0.0347
alternating,0.0027
alternative,-0.032
alters,-0.0246
alzheimer,-0.0453
alzheimer disease,-0.0489
ambiguous,0.0472
amnestic,-0.0505
amplitude,0.0122
amplitude low,-0.0295
amplitudes,0.0065
amygdala,0.0093
amygdala anterior,0.0068
amygdala hippocampus,0.0185
amygdala insula,0.0132
amygdala response,-0.0158
amygdala responses,0.0237
analysed,0.024
analyses,0.0126
analyze,0.0049
analyzed,0.0251
analyzed using,0.0059
analyzing,-0.0179
anatomical,0.0735
anatomically,0.0049
anatomy,0.0699
anger,0.0373
angry,0.0011
angular,-0.023
angular gyrus,-0.0274
animal,-0.0059
animals,-0.0174
anisotropy,0.005
anisotropy fa,0.0074
anterior,-0.0623
anterior cingulate,-0.0831
anterior hippocampus,-0.0283
anterior insula,0.0262
anterior insular,0.0283
anterior intraparietal,-0.018
anterior medial,-0.046
anterior posterior,-0.013
anterior prefrontal,-0.0667
anterior superior,0.0914
anterior temporal,0.079
anti,-0.0221
anticipation,-0.0459
anticipatory,-0.0167
anxiety,-0.0447
anxiety disorders,-0.0089
apart,0.0323
aphasia,0.0984
apparent,0.0196
appear,0.014
appeared,-0.0223
appears,-0.0267
application,-0.007
applied,0.0627
apply,-0.0299
applying,-0.0124
appraisal,-0.012
approach,-0.0125
approaches,-0.0
appropriate,-0.0228
approximately,-0.0268
architecture,-0.0388
argue,0.04
arise,0.0001
arithmetic,-0.0446
arm,0.0545
arousal,0.0216
arterial,-0.0095
arterial spin,-0.0069
articulatory,0.1103
asd,-0.0169
asked,0.0178
aspect,-0.0142
aspects,0.0398
assess,-0.026
assessed,-0.0064
assessed using,-0.0037
assessing,0.0027
assessment,-0.0156
assessments,-0.0065
assigned,-0.0374
association,0.002
associations,-0.051
associative,0.0263
assume,0.0219
assumed,0.0231
assumption,0.0078
asymmetry,0.0563
atrophy,-0.0231
attempt,0.0378
attempted,0.0168
attend,0.0015
attended,-0.0131
attending,-0.0278
attention,-0.1161
attention deficit,-0.0319
attention network,-0.0794
attention task,-0.0612
attentional,-0.1158
attentional control,-0.0647
attenuated,-0.0232
attenuation,-0.0157
attributed,-0.0008
attributes,0.041
attribution,0.0101
atypical,-0.015
audiovisual,0.0913
auditory,0.1735
auditory cortex,0.1524
auditory stimuli,0.098
auditory visual,0.0951
autism,-0.0098
autism spectrum,-0.0096
autobiographical,-0.0192
autobiographical memory,-0.0258
automated,0.0275
automatic,-0.0145
automatically,0.0323
autonomic,0.0077
available,0.0616
average,0.0189
aversive,-0.009
avoid,0.0176
avoidance,-0.0567
awareness,-0.0299
away,-0.0561
axis,-0.0224
ba,0.0102
ba 44,0.0638
background,-0.0636
balance,0.0176
band,0.0232
bands,0.0045
basal,0.0226
basal ganglia,0.0204
baseline,0.0299
bases,0.0472
basic,0.0648
basis,-0.0071
bayesian,-0.0039
beginning,0.0214
behavior,-0.0975
behavioral,-0.0555
behavioral evidence,0.0154
behavioral level,-0.0309
behavioral measures,-0.0314
behavioral performance,-0.0451
behavioral responses,0.0252
behaviorally,-0.0233
behaviors,-0.045
behaviour,-0.0385
behavioural,0.0123
belief,0.011
beliefs,-0.0221
believed,-0.02
beneficial,-0.029
benefit,-0.0105
benefits,-0.012
best,0.0151
beta,0.0046
better,-0.0163
better understanding,0.0232
bias,-0.0624
biased,-0.0201
biases,-0.0345
bilaterally,0.0335
bilinguals,0.064
binding,-0.0079
biological,-0.0226
biomarker,-0.0038
biomarkers,-0.017
bipolar,-0.0278
bipolar disorder,-0.031
blind,-0.0162
block,0.0291
block design,0.0505
blocked,-0.0101
blocks,0.0018
blood,0.007
blood flow,-0.0068
blood oxygen,0.0159
blood oxygenation,-0.0011
bodily,0.0322
body,-0.0153
bold,0.0222
bold response,0.0245
bold responses,0.0247
bold signal,-0.01
bold signals,-0.0043
brains,0.0252
brainstem,0.0247
brief,0.0092
broad,-0.0043
broader,-0.0291
broca,0.1399
brodmann,0.0243
brodmann ba,0.0248
button,-0.0129
calculated,0.0231
calculation,-0.0641
called,-0.0144
callosum,0.0129
candidate,0.0671
canonical,-0.0141
capacity,-0.0424
capture,-0.0237
carried,-0.0006
carriers,-0.0495
case,0.0567
cases,0.0037
categorical,0.0031
categories,-0.0019
categorization,0.0082
category,-0.0157
caudal,0.0231
caudate,-0.031
caudate nucleus,-0.0616
causal,0.0389
causal modeling,0.0245
causality,0.0167
cause,-0.0344
caused,-0.0248
causes,0.0049
center,0.0351
centered,-0.0131
central,-0.006
central role,-0.0305
cerebellar,0.0116
cerebellum,0.0421
cerebral,0.0271
cerebral blood,-0.0073
cerebral cortex,0.0415
certain,0.0065
challenge,-0.0263
challenges,0.008
challenging,-0.0083
change,-0.0006
changed,-0.0457
changing,-0.0503
character,0.0254
characteristic,-0.0435
characteristics,-0.0016
characterization,-0.0002
characterize,-0.0686
characterized,-0.0435
characterizing,-0.0051
characters,0.0028
childhood,-0.0241
children,-0.0088
children adolescents,-0.0323
chinese,0.0385
choice,-0.0967
choices,-0.0924
choose,-0.0605
chosen,-0.0254
chronic,0.0336
chronic pain,0.0064
cingulate,-0.09
cingulate cortex,-0.0686
cingulate cortices,-0.0316
cingulate gyrus,-0.0468
circuit,-0.0005
circuitry,-0.0234
circuits,0.0032
clarify,0.0176
class,0.0446
classic,0.0056
classical,0.0376
classification,-0.0113
classified,-0.0253
clear,0.0263
clearly,0.0172
clinical,0.0032
clinically,-0.0048
clips,-0.0287
close,-0.0158
closed,-0.0253
closely,-0.002
cluster,0.0373
clustering,0.005
clusters,0.0287
code,-0.0103
coding,-0.012
cognition,-0.0581
cognitive,-0.0928
cognitive control,-0.0881
cognitive deficits,-0.0198
cognitive emotional,-0.0138
cognitive function,-0.0263
cognitive functions,-0.0048
cognitive impairment,-0.0551
cognitive neuroscience,0.0462
cognitive performance,-0.0532
cognitive processes,-0.0401
cognitive task,-0.0327
cognitive tasks,-0.0607
cognitively,-0.0678
coherence,0.0093
coherent,-0.0087
cohort,-0.0127
collected,-0.0132
collectively,-0.0334
color,-0.094
combination,0.037
combinations,0.0464
combined,0.0161
combining,0.0013
common,-0.0256
commonly,0.0181
communication,0.0661
community,0.0099
comparable,0.0284
compare,-0.0149
comparing,0.0482
comparisons,-0.0286
compatible,0.0377
compensate,0.039
compensation,0.0093
compensatory,-0.0199
competing,0.0177
competition,0.0012
complementary,0.0335
complete,0.0066
completed,-0.0525
completely,-0.0192
complex,0.0265
complexity,0.0708
component,-0.0437
component ica,-0.036
components,-0.0177
composed,0.0214
comprehension,0.1609
comprehensive,0.0192
comprised,-0.0297
compromised,-0.0375
compulsive,-0.0604
compulsive disorder,-0.0618
computation,-0.0203
computational,-0.0047
computed,-0.0207
concentration,-0.0104
concept,0.0152
concepts,0.0014
conceptual,0.0478
concerning,0.004
conclude,0.0114
conclusion,0.0186
concomitant,0.017
concrete,0.0304
concurrent,-0.0315
concurrently,-0.0229
condition,-0.0188
conditioned,-0.0202
conditioning,-0.0134
conditions,0.0382
conductance,-0.0027
conducted,0.0092
confidence,-0.0505
confirm,0.0362
confirmed,0.0044
conflict,-0.0715
conflicting,0.0146
confounding,-0.015
congruency,0.0074
congruent,0.0138
congruent incongruent,0.047
conjunction,-0.0388
connected,0.0086
connection,0.0316
connections,0.0341
connectivity,-0.0461
connectivity amygdala,0.0069
connectivity analyses,-0.0107
connectivity anterior,-0.0065
connectivity fc,-0.0527
connectivity networks,-0.0432
connectivity patterns,-0.013
connectivity posterior,0.0116
connectivity rsfc,0.0022
connectivity using,-0.0505
conscious,-0.0737
consciousness,-0.0471
consecutive,0.0227
consequence,0.0318
consequences,-0.0067
consequently,0.0161
consider,-0.0087
considerable,0.0001
considered,-0.0111
considering,-0.0573
consisted,0.0377
consistency,-0.0049
consistently,0.0015
consisting,0.0491
consists,0.0129
consolidation,0.0209
constant,0.0147
constitute,-0.0152
constrained,-0.0056
constraints,0.0654
construct,-0.0311
constructed,-0.0362
construction,0.0018
consumption,-0.0334
contain,0.0025
contained,0.03
containing,0.0577
contains,0.0059
content,0.0445
contents,-0.0049
context,0.0253
contexts,-0.0253
contextual,-0.0198
contingent,-0.0367
continuous,0.0181
continuously,-0.0077
contralateral,0.0842
contrary,0.0235
contrast,-0.0144
contrasted,0.0025
contrasting,-0.0101
contrasts,0.0637
contribute,-0.0299
contributed,-0.0199
contributes,-0.008
contributing,-0.0144
contribution,-0.0111
contributions,-0.0457
control,-0.0506
control condition,-0.0302
control conditions,-0.0012
control group,0.0126
control groups,-0.0003
control network,-0.0267
control processes,-0.0517
control task,-0.0006
controlled,-0.0351
controlling,0.0048
controls,-0.0293
controls hc,-0.0504
controls hcs,-0.0102
controls using,0.004
controversial,0.035
conventional,0.0256
convergence,0.0229
converging,0.0148
conversely,-0.0278
conveyed,0.0555
coordinates,0.0047
coordination,0.0503
core,0.0035
corpus,0.0159
corpus callosum,0.0129
correct,-0.0793
corrected,-0.0002
correction,0.0127
correctly,-0.0282
correlate,0.0013
correlated,-0.0408
correlated negatively,-0.0104
correlated positively,-0.0088
correlates,-0.0498
correlating,-0.0222
correlation,-0.0065
correlation analyses,0.0113
correlations,-0.022
correspond,-0.0049
corresponded,-0.015
correspondence,0.015
corresponding,0.0155
cortex acc,-0.0478
cortex amygdala,-0.0005
cortex anterior,-0.0443
cortex ba,0.0065
cortex bilaterally,0.011
cortex cerebellum,0.0168
cortex dacc,-0.0457
cortex dlpfc,-0.096
cortex dmpfc,0.0141
cortex dorsal,0.0166
cortex dorsolateral,-0.0347
cortex frontal,-0.007
cortex hippocampus,0.0208
cortex inferior,0.0301
cortex insula,-0.0052
cortex involved,-0.0212
cortex lateral,-0.0173
cortex m1,0.0645
cortex medial,-0.0425
cortex middle,-0.0142
cortex mpfc,-0.0187
cortex ofc,-0.0373
cortex parietal,-0.0441
cortex pcc,-0.057
cortex pfc,-0.0078
cortex posterior,-0.0307
cortex ppc,-0.0723
cortex precuneus,-0.0666
cortex suggest,0.0117
cortex superior,0.0314
cortex supplementary,0.0285
cortex thalamus,0.0083
cortex ventral,-0.0126
cortex vlpfc,-0.007
cortex vmpfc,-0.0589
cortical,0.068
cortical involved,0.003
cortical network,0.0294
cortical networks,-0.0192
cortical subcortical,0.046
cortical thickness,0.0143
cortices,0.0114
cortico,0.0195
cost,-0.0137
costs,-0.0453
coupled,-0.0028
coupling,-0.0071
course,-0.0142
courses,0.0289
covariance,-0.0265
covaried,-0.0098
covert,0.06
craving,-0.0207
created,-0.0098
criteria,-0.0284
critical,-0.0377
critical role,-0.0148
critically,-0.0475
cross,-0.0044
cross modal,0.0396
cross sectional,-0.0245
crossover,0.0101
crucial,-0.0307
crucial role,-0.0062
crucially,0.0331
crus,0.0036
cue,-0.1091
cued,-0.0526
cues,-0.0765
cuneus,-0.0625
current,-0.0497
current functional,-0.0495
currently,-0.0004
dacc,-0.0577
daily,-0.0115
daily life,-0.0137
damage,-0.0098
dataset,-0.0484
datasets,-0.0024
date,-0.0315
day,0.0284
days,0.0152
deactivated,-0.0198
deactivation,-0.0638
deactivations,-0.0047
debate,-0.0032
debated,0.0024
decision,-0.0577
decision making,-0.1026
decision task,0.0414
decisions,-0.0731
decline,-0.0237
declines,0.0141
decoding,0.0656
decreases,-0.0025
decreasing,-0.0365
deep,0.0506
default,-0.0692
default mode,-0.0716
default network,-0.0421
deficient,-0.0095
deficit,0.0121
deficit hyperactivity,-0.0314
deficits,-0.0533
define,0.0254
defined,0.0062
degree,0.0122
degrees,-0.006
delay,-0.0474
delayed,-0.0563
delivered,0.0263
demand,-0.0183
demanding,-0.0821
demands,0.012
dementia,0.0086
demonstrate,-0.0066
demonstrated,-0.031
demonstrates,0.038
demonstrating,-0.0031
density,0.0033
depend,0.0028
depended,0.0297
dependence,-0.042
depending,0.0219
depends,0.0078
depicting,-0.0109
depressed,-0.04
depression,-0.049
depressive,-0.0392
depressive disorder,-0.0391
deprivation,-0.0085
depth,-0.0294
derived,-0.0109
described,0.0427
describing,0.018
design,0.0369
designed,0.0178
designs,0.0041
despite,0.008
detailed,-0.0101
details,0.0114
detect,-0.0121
detected,0.0042
detecting,-0.0186
detection,-0.0159
detection task,-0.0131
determine,0.0176
determined,0.0041
determining,-0.0123
develop,-0.0032
developed,-0.0202
developing,-0.0034
development,-0.0353
developmental,-0.0092
diagnosed,-0.0149
diagnosis,-0.0164
diagnostic,-0.0145
did,-0.05
did differ,-0.049
differ,-0.0045
differed,-0.0157
difference,0.0005
differential,-0.0266
differentially,-0.0558
differentiate,0.0075
differentiated,-0.0197
differentiation,-0.0376
differently,0.0083
differing,-0.0
differs,-0.0222
difficult,-0.0003
difficulties,0.0137
difficulty,-0.0389
diffusion,0.0124
diffusion tensor,0.0183
digit,-0.0395
dimension,-0.0628
dimensional,-0.0447
dimensions,-0.0062
diminished,-0.0105
direct,-0.0195
direct evidence,0.0075
directed,-0.0524
direction,-0.0282
directions,0.0233
directly,0.0296
disability,-0.002
discrete,-0.0222
discriminate,-0.0458
discriminated,-0.0189
discrimination,0.0158
discrimination task,0.0092
discriminative,0.0035
discuss,0.0309
discussed,0.0055
discussion,0.0355
disease,-0.0371
disease ad,-0.0582
disease pd,0.0035
diseases,-0.0138
disentangle,-0.0228
disgust,-0.0085
disorder,-0.0567
disorder adhd,-0.0294
disorder mdd,-0.0327
disorder ocd,-0.0534
disorder ptsd,-0.0433
disorders,-0.0382
display,-0.0417
displayed,-0.049
displays,0.0175
disrupted,-0.0104
disruption,-0.0172
dissociable,-0.0352
dissociate,0.0333
dissociated,-0.0066
dissociation,-0.0319
distance,-0.0593
distinction,0.0125
distinguish,-0.0375
distinguished,-0.0135
distraction,-0.0358
distractor,-0.0115
distractors,-0.0452
distress,-0.0175
distributed,-0.0337
distributed network,-0.0237
distribution,0.0085
disturbances,-0.0134
disturbed,-0.0238
divergent,-0.0249
diverse,0.0123
divided,-0.0426
dlpfc,-0.0956
dmn,-0.0633
dmpfc,0.0202
documented,0.0085
does,0.0328
domain,0.0087
domain general,0.0219
domains,-0.0023
dominance,0.0861
dominant,0.0794
dopamine,-0.0218
dopaminergic,-0.0325
dorsal,-0.0528
dorsal anterior,-0.0511
dorsal attention,-0.0669
dorsal medial,-0.0233
dorsal premotor,0.0241
dorsal striatum,-0.0274
dorsal ventral,-0.0012
dorsolateral,-0.1263
dorsolateral pfc,-0.0322
dorsolateral prefrontal,-0.1348
dorsomedial,0.0129
dorsomedial prefrontal,0.0135
dose,-0.0095
dot,-0.0518
double,-0.0495
double blind,-0.0246
drive,0.0175
driven,-0.0385
driving,-0.0021
drug,-0.0448
drugs,-0.0326
dti,0.0162
dual,0.014
duration,0.0287
dynamic,0.0328
dynamic causal,0.0399
dynamically,0.0162
dynamics,-0.014
dysfunction,-0.062
dysfunctional,-0.0146
dysfunctions,-0.0332
dyslexia,0.0747
dysregulation,-0.0346
earlier,-0.0124
early,-0.0381
early stage,-0.0145
early stages,-0.0131
early visual,-0.0377
easy,-0.0347
eating,-0.0268
echo,0.0171
economic,-0.0289
education,-0.0409
eeg,0.0147
effect,-0.0038
effective,-0.0
effective connectivity,-0.0205
effectively,-0.012
effects,0.0062
efficacy,0.0097
efficiency,-0.031
efficient,-0.0246
effort,-0.0001
effortful,0.0246
eighteen,-0.0052
elderly,-0.0538
electrical,0.0876
electroencephalography,0.0131
electroencephalography eeg,0.029
electrophysiological,-0.002
elements,-0.0441
elevated,-0.0061
elicit,0.0041
elicited,0.0212
elicits,-0.0244
elucidate,-0.0259
elucidated,0.0158
elusive,-0.0027
embedded,0.0331
emerge,0.0311
emerged,0.0023
emergence,0.0177
emerging,0.0159
emission,-0.0199
emission tomography,-0.02
emotion,0.0196
emotion regulation,0.0198
emotional,0.0216
emotional faces,-0.0071
emotional information,0.0069
emotional responses,0.0167
emotional stimuli,0.0041
emotional valence,0.0362
emotionally,0.0414
emotions,0.058
empathic,0.0329
empathy,0.062
emphasize,0.0328
empirical,-0.0154
employed,-0.0115
employing,0.0016
enable,-0.0454
enabled,0.0002
enables,-0.0274
encode,0.0041
encoded,-0.0698
encoding,-0.0333
encoding retrieval,-0.047
encompassing,0.0177
end,0.0085
endogenous,-0.0377
engage,0.03
engaged,0.0044
engagement,-0.0074
engages,-0.0019
engaging,0.0231
english,0.0889
enhance,0.0162
enhancement,-0.0069
enhances,0.0355
enhancing,0.0057
entire,0.02
environment,-0.079
environmental,-0.0283
environments,-0.0708
epilepsy,0.0224
episode,-0.0304
episodes,-0.0538
episodic,-0.0651
episodic memory,-0.0608
equal,0.0131
equally,0.0439
equivalent,-0.0032
erp,-0.0393
error,-0.0566
errors,-0.061
especially,0.0266
essential,0.0157
establish,-0.0081
established,-0.0021
estimate,0.013
estimated,0.0226
estimates,-0.0009
estimation,-0.0267
et,-0.0075
et al,-0.0047
evaluate,-0.0023
evaluated,-0.0069
evaluating,0.0031
evaluation,-0.0063
evaluations,-0.017
event,-0.0192
event design,0.0234
event functional,-0.0324
event potential,-0.0227
event potentials,-0.0313
events,-0.0594
everyday,-0.0301
everyday life,-0.0262
evidence,-0.0286
evidence suggests,-0.0003
evidenced,0.0162
evident,0.0074
evoke,0.0065
evoked,0.0743
evolution,0.0193
exact,-0.0694
examination,-0.0278
examining,-0.0283
example,-0.0253
excessive,-0.0242
exclusively,0.0255
executed,0.0571
execution,0.0232
executive,-0.096
executive control,-0.0652
executive function,-0.0506
executive functions,-0.0451
exert,-0.0307
exhibit,-0.0032
exhibited,-0.0406
exhibited greater,-0.0198
exhibiting,-0.0083
exist,0.014
existence,0.0347
existing,-0.0047
exists,-0.0092
expectancy,-0.0329
expectation,0.0115
expectations,0.0078
expected,0.0178
experience,0.0105
experienced,0.0195
experiences,-0.0314
experiencing,-0.0026
experiment,0.019
experimental,-0.025
experimental conditions,0.012
experimentally,0.0221
experiments,-0.008
expertise,-0.0074
explain,0.0178
explained,-0.0534
explanation,-0.0085
explicit,0.0353
explicitly,0.0068
exploration,0.0298
exploratory,-0.0465
explore,-0.0413
explored,-0.0252
exploring,-0.0235
exposed,0.0027
exposure,-0.0117
expressed,0.0383
expression,0.0027
expressions,0.0373
extend,0.0175
extended,0.0095
extending,0.049
extends,0.0138
extension,0.0644
extensive,0.0137
extensively,0.0247
extent,-0.0097
external,-0.0389
externally,-0.0333
extinction,-0.0133
extra,0.0137
extract,0.0455
extracted,0.0025
extrastriate,-0.0546
eye,-0.0619
eye field,-0.0444
eye fields,-0.056
eye movement,-0.0226
eye movements,-0.0232
eyes,-0.036
fa,0.0079
face,-0.0066
face ffa,-0.0315
face recognition,-0.0309
faces,-0.0303
facial,0.029
facial expression,0.0293
facial expressions,0.0259
facilitate,0.0194
facilitated,0.0156
facilitates,0.0155
facilitation,-0.0008
fact,-0.0093
factor,-0.0123
factorial,0.0772
factorial design,0.0579
factors,0.0006
failed,-0.05
failure,-0.0585
false,0.0039
familiar,-0.0253
familiarity,-0.0207
family,-0.0316
far,-0.0136
fasciculus,0.0303
fashion,-0.0343
fast,0.0152
faster,-0.0338
fc,-0.0569
fear,-0.012
fearful,-0.0076
fearful faces,-0.0267
feature,-0.0387
features,0.0311
feedback,0.0301
feeling,0.0368
feelings,0.0345
female,-0.0158
females,0.0031
fewer,-0.0371
ffa,-0.0396
fiber,0.0435
field,-0.055
fields,-0.0264
final,0.0208
finally,-0.0117
fine,0.0415
finger,0.0511
finger movements,0.0096
finger tapping,0.0358
fixation,-0.0469
fixed,0.0336
flexibility,-0.0727
flexible,-0.0733
flexibly,-0.0255
flow,-0.0323
fluctuation,-0.0123
fluctuations,-0.0286
fluency,0.0209
focal,0.0193
foci,-0.0065
focus,0.0015
focused,-0.004
focusing,-0.0054
follow,0.022
followed,0.0139
following,0.0015
food,-0.0381
foot,0.0593
force,0.0689
form,0.035
formation,-0.0051
formed,0.01
forms,0.0307
forward,0.0272
fourteen,-0.0026
fractional,-0.0087
fractional anisotropy,0.0023
framework,0.0384
free,0.016
frequencies,0.0461
frequency,0.0568
frequency fluctuations,-0.0266
frequent,0.0507
frequently,0.0023
frontal,0.0062
frontal cortex,-0.027
frontal cortices,-0.0429
frontal eye,-0.0593
frontal gyri,0.0177
frontal gyrus,0.0841
frontal lobe,-0.037
frontal lobes,-0.0113
frontal operculum,0.0589
frontal parietal,-0.1064
frontal temporal,0.0539
fronto,-0.0909
fronto parietal,-0.101
fronto striatal,-0.0745
fronto temporal,0.0995
frontoparietal,-0.1186
frontoparietal network,-0.1081
frontopolar,-0.0232
frontotemporal,0.0641
fully,-0.0094
function,-0.0102
functional abnormalities,0.0039
functional connections,-0.0194
functional connectivity,-0.0478
functional coupling,-0.0111
functional magnetic,0.0195
functional network,-0.027
functional networks,-0.0351
functional neuroanatomy,0.0533
functional organization,-0.0322
functional role,0.0723
functional structural,0.0059
functionally,0.0173
functionally connected,-0.0034
functioning,-0.0037
functions,0.0054
fundamental,-0.0004
furthermore,0.0057
fusiform,-0.0232
fusiform face,-0.0421
fusiform gyri,-0.03
fusiform gyrus,-0.0037
future,-0.0524
gain,-0.0371
gains,-0.0085
gambling,-0.0642
game,-0.0779
gamma,0.015
ganglia,0.0186
gap,-0.0307
gaze,-0.0114
gender,-0.0182
gene,-0.0305
general,0.0022
general linear,0.0165
generalized,-0.0608
generally,-0.0106
generate,0.0002
generated,-0.0053
generating,-0.0068
generation,0.0387
genes,-0.0527
genetic,-0.0609
genetic risk,-0.0635
genotype,-0.058
german,0.0524
gestures,0.0297
given,-0.0287
global,-0.0248
globus,0.0157
globus pallidus,0.0159
gm,0.0033
gm volume,-0.0082
goal,-0.0769
goal directed,-0.0428
goals,-0.039
good,0.0104
gradient,-0.0499
granger,-0.0107
graph,-0.0108
grasping,-0.0135
gray,-0.0158
gray matter,-0.0174
great,-0.026
greater,0.0211
greater extent,0.0214
greatest,0.0251
grey,0.0112
grey matter,0.0169
group,0.0088
group comparisons,-0.0397
group healthy,0.004
group level,0.063
groups,-0.0451
growing,-0.0184
guide,0.0348
guided,-0.0256
gyri,0.064
gyrus,0.1001
gyrus anterior,-0.0164
gyrus ba,0.03
gyrus cerebellum,-0.0156
gyrus ifg,0.132
gyrus inferior,0.0075
gyrus insula,0.0367
gyrus medial,-0.0296
gyrus mfg,0.0075
gyrus middle,0.0335
gyrus posterior,-0.0206
gyrus precuneus,-0.0474
gyrus stg,0.1506
gyrus superior,0.0559
half,-0.0144
hand,0.0379
hand movements,0.0605
handed,0.0822
handedness,0.0362
hands,0.0122
happy,0.0095
happy faces,0.0027
having,-0.0229
hc,-0.0546
hcs,-0.0254
head,0.0161
health,-0.0145
healthy,-0.0093
healthy adults,-0.0086
healthy control,-0.028
healthy controls,-0.0439
healthy handed,0.0379
healthy human,-0.0014
healthy individuals,-0.0037
healthy male,0.0383
healthy volunteers,0.02
healthy young,-0.0272
heard,0.1384
hearing,0.1271
heart,-0.01
heart rate,-0.0157
heightened,-0.0308
held,-0.0204
help,-0.0701
hemisphere,0.1268
hemispheres,0.0551
hemispheric,0.0902
hemodynamic,0.0327
hemodynamic response,0.0224
hemodynamic responses,0.0134
heschl,0.1216
heschl gyrus,0.1157
heterogeneity,-0.0134
heterogeneous,0.0138
hierarchical,0.0116
hierarchy,0.0039
high,-0.0453
high frequency,0.0287
high functioning,0.0283
high level,-0.0078
high low,-0.0151
high resolution,0.0046
high risk,-0.0485
higher,-0.0023
higher level,0.0702
higher levels,0.0322
higher order,0.064
highest,0.0184
highlight,0.0212
highlighted,-0.0125
highlights,0.0382
highly,-0.0153
hippocampal,-0.0418
hippocampus,-0.0299
history,-0.0375
hoc,0.0184
homogeneity,-0.0462
homogeneity reho,-0.0502
hub,0.0179
hubs,-0.0181
hum,-0.0221
hum mapp,-0.0168
human,-0.0067
humans,-0.0424
hyperactivation,-0.0181
hyperactivity,-0.0324
hyperactivity disorder,-0.0342
hypoactivation,0.0323
hypothalamus,-0.0163
hypotheses,-0.0132
hypothesize,0.0422
hypothesized,0.0227
hz,0.0641
ica,-0.0367
idea,0.0033
identical,0.0357
identification,-0.0218
identified,-0.0276
identify,-0.0015
identifying,-0.0013
identity,0.0176
ifg,0.1181
ii,0.0369
iii,0.0486
illness,-0.0269
illusion,0.0197
illustrate,0.0047
image,0.0192
imagery,0.0061
images,-0.0722
images acquired,0.0039
imagine,0.016
imagined,-0.009
imitation,0.0338
immediate,-0.0204
immediately,-0.0074
impact,0.0038
impacts,-0.0064
impaired,-0.0068
impairment,-0.0444
impairments,0.0129
implementation,-0.0454
implemented,-0.0199
implicate,-0.0269
implicated,-0.0498
implications,-0.0097
implications understanding,-0.0057
implicit,-0.0076
imply,-0.0217
importance,0.0272
important,0.0257
important role,-0.0044
importantly,-0.0465
improve,-0.0094
improved,0.0128
improvement,0.0327
improvements,-0.0069
improves,-0.0249
impulsive,-0.0741
impulsivity,-0.0891
incentive,-0.0455
incentive delay,-0.0391
incidental,0.0006
include,0.0088
included,0.0278
includes,0.0192
incongruent,0.0258
