Feature,../../data/brains/braindiff_d_mni.nii.gz
advanced,-0.0072
advances,-0.0063
advantage,-0.0289
affect,0.0103
affected,-0.0078
affecting,-0.0221
affective,0.0319
affects,0.0416
age,0.0833
age controls,-0.0243
age gender,0.0774
age groups,0.0134
age healthy,-0.0166
age sex,0.0339
aged,0.0209
agent,0.0257
ages,0.034
aging,0.0297
agreement,0.0027
aim,0.0171
aimed,0.0165
aims,0.0117
al,0.0242
alcohol,0.0316
alff,0.0632
algorithm,0.0401
allele,0.0489
allocation,-0.0074
allow,0.0175
allowed,-0.0272
allowing,-0.0029
allows,0.0216
alpha,0.0128
alter,0.0224
alteration,0.0321
alterations,0.0913
altered,0.0898
alternating,0.0056
alternative,0.0223
alters,0.0294
alzheimer,0.0414
alzheimer disease,0.0427
ambiguous,-0.026
amnestic,0.0534
amplitude,0.0414
amplitude low,0.0821
amplitudes,-0.0026
amygdala,0.0132
amygdala anterior,-0.0103
amygdala hippocampus,0.0046
amygdala insula,0.0139
amygdala response,0.0138
amygdala responses,-0.0186
analysed,0.0357
analyses,0.0498
analyze,-0.0141
analyzed,0.0216
analyzed using,0.0
analyzing,-0.0187
anatomical,-0.0266
anatomically,0.0028
anatomy,-0.0282
anger,0.017
angry,-0.0123
angular,0.1029
angular gyrus,0.0998
animal,-0.0112
animals,-0.0322
anisotropy,0.0086
anisotropy fa,0.0042
anterior,0.0312
anterior cingulate,0.0471
anterior hippocampus,0.0055
anterior insula,-0.0334
anterior insular,-0.0613
anterior intraparietal,-0.0822
anterior medial,0.0687
anterior posterior,0.0804
anterior prefrontal,0.0111
anterior superior,0.0284
anterior temporal,-0.0242
anti,0.0605
anticipation,-0.0113
anticipatory,-0.0212
anxiety,0.0355
anxiety disorders,-0.0084
apart,-0.0179
aphasia,-0.0453
apparent,-0.0008
appear,-0.0302
appeared,-0.0188
appears,-0.0316
application,-0.0058
applied,-0.0107
apply,-0.0047
applying,-0.0343
appraisal,0.0476
approach,0.0578
approaches,0.0536
appropriate,-0.0231
approximately,0.0
architecture,0.0493
argue,-0.0398
arise,0.0232
arithmetic,-0.0937
arm,-0.0056
arousal,-0.0044
arterial,0.0213
arterial spin,0.0244
articulatory,-0.0569
asd,0.0439
asked,-0.0182
aspect,0.0228
aspects,0.0463
assess,-0.0145
assessed,0.0731
assessed using,0.0178
assessing,0.0052
assessment,0.0066
assessments,0.0326
assigned,0.0367
association,0.0433
associations,0.0355
associative,-0.0264
assume,-0.0577
assumed,0.0425
assumption,-0.0042
asymmetry,-0.0245
atrophy,0.0264
attempt,-0.0072
attempted,-0.0008
attend,-0.0229
attended,-0.0352
attending,-0.0067
attention,-0.0048
attention deficit,0.0591
attention network,0.024
attention task,-0.0123
attentional,-0.0343
attentional control,0.0224
attenuated,-0.0111
attenuation,-0.0084
attributed,0.0194
attributes,-0.0215
attribution,0.0661
atypical,0.0292
audiovisual,0.0099
auditory,0.0016
auditory cortex,0.014
auditory stimuli,-0.0122
auditory visual,0.0019
autism,0.0897
autism spectrum,0.0636
autobiographical,0.1181
autobiographical memory,0.0982
automated,0.033
automatic,0.0012
automatically,-0.0136
autonomic,-0.007
available,0.0318
average,-0.0086
aversive,-0.0247
avoid,-0.0051
avoidance,0.0155
awareness,0.0185
away,0.0687
axis,-0.0087
ba,-0.0433
ba 44,-0.0769
background,0.0578
balance,0.0471
band,0.051
bands,0.0499
basal,-0.0174
basal ganglia,-0.0144
baseline,0.0162
bases,0.0347
basic,-0.0222
basis,0.02
bayesian,0.0001
beginning,-0.0034
behavior,0.0572
behavioral,-0.0106
behavioral evidence,0.0237
behavioral level,-0.0061
behavioral measures,-0.0113
behavioral performance,-0.0261
behavioral responses,-0.0304
behaviorally,0.0059
behaviors,0.0888
behaviour,0.0439
behavioural,-0.0326
belief,0.1101
beliefs,0.1836
believed,-0.0315
beneficial,0.0603
benefit,0.0291
benefits,0.0081
best,0.0041
beta,0.0492
better,0.0103
better understanding,0.0059
bias,0.0067
biased,0.0122
biases,-0.0147
bilaterally,-0.0833
bilinguals,-0.0184
binding,-0.0073
biological,0.0456
biomarker,0.0358
biomarkers,0.0553
bipolar,0.0535
bipolar disorder,0.0449
blind,-0.004
block,-0.0199
block design,-0.0273
blocked,-0.058
blocks,-0.0261
blood,0.0194
blood flow,0.0139
blood oxygen,0.0267
blood oxygenation,-0.0107
bodily,-0.0198
body,-0.0822
bold,0.0077
bold response,0.0059
bold responses,-0.0009
bold signal,0.0373
bold signals,0.0091
brains,0.0155
brainstem,0.0016
brief,0.0346
broad,-0.02
broader,0.0372
broca,-0.075
brodmann,-0.0349
brodmann ba,-0.0383
button,0.0005
calculated,0.0296
calculation,-0.1056
called,0.0174
callosum,0.013
candidate,-0.0067
canonical,0.0164
capacity,0.0042
capture,0.0214
carried,-0.0416
carriers,0.0528
case,-0.0191
cases,0.0364
categorical,-0.0352
categories,-0.0385
categorization,-0.055
category,-0.0283
caudal,-0.0198
caudate,0.0173
caudate nucleus,-0.0013
causal,-0.0532
causal modeling,-0.0838
causality,0.0689
cause,0.0134
caused,0.0038
causes,0.0363
center,-0.0279
centered,-0.0074
central,0.0416
central role,0.0484
cerebellar,-0.006
cerebellum,-0.0178
cerebral,-0.0047
cerebral blood,0.0231
cerebral cortex,-0.012
certain,0.0198
challenge,0.0298
challenges,-0.0022
challenging,0.0188
change,-0.0032
changed,0.0254
changing,-0.0064
character,-0.0023
characteristic,0.0077
characteristics,0.0193
characterization,-0.0058
characterize,0.0686
characterized,0.0732
characterizing,0.0217
characters,-0.0711
childhood,0.0353
children,0.0202
children adolescents,0.036
chinese,-0.0929
choice,0.0225
choices,0.0432
choose,0.015
chosen,0.0123
chronic,0.0382
chronic pain,-0.004
cingulate,0.1143
cingulate cortex,0.0977
cingulate cortices,0.0078
cingulate gyrus,0.081
circuit,0.01
circuitry,0.0167
circuits,0.0231
clarify,0.0057
class,-0.0255
classic,0.0184
classical,0.0184
classification,-0.0109
classified,-0.023
clear,-0.0398
clearly,-0.0025
clinical,0.0641
clinically,0.0391
clips,0.0296
close,-0.0049
closed,0.0459
closely,-0.0029
cluster,-0.0005
clustering,0.0248
clusters,-0.0186
code,0.0135
coding,-0.0695
cognition,0.0895
cognitive,0.0658
cognitive control,0.025
cognitive deficits,-0.0628
cognitive emotional,0.0579
cognitive function,-0.0265
cognitive functions,-0.0081
cognitive impairment,0.016
cognitive neuroscience,0.0161
cognitive performance,0.0229
cognitive processes,0.028
cognitive task,0.0358
cognitive tasks,0.0168
cognitively,0.0335
coherence,0.0576
coherent,0.033
cohort,0.0276
collected,0.0531
collectively,-0.0214
color,-0.0629
combination,-0.0367
combinations,-0.0223
combined,-0.0279
combining,0.0121
common,-0.0066
commonly,0.0014
communication,0.0604
community,-0.0021
comparable,-0.025
compare,0.0218
comparing,-0.032
comparisons,0.0436
compatible,-0.0307
compensate,-0.0174
compensation,0.0133
compensatory,0.0012
competing,-0.0323
competition,-0.0217
complementary,0.0264
complete,0.0115
completed,0.0535
completely,0.026
complex,-0.0342
complexity,-0.0161
component,0.0975
component ica,0.1356
components,0.0166
composed,-0.013
comprehension,0.0334
comprehensive,-0.0087
comprised,0.0285
compromised,0.0201
compulsive,0.0317
compulsive disorder,0.034
computation,0.0047
computational,-0.0045
computed,0.0525
concentration,0.0066
concept,0.0233
concepts,-0.0082
conceptual,-0.0325
concerning,0.04
conclude,-0.0633
conclusion,0.0017
concomitant,0.0034
concrete,0.0032
concurrent,0.0
concurrently,-0.0223
condition,0.0207
conditioned,-0.0183
conditioning,-0.0102
conditions,-0.0282
conductance,0.0072
conducted,0.0354
confidence,0.0393
confirm,0.0304
confirmed,-0.0521
conflict,-0.0062
conflicting,-0.0678
confounding,-0.0277
congruency,-0.0365
congruent,-0.0588
congruent incongruent,-0.0085
conjunction,-0.0112
connected,0.024
connection,-0.0175
connections,0.0237
connectivity,0.1301
connectivity amygdala,0.0183
connectivity analyses,0.0084
connectivity anterior,0.0344
connectivity fc,0.0657
connectivity networks,0.0957
connectivity patterns,0.0459
connectivity posterior,0.0553
connectivity rsfc,0.0445
connectivity using,0.0372
conscious,0.0199
consciousness,0.0352
consecutive,0.0179
consequence,0.0047
consequences,0.0276
consequently,0.0168
consider,0.0062
considerable,-0.0509
considered,0.0221
considering,0.0542
consisted,-0.0277
consistency,0.018
consistently,0.0344
consisting,-0.052
consists,-0.0001
consolidation,0.0266
constant,-0.0219
constitute,0.0225
constrained,0.016
constraints,-0.0315
construct,0.0518
constructed,0.0162
construction,0.0453
consumption,0.0457
contain,-0.0022
contained,0.0162
containing,-0.0235
contains,-0.0192
content,0.0519
contents,0.024
context,-0.0006
contexts,0.0621
contextual,0.0346
contingent,0.0099
continuous,0.0689
continuously,0.0135
contralateral,-0.0608
contrary,0.0182
contrast,0.0042
contrasted,-0.0268
contrasting,0.0034
contrasts,-0.0223
contribute,0.0039
contributed,0.022
contributes,0.0009
contributing,0.0128
contribution,-0.026
contributions,-0.0016
control,-0.0203
control condition,0.0114
control conditions,-0.0311
control group,-0.0085
control groups,0.0228
control network,0.0412
control processes,-0.0209
control task,-0.0805
controlled,0.0355
controlling,0.0043
controls,0.0815
controls hc,0.0658
controls hcs,0.0087
controls using,0.0268
controversial,-0.0822
conventional,0.0151
convergence,-0.0486
converging,-0.0294
conversely,-0.0295
conveyed,0.0119
coordinates,-0.0606
coordination,-0.0444
core,0.0264
corpus,0.012
corpus callosum,0.013
correct,-0.0136
corrected,0.0572
correction,0.0178
correctly,-0.0362
correlate,-0.0192
correlated,0.0474
correlated negatively,0.0278
correlated positively,-0.0003
correlates,0.0988
correlating,-0.0013
correlation,0.0567
correlation analyses,-0.0006
correlations,0.0726
correspond,-0.0271
corresponded,-0.0094
correspondence,0.0147
corresponding,-0.0306
cortex acc,0.0126
cortex amygdala,-0.0227
cortex anterior,-0.0123
cortex ba,-0.0281
cortex bilaterally,-0.0478
cortex cerebellum,-0.0196
cortex dacc,-0.0009
cortex dlpfc,-0.0029
cortex dmpfc,0.0885
cortex dorsal,-0.0426
cortex dorsolateral,-0.0061
cortex frontal,-0.0002
cortex hippocampus,-0.0084
cortex inferior,-0.0255
cortex insula,-0.0167
cortex involved,-0.0553
cortex lateral,-0.0332
cortex m1,-0.0261
cortex medial,0.0577
cortex middle,0.028
cortex mpfc,0.1411
cortex ofc,0.0167
cortex parietal,-0.0235
cortex pcc,0.1459
cortex pfc,-0.0287
cortex posterior,0.1072
cortex ppc,-0.0552
cortex precuneus,0.1433
cortex suggest,-0.0165
cortex superior,0.0237
cortex supplementary,-0.0167
cortex thalamus,-0.0127
cortex ventral,-0.0029
cortex vlpfc,0.0254
cortex vmpfc,0.0577
cortical,-0.0195
cortical involved,-0.0507
cortical network,-0.029
cortical networks,-0.0149
cortical subcortical,-0.0057
cortical thickness,0.0351
cortices,-0.0313
cortico,-0.0005
cost,-0.0079
costs,-0.0228
coupled,0.0164
coupling,0.0218
course,0.0463
courses,0.0249
covariance,0.0273
covaried,0.0007
covert,-0.077
craving,0.0357
created,0.016
criteria,-0.0014
critical,0.0066
critical role,-0.0478
critically,-0.0079
cross,-0.0087
cross modal,-0.0664
cross sectional,0.0798
crossover,-0.0328
crucial,-0.0078
crucial role,-0.0311
crucially,-0.034
crus,-0.0019
cue,0.0044
cued,-0.005
cues,0.0429
cuneus,0.0694
current,0.0408
current functional,0.0052
currently,0.0092
dacc,0.0019
daily,0.0186
daily life,0.0239
damage,-0.0194
dataset,0.0734
datasets,0.054
date,0.0751
day,0.0063
days,0.0081
deactivated,0.0262
deactivation,0.0747
deactivations,0.0452
debate,-0.0107
debated,-0.0372
decision,0.0158
decision making,0.0502
decision task,-0.0172
decisions,0.0267
decline,-0.0
declines,-0.0136
decoding,-0.0209
decreases,0.0371
decreasing,0.0083
deep,-0.0006
default,0.1943
default mode,0.1953
default network,0.1146
deficient,0.0258
deficit,0.0144
deficit hyperactivity,0.0639
deficits,-0.017
define,-0.0225
defined,0.0162
degree,-0.0076
degrees,-0.0113
delay,-0.0153
delayed,0.0036
delivered,-0.0164
demand,-0.0082
demanding,-0.0152
demands,-0.0915
dementia,-0.0178
demonstrate,-0.0067
demonstrated,0.0299
demonstrates,-0.0339
demonstrating,-0.0155
density,0.021
depend,-0.0048
depended,-0.0245
dependence,0.0437
depending,-0.017
depends,-0.0045
depicting,0.0049
depressed,0.0802
depression,0.0759
depressive,0.0601
depressive disorder,0.0389
deprivation,-0.0092
depth,-0.0531
derived,0.0236
described,-0.0114
describing,0.0237
design,-0.0238
designed,-0.0258
designs,-0.024
despite,-0.0047
detailed,-0.0239
details,-0.0123
detect,0.0374
detected,-0.0136
detecting,-0.0246
detection,-0.0241
detection task,-0.0223
determine,0.0299
determined,-0.0311
determining,0.0049
develop,0.0274
developed,-0.0534
developing,0.0393
development,0.0482
developmental,0.0132
diagnosed,0.0154
diagnosis,0.034
diagnostic,0.0071
did,-0.036
did differ,-0.0086
differ,-0.0021
differed,-0.0064
difference,0.0109
differential,-0.0348
differentially,-0.0268
differentiate,-0.0224
differentiated,0.0232
differentiation,0.0199
differently,0.0473
differing,-0.0138
differs,0.0016
difficult,-0.0304
difficulties,0.0565
difficulty,-0.0226
diffusion,0.0085
diffusion tensor,0.0118
digit,-0.0427
dimension,-0.0306
dimensional,-0.0302
dimensions,-0.0307
diminished,0.023
direct,-0.0013
direct evidence,-0.0183
directed,0.0125
direction,-0.024
directions,-0.0074
directly,-0.0348
disability,0.0117
discrete,-0.0128
discriminate,-0.0292
discriminated,-0.0222
discrimination,-0.0857
discrimination task,-0.0743
discriminative,-0.0201
discuss,-0.0401
discussed,0.0231
discussion,-0.0003
disease,0.0334
disease ad,0.0543
disease pd,-0.0198
diseases,0.0251
disentangle,-0.0277
disgust,-0.0163
disorder,0.0863
disorder adhd,0.0535
disorder mdd,0.0341
disorder ocd,0.0255
disorder ptsd,0.0383
disorders,0.0866
display,0.0305
displayed,0.0035
displays,-0.0073
disrupted,0.0595
disruption,0.0345
dissociable,0.0044
dissociate,-0.046
dissociated,-0.0472
dissociation,0.0095
distance,-0.0585
distinction,-0.0083
distinguish,0.0289
distinguished,-0.0028
distraction,-0.0163
distractor,-0.0462
distractors,-0.0288
distress,0.0552
distributed,-0.0176
distributed network,-0.0596
distribution,0.0113
disturbances,0.0513
disturbed,0.0462
divergent,0.0192
diverse,0.0239
divided,-0.0365
dlpfc,-0.0037
dmn,0.1864
dmpfc,0.0985
documented,-0.042
does,-0.0219
domain,-0.0364
domain general,-0.0003
domains,-0.0179
dominance,-0.0673
dominant,-0.0426
dopamine,-0.0196
dopaminergic,0.0097
dorsal,-0.0163
dorsal anterior,0.0502
dorsal attention,0.0427
dorsal medial,0.0982
dorsal premotor,-0.0207
dorsal striatum,0.0236
dorsal ventral,-0.0441
dorsolateral,-0.007
dorsolateral pfc,0.0042
dorsolateral prefrontal,-0.0056
dorsomedial,0.0998
dorsomedial prefrontal,0.0993
dose,0.0014
dot,-0.0514
double,0.0326
double blind,0.0121
drive,0.0238
driven,0.0506
driving,-0.0465
drug,0.0281
drugs,0.0223
dti,0.0172
dual,-0.0094
duration,0.0095
dynamic,-0.0245
dynamic causal,-0.0846
dynamically,-0.0049
dynamics,0.0053
dysfunction,0.0781
dysfunctional,0.0271
dysfunctions,0.043
dyslexia,-0.0574
dysregulation,0.0397
earlier,0.0017
early,-0.0171
early stage,-0.0207
early stages,-0.0444
early visual,-0.0273
easy,-0.0022
eating,0.0136
echo,0.0204
economic,0.043
education,0.0288
eeg,0.0394
effect,-0.0157
effective,-0.0118
effective connectivity,-0.0264
effectively,-0.0103
effects,-0.021
efficacy,-0.008
efficiency,0.0033
efficient,-0.0313
effort,-0.015
effortful,-0.0067
eighteen,0.0129
elderly,0.0191
electrical,-0.053
electroencephalography,0.0323
electroencephalography eeg,0.0229
electrophysiological,0.0081
elements,-0.0036
elevated,0.0113
elicit,0.034
elicited,-0.0297
elicits,0.0285
elucidate,0.0489
elucidated,0.0011
elusive,-0.0092
embedded,0.0382
emerge,0.0095
emerged,0.0066
emergence,-0.0044
emerging,0.029
emission,0.023
emission tomography,0.0198
emotion,0.0694
emotion regulation,0.0749
emotional,0.0441
emotional faces,-0.0191
emotional information,-0.0096
emotional responses,0.0657
emotional stimuli,0.0365
emotional valence,0.0223
emotionally,-0.0023
emotions,0.0625
empathic,0.0492
empathy,0.0289
emphasize,-0.0249
empirical,-0.0018
employed,-0.0104
employing,0.0213
enable,0.005
enabled,0.0184
enables,0.0534
encode,-0.0205
encoded,0.0049
encoding,-0.0636
encoding retrieval,-0.0447
encompassing,0.0227
end,-0.0408
endogenous,0.002
engage,0.0034
engaged,0.0267
engagement,-0.0273
engages,-0.0196
engaging,-0.0057
english,-0.038
enhance,-0.0211
enhancement,-0.0384
enhances,0.0046
enhancing,-0.04
entire,0.0018
environment,0.0204
environmental,0.0213
environments,0.0096
epilepsy,0.0235
episode,0.024
episodes,0.0449
episodic,0.0832
episodic memory,0.0538
equal,-0.0402
equally,-0.0342
equivalent,-0.0642
erp,-0.034
error,-0.0112
errors,-0.0003
especially,-0.0352
essential,0.0141
establish,-0.0051
established,0.0279
estimate,0.0046
estimated,0.0091
estimates,0.0531
estimation,0.0025
et,0.0136
et al,0.0233
evaluate,0.0399
evaluated,0.0379
evaluating,0.0123
evaluation,0.0643
evaluations,0.0816
event,-0.0218
event design,-0.0495
event functional,-0.0175
event potential,0.0021
event potentials,-0.0138
events,0.0734
everyday,0.0454
everyday life,0.0084
evidence,-0.017
evidence suggests,0.0212
evidenced,0.0019
evident,0.003
evoke,-0.0232
evoked,-0.0451
evolution,-0.0214
exact,0.0058
examination,0.0413
examining,0.0821
example,0.0009
excessive,0.0525
exclusively,-0.0241
executed,-0.0454
execution,-0.0581
executive,-0.0039
executive control,0.0051
executive function,0.0108
executive functions,-0.0053
exert,-0.0068
exhibit,-0.0002
exhibited,0.0158
exhibited greater,-0.0259
exhibiting,0.0292
exist,-0.0113
existence,-0.0293
existing,0.0297
exists,0.0145
expectancy,-0.0166
expectation,-0.0198
expectations,0.0127
expected,-0.0085
experience,-0.0026
experienced,0.0094
experiences,0.0628
experiencing,0.0261
experiment,-0.0464
experimental,0.0142
experimental conditions,0.0046
experimentally,0.0285
experiments,-0.0451
expertise,-0.033
explain,0.0237
explained,0.0117
explanation,-0.0093
explicit,0.0091
explicitly,0.0216
exploration,-0.0405
exploratory,0.0387
explore,0.0433
explored,0.0232
exploring,-0.005
exposed,-0.0011
exposure,0.0362
expressed,-0.0239
expression,-0.0198
expressions,-0.0075
extend,0.0153
extended,0.0226
extending,0.0139
extends,0.0087
extension,-0.0092
extensive,0.0081
extensively,-0.0279
extent,-0.0184
external,0.0569
externally,0.0055
extinction,-0.0179
extra,-0.0185
extract,-0.0044
extracted,0.0374
extrastriate,-0.0695
eye,-0.031
eye field,-0.0373
eye fields,-0.0276
eye movement,-0.0008
eye movements,-0.0594
eyes,0.0257
fa,0.0138
face,-0.0626
face ffa,-0.058
face recognition,-0.0481
faces,-0.0451
facial,-0.0115
facial expression,-0.034
facial expressions,-0.0033
facilitate,-0.006
facilitated,-0.026
facilitates,-0.0175
facilitation,-0.0204
fact,0.065
factor,0.0555
factorial,-0.0685
factorial design,-0.0444
factors,-0.0202
failed,-0.0455
failure,0.0414
false,0.0643
familiar,-0.0393
familiarity,-0.0128
family,0.0369
far,0.0222
fasciculus,-0.0235
fashion,-0.004
fast,-0.0463
faster,-0.0251
fc,0.0753
fear,0.0084
fearful,-0.0253
fearful faces,-0.0258
feature,-0.0367
features,-0.0186
feedback,0.0007
feeling,-0.0038
feelings,0.0194
female,0.0417
females,0.0204
fewer,-0.0088
ffa,-0.0508
fiber,-0.0387
field,-0.0185
fields,-0.0417
final,0.0288
finally,0.0011
fine,-0.0347
finger,-0.0351
finger movements,-0.0193
finger tapping,-0.0272
fixation,-0.0135
fixed,-0.0318
flexibility,0.0145
flexible,-0.0025
flexibly,-0.0091
flow,0.0179
fluctuation,0.0816
fluctuations,0.0981
fluency,-0.0133
focal,0.0214
foci,-0.0207
focus,0.0475
focused,0.0304
focusing,-0.0049
follow,0.0589
followed,0.0227
following,-0.0228
food,-0.0201
foot,-0.0349
force,-0.055
form,-0.0453
formation,-0.014
formed,-0.0216
forms,-0.043
forward,-0.0271
fourteen,-0.0211
fractional,0.0383
fractional anisotropy,0.0088
framework,0.0306
free,0.0479
frequencies,0.0036
frequency,0.0568
frequency fluctuations,0.0721
frequent,-0.0233
frequently,0.0064
frontal,-0.0488
frontal cortex,-0.0372
frontal cortices,0.0126
frontal eye,-0.0393
frontal gyri,-0.0012
frontal gyrus,-0.0163
frontal lobe,-0.0171
frontal lobes,-0.0592
frontal operculum,-0.0294
frontal parietal,-0.0426
frontal temporal,0.0139
fronto,-0.0382
fronto parietal,-0.0557
fronto striatal,0.0006
fronto temporal,0.016
frontoparietal,-0.0419
frontoparietal network,-0.0398
frontopolar,0.0103
frontotemporal,0.0036
fully,-0.0237
function,0.0391
functional abnormalities,0.0157
functional connections,0.026
functional connectivity,0.1303
functional coupling,-0.0136
functional magnetic,-0.0668
functional network,0.0676
functional networks,0.1
functional neuroanatomy,-0.0263
functional organization,0.0184
functional role,-0.0149
functional structural,-0.0035
functionally,0.0473
functionally connected,0.0137
functioning,0.0443
functions,-0.0285
fundamental,0.0113
furthermore,-0.0059
fusiform,-0.0841
fusiform face,-0.0549
fusiform gyri,-0.0497
fusiform gyrus,-0.0877
future,0.0719
gain,-0.0
gains,-0.002
gambling,0.0357
game,0.0631
gamma,0.0038
ganglia,-0.0137
gap,0.0363
gaze,-0.0288
gender,0.0501
gene,0.0185
general,-0.0164
general linear,0.0039
generalized,0.0258
generally,-0.0422
generate,0.0218
generated,0.0297
generating,0.0122
generation,-0.037
genes,0.0214
genetic,0.0433
genetic risk,0.0572
genotype,0.0337
german,0.0026
gestures,-0.0288
given,-0.0218
global,0.0503
globus,0.0025
globus pallidus,0.0022
gm,0.0132
gm volume,0.0079
goal,-0.0003
goal directed,0.0075
goals,0.0105
good,0.014
gradient,0.0213
granger,0.0399
graph,0.0276
grasping,-0.0485
gray,0.0423
gray matter,0.0424
great,0.0388
greater,-0.0279
greater extent,-0.0475
greatest,0.018
grey,0.0115
grey matter,0.0137
group,0.0443
group comparisons,0.0308
group healthy,0.0436
group level,-0.0279
groups,0.039
growing,0.0135
guide,-0.0007
guided,-0.0327
gyri,-0.0032
gyrus,-0.0118
gyrus anterior,0.0145
gyrus ba,-0.0208
gyrus cerebellum,0.0341
gyrus ifg,-0.0757
gyrus inferior,-0.0195
gyrus insula,-0.0058
gyrus medial,0.0418
gyrus mfg,-0.0175
gyrus middle,0.0307
gyrus posterior,0.0337
gyrus precuneus,0.0856
gyrus stg,-0.0083
gyrus superior,0.0098
half,0.0132
hand,-0.0421
hand movements,-0.0304
handed,-0.0742
handedness,-0.0346
hands,-0.0469
happy,0.0003
happy faces,-0.0245
having,0.0141
hc,0.0623
hcs,0.015
head,-0.0104
health,0.0622
healthy,0.025
healthy adults,-0.0178
healthy control,0.0022
healthy controls,0.091
healthy handed,-0.0193
healthy human,-0.0018
healthy individuals,0.0275
healthy male,-0.0364
healthy volunteers,-0.0487
healthy young,-0.0024
heard,0.0197
hearing,-0.0395
heart,0.0007
heart rate,-0.0022
heightened,0.0112
held,0.0083
help,0.0673
hemisphere,-0.0914
hemispheres,-0.0678
hemispheric,-0.098
hemodynamic,0.0191
hemodynamic response,0.0035
hemodynamic responses,0.0401
heschl,0.0242
heschl gyrus,0.0306
heterogeneity,-0.0443
heterogeneous,0.0266
hierarchical,0.0242
hierarchy,-0.0263
high,0.0654
high frequency,0.0083
high functioning,0.0202
high level,-0.0301
high low,0.0055
high resolution,0.0357
high risk,0.0707
higher,0.0189
higher level,0.0107
higher levels,0.0107
higher order,-0.0509
highest,-0.0238
highlight,0.0127
highlighted,-0.0286
highlights,-0.0152
highly,0.0219
hippocampal,0.0136
hippocampus,0.0179
history,0.0152
hoc,0.0253
homogeneity,0.0839
homogeneity reho,0.0903
hub,0.0425
hubs,0.0254
hum,0.014
hum mapp,0.0103
human,-0.0212
humans,-0.0585
hyperactivation,0.0045
hyperactivity,0.0606
hyperactivity disorder,0.068
hypoactivation,0.0055
hypothalamus,0.0233
hypotheses,-0.0021
hypothesize,-0.0173
hypothesized,0.0023
hz,0.0104
ica,0.141
idea,-0.0259
identical,-0.0381
identification,-0.0375
identified,0.0192
identify,0.0213
identifying,0.0246
identity,-0.0498
ifg,-0.0533
ii,-0.0055
iii,-0.0137
illness,0.0861
illusion,-0.0561
illustrate,-0.0243
image,0.0038
imagery,-0.0538
images,-0.0107
images acquired,0.0121
imagine,0.0019
imagined,-0.0052
imitation,-0.0513
immediate,0.0158
immediately,0.0047
impact,0.0007
impacts,0.0063
impaired,0.0161
impairment,0.0194
impairments,0.0278
implementation,0.0025
implemented,0.014
implicate,0.0013
implicated,0.0502
implications,0.0118
implications understanding,0.0537
implicit,0.0275
imply,-0.0012
importance,0.0092
important,0.0077
important role,-0.0196
importantly,0.0131
improve,0.0263
improved,-0.0225
improvement,0.0141
improvements,0.0359
improves,0.024
impulsive,0.0596
impulsivity,0.0638
incentive,-0.0004
incentive delay,0.0229
incidental,0.0165
include,0.023
included,-0.0206
includes,0.0106
incongruent,-0.0524
inconsistent,0.0058
incorrect,-0.0016
increases,-0.0054
increasing,0.0043
increasingly,0.0062
independent,0.0975
independent component,0.174
independently,-0.0227
index,-0.0218
index finger,-0.0237
indexed,-0.0139
indicate,-0.0055
indicated,-0.0341
indicates,0.0056
indicating,-0.0167
indices,0.019
indirect,0.0411
