Feature,../../data/brains/del_imm_mni.nii.gz
commonly,0.0163
communication,0.011
community,0.0179
comparable,-0.0557
compare,-0.0004
comparing,-0.0322
comparisons,0.0552
compatible,-0.1554
compensate,-0.0723
compensation,-0.0499
compensatory,0.0253
competing,-0.0191
competition,-0.0232
complementary,0.007
complete,-0.0454
completed,0.1257
completely,-0.0017
complex,-0.048
complexity,-0.047
component,0.0817
component ica,0.0847
components,0.0076
composed,0.0016
comprehension,0.0704
comprehensive,-0.0206
comprised,0.0169
compromised,0.0723
compulsive,0.0644
compulsive disorder,0.0557
computation,0.0352
computational,-0.0003
computed,0.065
concentration,0.0345
concept,0.0128
concepts,0.0275
conceptual,0.0357
concerning,0.0093
conclude,-0.1559
conclusion,0.0313
concomitant,-0.0535
concrete,0.0483
concurrent,-0.0214
concurrently,-0.0581
condition,0.0284
conditioned,0.0367
conditioning,0.0299
conditions,-0.1113
conductance,-0.0016
conducted,0.0594
confidence,0.0403
confirm,-0.0094
confirmed,-0.0673
conflict,-0.0011
conflicting,-0.0356
confounding,-0.0204
congruency,-0.056
congruent,-0.0804
congruent incongruent,-0.0428
conjunction,-0.0307
connected,0.0428
connection,-0.0244
connections,-0.0386
connectivity,0.1342
connectivity amygdala,0.0691
connectivity analyses,0.0167
connectivity anterior,0.0527
connectivity fc,0.0977
connectivity networks,0.0522
connectivity patterns,0.0276
connectivity posterior,0.0633
connectivity rsfc,0.061
connectivity using,0.0253
conscious,0.0108
consciousness,0.0208
consecutive,-0.0023
consequence,0.0006
consequences,0.0542
consequently,0.013
consider,0.033
considerable,-0.0084
considered,0.0069
considering,0.0533
consisted,-0.0564
consistency,0.061
consistently,0.0227
consisting,-0.1034
consists,-0.0178
consolidation,0.0551
constant,-0.0159
constitute,0.0295
constrained,-0.0051
constraints,-0.0401
construct,0.088
constructed,0.0416
construction,0.1213
consumption,0.0435
contain,-0.0269
contained,0.025
containing,-0.0444
contains,-0.0229
content,0.0777
contents,0.0421
context,0.0824
contexts,0.1125
contextual,0.1077
contingent,0.0018
continuous,-0.0002
continuously,-0.0011
contralateral,-0.2228
contrary,-0.0295
contrast,0.0069
contrasted,-0.0215
contrasting,0.0378
contrasts,0.0391
contribute,0.0419
contributed,0.0429
contributes,0.0452
contributing,0.0219
contribution,-0.001
contributions,0.0137
control,-0.0792
control condition,0.0301
control conditions,-0.0881
control group,-0.0259
control groups,0.0207
control network,0.0572
control processes,-0.0114
control task,-0.0152
controlled,0.0303
controlling,-0.0231
controls,0.1022
controls hc,0.0752
controls hcs,0.0176
controls using,0.0239
controversial,-0.1002
conventional,-0.0103
convergence,-0.0651
converging,0.0171
conversely,-0.0148
conveyed,-0.007
coordinates,-0.0904
coordination,-0.1625
core,0.0848
corpus,0.0206
corpus callosum,0.0156
correct,0.0395
corrected,0.0488
correction,0.0014
correctly,-0.0123
correlate,0.016
correlated,0.0809
correlated negatively,0.0501
correlated positively,0.0392
correlates,0.0718
correlating,-0.0256
correlation,0.0636
correlation analyses,-0.0004
correlations,0.081
correspond,-0.0322
corresponded,0.0252
correspondence,-0.017
corresponding,-0.0676
cortex acc,0.0029
cortex amygdala,0.0176
cortex anterior,-0.0017
cortex ba,0.0018
cortex bilaterally,-0.0719
cortex cerebellum,-0.0784
cortex dacc,0.0509
cortex dlpfc,0.0408
cortex dmpfc,0.0989
cortex dorsal,-0.0925
cortex dorsolateral,-0.0339
cortex frontal,-0.0276
cortex hippocampus,0.0514
cortex inferior,-0.0155
cortex insula,-0.0223
cortex involved,-0.0966
cortex lateral,-0.0133
cortex m1,-0.1321
cortex medial,0.0762
cortex middle,0.048
cortex mpfc,0.1515
cortex ofc,0.0799
cortex parietal,-0.0553
cortex pcc,0.1539
cortex pfc,0.0357
cortex posterior,0.1059
cortex ppc,-0.1184
cortex precuneus,0.1364
cortex suggest,0.023
cortex superior,-0.0218
cortex supplementary,-0.1133
cortex thalamus,-0.0252
cortex ventral,0.023
cortex vlpfc,0.0547
cortex vmpfc,0.1038
cortical,-0.1762
cortical involved,-0.0955
cortical network,-0.101
cortical networks,-0.0588
cortical subcortical,-0.047
cortical thickness,0.0027
cortices,-0.1274
cortico,-0.0111
cost,0.0204
costs,-0.0447
coupled,-0.0233
coupling,0.0063
course,0.0328
courses,-0.0616
covariance,0.0164
covaried,0.008
covert,-0.1367
craving,0.0401
created,-0.0161
criteria,0.0426
critical,0.0312
critical role,-0.0853
critically,-0.0001
cross,0.0078
cross modal,-0.0793
cross sectional,0.0923
crossover,-0.0056
crucial,0.0028
crucial role,-0.0122
crucially,-0.0368
crus,0.0315
cue,-0.016
cued,-0.0242
cues,0.0182
cuneus,0.0217
current,0.1025
current functional,0.0019
currently,-0.0015
dacc,0.0566
daily,0.0205
daily life,0.0238
damage,0.0479
dataset,0.0436
datasets,0.0146
date,0.0641
day,0.0128
days,-0.0062
deactivated,0.0626
deactivation,0.0723
deactivations,0.0232
debate,0.049
debated,-0.0107
decision,0.0564
decision making,0.065
decision task,0.009
decisions,0.0926
decline,0.0183
declines,0.0114
decoding,-0.0308
decreases,0.0376
decreasing,-0.0002
deep,0.0334
default,0.197
default mode,0.1907
default network,0.1455
deficient,0.0169
deficit,0.0555
deficit hyperactivity,0.0553
deficits,0.0504
define,-0.0401
defined,-0.0234
degree,0.0694
degrees,-0.0315
delay,-0.0058
delayed,-0.0264
delivered,-0.0402
demand,-0.0001
demanding,-0.0171
demands,-0.0158
dementia,0.0676
demonstrate,0.002
demonstrated,0.0508
demonstrates,-0.053
demonstrating,0.024
density,0.0283
depend,0.0098
depended,-0.0265
dependence,0.0496
depending,-0.0211
depends,0.0259
depicting,-0.0102
depressed,0.1125
depression,0.1435
depressive,0.1207
depressive disorder,0.0893
deprivation,-0.0322
depth,-0.064
derived,0.027
described,-0.0099
describing,0.0175
design,-0.0603
designed,-0.0414
designs,-0.0262
despite,-0.002
detailed,-0.0219
details,0.0663
detect,0.0381
detected,-0.0518
detecting,-0.018
detection,-0.076
detection task,-0.0462
determine,-0.0033
determined,-0.0108
determining,-0.0059
develop,0.0242
developed,-0.0734
developing,0.0325
development,0.0714
developmental,0.041
diagnosed,0.07
diagnosis,0.0508
diagnostic,0.0063
did,-0.0343
did differ,-0.0125
differ,-0.0207
differed,0.054
difference,-0.0018
differential,-0.0231
differentially,-0.0151
differentiate,-0.0224
differentiated,0.0795
differentiation,0.0245
differently,0.0346
differing,0.0156
differs,-0.0278
difficult,-0.0348
difficulties,0.0676
difficulty,0.0105
diffusion,0.0654
diffusion tensor,0.0686
digit,-0.0494
dimension,0.0098
dimensional,-0.0947
dimensions,0.0285
diminished,0.0328
direct,0.0177
direct evidence,0.011
directed,-0.0436
direction,-0.1262
directions,-0.0535
directly,-0.0671
disability,-0.0057
discrete,-0.0437
discriminate,-0.0299
discriminated,-0.0725
discrimination,-0.1012
discrimination task,-0.0745
discriminative,-0.0491
discuss,-0.0587
discussed,0.0273
discussion,-0.0166
disease,0.0764
disease ad,0.1103
disease pd,-0.0511
diseases,0.0243
disentangle,-0.0217
disgust,-0.0159
disorder,0.1229
disorder adhd,0.0545
disorder mdd,0.0824
disorder ocd,0.0404
disorder ptsd,0.049
disorders,0.121
display,0.0256
displayed,0.0277
displays,-0.0432
disrupted,0.0694
disruption,0.0323
dissociable,0.0583
dissociate,-0.0719
dissociated,0.0035
dissociation,0.0191
distance,-0.0131
distinction,-0.0272
distinguish,0.0424
distinguished,-0.0025
distraction,0.0371
distractor,-0.0155
distractors,-0.0107
distress,0.0961
distributed,0.0166
distributed network,0.0252
distribution,-0.0364
disturbances,0.0608
disturbed,-0.0142
divergent,0.0222
diverse,0.0242
divided,0.0246
dlpfc,0.0479
dmn,0.1865
dmpfc,0.0999
documented,-0.0333
does,-0.0108
domain,0.0121
domain general,0.0071
domains,0.0216
dominance,-0.0843
dominant,-0.111
dopamine,0.0098
dopaminergic,0.0203
dorsal,-0.1057
dorsal anterior,0.0625
dorsal attention,0.0108
dorsal medial,0.1144
dorsal premotor,-0.1949
dorsal striatum,0.0479
dorsal ventral,-0.0633
dorsolateral,0.0473
dorsolateral pfc,0.0522
dorsolateral prefrontal,0.04
dorsomedial,0.1251
dorsomedial prefrontal,0.128
dose,0.0395
dot,-0.0963
double,0.0629
double blind,0.0577
drive,0.0374
driven,0.0166
driving,-0.0195
drug,0.0399
drugs,0.0293
dti,0.0587
dual,0.007
duration,-0.0199
dynamic,-0.0521
dynamic causal,-0.1014
dynamically,0.0259
dynamics,-0.0454
dysfunction,0.1101
dysfunctional,0.0657
dysfunctions,0.0373
dyslexia,-0.0388
dysregulation,0.0751
earlier,-0.0197
early,-0.0046
early stage,-0.0118
early stages,-0.0434
early visual,-0.0653
easy,-0.0168
eating,0.037
echo,0.0592
economic,0.0607
education,0.0361
eeg,-0.0222
effect,0.0511
effective,-0.0424
effective connectivity,-0.0707
effectively,-0.0469
effects,-0.0002
efficacy,-0.0052
efficiency,-0.0349
efficient,-0.0385
effort,-0.0223
effortful,-0.0329
eighteen,0.0456
elderly,0.0698
electrical,-0.1124
electroencephalography,-0.0419
electroencephalography eeg,-0.037
electrophysiological,-0.0236
elements,0.0067
elevated,0.0357
elicit,-0.0144
elicited,-0.0188
elicits,-0.0144
elucidate,0.0413
elucidated,0.0213
elusive,-0.0055
embedded,0.0051
emerge,-0.0144
emerged,-0.0279
emergence,-0.0273
emerging,0.0082
emission,0.0288
emission tomography,0.022
emotion,0.1253
emotion regulation,0.0753
emotional,0.1167
emotional faces,0.0317
emotional information,0.0402
emotional responses,0.0712
emotional stimuli,0.0568
emotional valence,0.084
emotionally,0.0703
emotions,0.0833
empathic,0.0282
empathy,0.0117
emphasize,-0.0476
empirical,-0.0253
employed,-0.0201
employing,0.002
enable,-0.0001
enabled,-0.0627
enables,0.0417
encode,-0.0492
encoded,0.0637
encoding,0.0514
encoding retrieval,0.0323
encompassing,-0.0076
end,-0.0385
endogenous,-0.0207
engage,0.0619
engaged,0.0259
engagement,0.023
engages,-0.0257
engaging,0.0188
english,0.0007
enhance,0.0153
enhancement,-0.0083
enhances,0.0386
enhancing,0.0024
entire,-0.0701
environment,0.0292
environmental,0.0651
environments,0.0421
epilepsy,0.0808
episode,0.0838
episodes,0.1042
episodic,0.213
episodic memory,0.1862
equal,-0.0549
equally,-0.0296
equivalent,-0.0372
erp,-0.0249
error,-0.014
errors,0.0012
especially,-0.0432
essential,0.0204
establish,-0.0115
established,0.0639
estimate,0.0043
estimated,-0.0073
estimates,0.029
estimation,0.0071
et,0.0027
et al,0.0141
evaluate,-0.0005
evaluated,0.0368
evaluating,0.0632
evaluation,0.084
evaluations,0.0967
event,-0.0151
event design,-0.0773
event functional,-0.0032
event potential,-0.0017
event potentials,-0.0021
events,0.1722
everyday,0.0791
everyday life,0.0445
evidence,0.0179
evidence suggests,0.0406
evidenced,0.0222
evident,0.0033
evoke,-0.0113
evoked,-0.113
evolution,-0.0863
exact,0.0718
examination,0.0649
examining,0.0956
example,-0.0085
excessive,0.0336
exclusively,-0.0015
executed,-0.137
execution,-0.1954
executive,0.0359
executive control,0.021
executive function,0.0536
executive functions,-0.0062
exert,-0.0002
exhibit,0.0216
exhibited,0.0559
exhibited greater,0.0328
exhibiting,-0.0157
exist,-0.0106
existence,-0.0445
existing,0.0088
exists,-0.0109
expectancy,0.001
expectation,-0.0558
expectations,0.0286
expected,-0.0673
experience,0.0293
experienced,0.0137
experiences,0.0871
experiencing,0.0401
experiment,-0.0266
experimental,-0.0333
experimental conditions,-0.0532
experimentally,0.0566
experiments,-0.0842
expertise,-0.0562
explain,0.0418
explained,0.02
explanation,0.0016
explicit,0.0264
explicitly,0.0365
exploration,-0.0914
exploratory,0.023
explore,0.0357
explored,0.0365
exploring,0.0302
exposed,0.0463
exposure,0.0357
expressed,-0.005
expression,-0.0056
expressions,0.0396
extend,0.0427
extended,0.0228
extending,0.0357
extends,0.0096
extension,-0.0962
extensive,0.0016
extensively,-0.066
extent,-0.0183
external,0.037
externally,-0.0094
extinction,0.0334
extra,0.0156
extract,-0.0224
extracted,0.0394
extrastriate,-0.1185
eye,-0.1483
eye field,-0.1223
eye fields,-0.1294
eye movement,-0.078
eye movements,-0.1493
eyes,-0.039
fa,0.06
face,0.0128
face ffa,-0.0155
face recognition,-0.0131
faces,0.0431
facial,0.0374
facial expression,-0.0368
facial expressions,0.029
facilitate,0.0278
facilitated,-0.0093
facilitates,0.0162
facilitation,0.0013
fact,0.0266
factor,0.0648
factorial,-0.0966
factorial design,-0.0816
factors,-0.0056
failed,-0.0255
failure,0.0563
false,0.1115
familiar,0.01
familiarity,0.063
family,0.0836
far,0.0004
fasciculus,0.0144
fashion,-0.01
fast,-0.0522
faster,-0.0451
fc,0.0976
fear,0.0445
fearful,0.0314
fearful faces,0.0216
feature,-0.0321
features,-0.0379
feedback,-0.0715
feeling,-0.0242
feelings,0.0425
female,0.0324
females,-0.0009
fewer,0.0376
ffa,0.0021
fiber,0.0127
field,-0.1196
fields,-0.1482
final,0.0707
finally,0.0059
fine,-0.0648
finger,-0.195
finger movements,-0.1709
finger tapping,-0.1177
fixation,-0.0776
fixed,-0.0554
flexibility,0.0396
flexible,0.018
flexibly,-0.0245
flow,-0.0425
fluctuation,0.0454
fluctuations,0.0728
fluency,0.0385
focal,0.0411
foci,-0.1384
focus,-0.0021
focused,0.0535
focusing,0.0053
follow,0.0257
followed,0.0302
following,-0.0508
food,0.0233
foot,-0.0955
force,-0.1199
form,-0.0287
formation,0.0914
formed,0.0045
forms,-0.0133
forward,-0.0704
fourteen,-0.0445
fractional,0.0648
fractional anisotropy,0.0602
framework,0.0668
free,0.0545
frequencies,-0.0613
frequency,-0.0199
frequency fluctuations,0.0726
frequent,-0.0198
frequently,0.0201
frontal,-0.0063
frontal cortex,-0.0176
frontal cortices,0.0197
frontal eye,-0.1314
frontal gyri,0.0483
frontal gyrus,0.0332
frontal lobe,0.0792
frontal lobes,0.0061
frontal operculum,-0.033
frontal parietal,-0.0322
frontal temporal,0.0542
fronto,-0.0359
fronto parietal,-0.1014
fronto striatal,0.0349
fronto temporal,0.079
frontoparietal,-0.0376
frontoparietal network,-0.0468
frontopolar,0.0194
frontotemporal,0.0363
fully,-0.0138
function,0.084
functional abnormalities,0.0534
functional connections,0.0081
functional connectivity,0.1401
functional coupling,-0.0199
functional magnetic,-0.1183
functional network,0.0393
functional networks,0.0519
functional neuroanatomy,-0.0642
functional organization,0.0331
functional role,-0.0182
functional structural,0.0416
functionally,0.0087
functionally connected,0.0111
functioning,0.0725
functions,0.0006
fundamental,0.0237
furthermore,-0.0193
fusiform,-0.0039
fusiform face,-0.0037
fusiform gyri,-0.0223
fusiform gyrus,-0.0111
future,0.1105
gain,-0.0038
gains,0.0402
gambling,0.0708
game,0.076
gamma,0.0021
ganglia,-0.0627
gap,0.0285
gaze,-0.0887
gender,0.1031
gene,0.0637
general,-0.0408
general linear,-0.1017
generalized,0.062
generally,-0.0336
generate,0.0106
generated,0.0131
generating,-0.0181
generation,-0.0738
genes,0.0657
genetic,0.0902
genetic risk,0.0804
genotype,0.0931
german,0.0329
gestures,-0.0677
given,-0.0022
global,0.0167
globus,-0.0278
globus pallidus,-0.0282
gm,0.049
gm volume,0.0255
goal,-0.0284
goal directed,-0.0191
goals,-0.0031
good,-0.0191
gradient,0.0351
granger,0.0235
graph,-0.009
grasping,-0.1913
gray,0.0799
gray matter,0.0729
great,0.0192
greater,0.0313
greater extent,-0.0282
greatest,0.0178
grey,0.0613
grey matter,0.0663
group,0.0582
group comparisons,0.0292
group healthy,0.0632
group level,-0.0313
groups,0.0813
growing,0.0387
guide,-0.0431
guided,-0.1426
gyri,0.0282
gyrus,0.0263
gyrus anterior,-0.0203
gyrus ba,0.0072
gyrus cerebellum,0.0156
gyrus ifg,-0.0145
gyrus inferior,-0.0184
gyrus insula,-0.0023
gyrus medial,0.0542
gyrus mfg,0.0254
gyrus middle,0.0779
gyrus posterior,0.0636
gyrus precuneus,0.1005
gyrus stg,-0.037
gyrus superior,-0.0199
half,0.0594
hand,-0.2131
hand movements,-0.1229
handed,-0.1761
handedness,-0.0476
hands,-0.1827
happy,0.0637
happy faces,0.0164
having,0.0041
hc,0.1018
hcs,0.0315
head,-0.0615
health,0.0903
healthy,0.0377
healthy adults,-0.02
healthy control,0.0208
healthy controls,0.096
healthy handed,-0.0826
healthy human,-0.0085
healthy individuals,0.0492
healthy male,0.0055
healthy volunteers,-0.0799
healthy young,0.0419
heard,0.0276
hearing,-0.0208
heart,-0.0059
heart rate,-0.0039
heightened,0.0252
held,0.0003
help,0.0598
hemisphere,-0.1135
hemispheres,-0.1147
hemispheric,-0.0825
hemodynamic,-0.0524
hemodynamic response,-0.0462
hemodynamic responses,0.0163
heschl,-0.0075
heschl gyrus,-0.0093
heterogeneity,0.0292
heterogeneous,0.0554
hierarchical,-0.0057
hierarchy,-0.0217
high,0.0841
high frequency,-0.0403
high functioning,-0.0181
high level,-0.0209
high low,0.0117
high resolution,0.0604
high risk,0.0929
higher,-0.0037
higher level,0.0255
higher levels,-0.0235
higher order,-0.0984
highest,-0.0285
highlight,0.0177
highlighted,-0.0059
highlights,-0.0169
highly,0.0304
hippocampal,0.1489
hippocampus,0.1606
history,0.0859
hoc,0.0313
homogeneity,0.0575
homogeneity reho,0.0558
hub,0.0687
hubs,0.0199
hum,-0.0113
hum mapp,-0.0217
human,-0.0879
humans,-0.0654
hyperactivation,0.0025
hyperactivity,0.0357
hyperactivity disorder,0.0593
hypoactivation,0.015
hypothalamus,0.0472
hypotheses,0.0036
hypothesize,-0.0307
hypothesized,-0.0151
hz,-0.0945
ica,0.098
idea,-0.022
identical,-0.0563
identification,0.0289
identified,0.0093
identify,0.0077
identifying,0.0199
identity,-0.0245
ifg,0.0005
ii,-0.0136
iii,-0.0011
illness,0.1011
illusion,-0.1281
illustrate,0.0169
image,-0.0107
imagery,-0.1631
images,0.0259
images acquired,0.0253
imagine,0.0164
imagined,-0.0197
imitation,-0.1334
immediate,0.0224
immediately,-0.0222
impact,0.0452
impacts,0.0383
impaired,0.0439
impairment,0.0965
impairments,0.0483
implementation,-0.0124
implemented,-0.0047
implicate,0.0528
implicated,0.0906
implications,0.0206
implications understanding,0.0433
implicit,0.0395
imply,0.0058
importance,0.0202
important,0.0248
important role,-0.0266
importantly,0.0258
improve,-0.0183
improved,-0.0292
improvement,-0.0049
improvements,0.0395
improves,0.0188
impulsive,0.0885
impulsivity,0.0705
incentive,0.0276
incentive delay,0.0348
incidental,0.0321
include,0.0154
included,-0.0172
includes,0.0191
incongruent,-0.0587
inconsistent,0.0041
incorrect,0.0073
increases,0.0585
increasing,0.0223
increasingly,-0.03
independent,0.0623
independent component,0.1253
independently,-0.0581
index,-0.1146
index finger,-0.1631
indexed,-0.0272
indicate,0.0074
indicated,0.0183
indicates,-0.033
indicating,-0.0359
indices,0.0378
indirect,0.0468
individual,0.0529
individual variability,-0.0129
individually,-0.0171
individuals,0.1047
