Feature,../../data/brains/braindiff_i_mni.nii.gz
conclusion,0.0048
concomitant,0.003
concrete,0.0048
concurrent,-0.0015
concurrently,-0.0249
condition,0.0199
conditioned,-0.0173
conditioning,-0.0086
conditions,-0.0295
conductance,0.0086
conducted,0.038
confidence,0.0381
confirm,0.0334
confirmed,-0.0524
conflict,-0.0105
conflicting,-0.0704
confounding,-0.0286
congruency,-0.04
congruent,-0.0617
congruent incongruent,-0.0087
conjunction,-0.0143
connected,0.0265
connection,-0.0167
connections,0.0272
connectivity,0.1362
connectivity amygdala,0.0208
connectivity analyses,0.0082
connectivity anterior,0.0359
connectivity fc,0.0684
connectivity networks,0.0983
connectivity patterns,0.0482
connectivity posterior,0.0594
connectivity rsfc,0.0475
connectivity using,0.0365
conscious,0.018
consciousness,0.0341
consecutive,0.0191
consequence,0.0061
consequences,0.0297
consequently,0.0183
consider,0.0063
considerable,-0.0524
considered,0.0221
considering,0.0538
consisted,-0.0273
consistency,0.0195
consistently,0.0351
consisting,-0.0524
consists,0.0
consolidation,0.0296
constant,-0.0219
constitute,0.0223
constrained,0.0167
constraints,-0.0291
construct,0.0536
constructed,0.0161
construction,0.0481
consumption,0.0471
contain,-0.0026
contained,0.0175
containing,-0.0237
contains,-0.0195
content,0.0551
contents,0.0243
context,0.0011
contexts,0.0617
contextual,0.0353
contingent,0.0087
continuous,0.0718
continuously,0.0137
contralateral,-0.0602
contrary,0.0188
contrast,0.0028
contrasted,-0.0275
contrasting,0.0025
contrasts,-0.021
contribute,0.005
contributed,0.0226
contributes,0.0012
contributing,0.013
contribution,-0.028
contributions,-0.0031
control,-0.0235
control condition,0.0093
control conditions,-0.0334
control group,-0.0073
control groups,0.0234
control network,0.0421
control processes,-0.0248
control task,-0.0836
controlled,0.0347
controlling,0.0051
controls,0.0858
controls hc,0.0669
controls hcs,0.0107
controls using,0.0293
controversial,-0.0845
conventional,0.0164
convergence,-0.0497
converging,-0.03
conversely,-0.0312
conveyed,0.0123
coordinates,-0.0629
coordination,-0.0445
core,0.0274
corpus,0.0143
corpus callosum,0.0152
correct,-0.0171
corrected,0.0614
correction,0.0198
correctly,-0.038
correlate,-0.0198
correlated,0.0502
correlated negatively,0.0298
correlated positively,0.0003
correlates,0.099
correlating,-0.0024
correlation,0.0611
correlation analyses,0.001
correlations,0.0764
correspond,-0.029
corresponded,-0.0092
correspondence,0.0154
corresponding,-0.0309
cortex acc,0.0115
cortex amygdala,-0.0216
cortex anterior,-0.0136
cortex ba,-0.0295
cortex bilaterally,-0.0497
cortex cerebellum,-0.0194
cortex dacc,-0.0015
cortex dlpfc,-0.0074
cortex dmpfc,0.0937
cortex dorsal,-0.0435
cortex dorsolateral,-0.0083
cortex frontal,-0.0006
cortex hippocampus,-0.0065
cortex inferior,-0.0249
cortex insula,-0.0167
cortex involved,-0.058
cortex lateral,-0.0346
cortex m1,-0.0249
cortex medial,0.0584
cortex middle,0.0289
cortex mpfc,0.1466
cortex ofc,0.0175
cortex parietal,-0.0274
cortex pcc,0.151
cortex pfc,-0.0293
cortex posterior,0.1106
cortex ppc,-0.0619
cortex precuneus,0.1458
cortex suggest,-0.0166
cortex superior,0.0254
cortex supplementary,-0.0165
cortex thalamus,-0.0122
cortex ventral,-0.0029
cortex vlpfc,0.0257
cortex vmpfc,0.0596
cortical,-0.0187
cortical involved,-0.0525
cortical network,-0.0293
cortical networks,-0.0166
cortical subcortical,-0.0035
cortical thickness,0.0372
cortices,-0.0333
cortico,0.0021
cost,-0.0089
costs,-0.0268
coupled,0.0172
coupling,0.0228
course,0.047
courses,0.026
covariance,0.028
covaried,0.0013
covert,-0.0791
craving,0.0369
created,0.0155
criteria,-0.0012
critical,0.0042
critical role,-0.0506
critically,-0.0113
cross,-0.01
cross modal,-0.0691
cross sectional,0.0822
crossover,-0.0325
crucial,-0.0094
crucial role,-0.032
crucially,-0.0348
crus,-0.0004
cue,-0.0015
cued,-0.0083
cues,0.0391
cuneus,0.0689
current,0.0407
current functional,0.0031
currently,0.0104
dacc,0.0008
daily,0.0182
daily life,0.0236
damage,-0.0198
dataset,0.0734
datasets,0.0556
date,0.0765
day,0.0085
days,0.0088
deactivated,0.0281
deactivation,0.0758
deactivations,0.0479
debate,-0.0121
debated,-0.0388
decision,0.014
decision making,0.0486
decision task,-0.0169
decisions,0.025
decline,0.0003
declines,-0.0127
decoding,-0.0208
decreases,0.04
decreasing,0.0073
deep,0.0028
default,0.2013
default mode,0.2022
default network,0.1193
deficient,0.0264
deficit,0.0153
deficit hyperactivity,0.0656
deficits,-0.0192
define,-0.0217
defined,0.0171
degree,-0.0065
degrees,-0.0119
delay,-0.0177
delayed,-0.0004
delivered,-0.0151
demand,-0.01
demanding,-0.019
demands,-0.0956
dementia,-0.0152
demonstrate,-0.0065
demonstrated,0.03
demonstrates,-0.0331
demonstrating,-0.0148
density,0.0246
depend,-0.0048
depended,-0.024
dependence,0.0449
depending,-0.0172
depends,-0.0041
depicting,0.0034
depressed,0.0831
depression,0.0792
depressive,0.0628
depressive disorder,0.0405
deprivation,-0.0108
depth,-0.0573
derived,0.0242
described,-0.0094
describing,0.0248
design,-0.0231
designed,-0.0259
designs,-0.0248
despite,-0.005
detailed,-0.025
details,-0.0094
detect,0.0383
detected,-0.0139
detecting,-0.0271
detection,-0.0263
detection task,-0.0243
determine,0.0314
determined,-0.0314
determining,0.0042
develop,0.0293
developed,-0.0553
developing,0.0415
development,0.05
developmental,0.0131
diagnosed,0.0168
diagnosis,0.0365
diagnostic,0.0084
did,-0.0398
did differ,-0.0116
differ,-0.0028
differed,-0.0072
difference,0.0123
differential,-0.037
differentially,-0.0303
differentiate,-0.0221
differentiated,0.024
differentiation,0.0183
differently,0.0485
differing,-0.0156
differs,0.0009
difficult,-0.0323
difficulties,0.0592
difficulty,-0.0261
diffusion,0.0119
diffusion tensor,0.0154
digit,-0.0456
dimension,-0.035
dimensional,-0.0327
dimensions,-0.0313
diminished,0.0233
direct,-0.0034
direct evidence,-0.0192
directed,0.0108
direction,-0.0278
directions,-0.0061
directly,-0.036
disability,0.0134
discrete,-0.0139
discriminate,-0.0323
discriminated,-0.0237
discrimination,-0.0881
discrimination task,-0.076
discriminative,-0.0198
discuss,-0.0397
discussed,0.0239
discussion,0.0023
disease,0.0365
disease ad,0.0564
disease pd,-0.0198
diseases,0.027
disentangle,-0.0315
disgust,-0.0164
disorder,0.0893
disorder adhd,0.0546
disorder mdd,0.0356
disorder ocd,0.0245
disorder ptsd,0.0394
disorders,0.0905
display,0.0294
displayed,0.0028
displays,-0.0067
disrupted,0.0625
disruption,0.0365
dissociable,0.0035
dissociate,-0.0464
dissociated,-0.0495
dissociation,0.0077
distance,-0.0623
distinction,-0.0089
distinguish,0.0279
distinguished,-0.0034
distraction,-0.0187
distractor,-0.0488
distractors,-0.0313
distress,0.0567
distributed,-0.0205
distributed network,-0.0623
distribution,0.0106
disturbances,0.053
disturbed,0.046
divergent,0.02
diverse,0.0252
divided,-0.0389
dlpfc,-0.0082
dmn,0.1931
dmpfc,0.1044
documented,-0.0433
does,-0.0223
domain,-0.0386
domain general,-0.0011
domains,-0.0172
dominance,-0.0673
dominant,-0.0421
dopamine,-0.0198
dopaminergic,0.0101
dorsal,-0.0201
dorsal anterior,0.0509
dorsal attention,0.0419
dorsal medial,0.1016
dorsal premotor,-0.0224
dorsal striatum,0.0246
dorsal ventral,-0.0471
dorsolateral,-0.0129
dorsolateral pfc,0.0029
dorsolateral prefrontal,-0.0116
dorsomedial,0.1045
dorsomedial prefrontal,0.1041
dose,0.0025
dot,-0.056
double,0.0326
double blind,0.0132
drive,0.0258
driven,0.05
driving,-0.0471
drug,0.0293
drugs,0.0219
dti,0.0201
dual,-0.0108
duration,0.0115
dynamic,-0.0247
dynamic causal,-0.0871
dynamically,-0.0047
dynamics,0.0046
dysfunction,0.0799
dysfunctional,0.0281
dysfunctions,0.0426
dyslexia,-0.057
dysregulation,0.041
earlier,0.0015
early,-0.0192
early stage,-0.0215
early stages,-0.0466
early visual,-0.0318
easy,-0.0045
eating,0.0144
echo,0.0231
economic,0.0436
education,0.0283
eeg,0.0412
effect,-0.0153
effective,-0.0126
effective connectivity,-0.0295
effectively,-0.0113
effects,-0.021
efficacy,-0.0074
efficiency,0.0017
efficient,-0.0351
effort,-0.0165
effortful,-0.0066
eighteen,0.013
elderly,0.0185
electrical,-0.0499
electroencephalography,0.0342
electroencephalography eeg,0.0254
electrophysiological,0.0082
elements,-0.0058
elevated,0.0119
elicit,0.0344
elicited,-0.0312
elicits,0.0278
elucidate,0.0492
elucidated,0.0028
elusive,-0.0094
embedded,0.039
emerge,0.0113
emerged,0.0083
emergence,-0.0033
emerging,0.0304
emission,0.0247
emission tomography,0.0213
emotion,0.0738
emotion regulation,0.079
emotional,0.0484
emotional faces,-0.0196
emotional information,-0.0091
emotional responses,0.0684
emotional stimuli,0.0394
emotional valence,0.0257
emotionally,0.0004
emotions,0.0677
empathic,0.0523
empathy,0.0324
emphasize,-0.0246
empirical,-0.0023
employed,-0.0113
employing,0.0222
enable,0.0036
enabled,0.0182
enables,0.0534
encode,-0.0221
encoded,0.0015
encoding,-0.0667
encoding retrieval,-0.0477
encompassing,0.0247
end,-0.0413
endogenous,0.0008
engage,0.005
engaged,0.0263
engagement,-0.0287
engages,-0.0212
engaging,-0.0053
english,-0.0375
enhance,-0.0205
enhancement,-0.04
enhances,0.0066
enhancing,-0.0402
entire,0.0028
environment,0.0167
environmental,0.0195
environments,0.0066
epilepsy,0.0278
episode,0.0252
episodes,0.044
episodic,0.0852
episodic memory,0.055
equal,-0.0413
equally,-0.0339
equivalent,-0.0669
erp,-0.0374
error,-0.0136
errors,-0.0029
especially,-0.0353
essential,0.0147
establish,-0.0058
established,0.0289
estimate,0.0059
estimated,0.0119
estimates,0.0549
estimation,0.0031
et,0.0135
et al,0.0237
evaluate,0.0414
evaluated,0.0396
evaluating,0.014
evaluation,0.0671
evaluations,0.0833
event,-0.0248
event design,-0.0508
event functional,-0.0214
event potential,0.0006
event potentials,-0.0161
events,0.0748
everyday,0.0451
everyday life,0.0072
evidence,-0.0181
evidence suggests,0.0228
evidenced,0.0027
evident,0.0044
evoke,-0.0238
evoked,-0.0439
evolution,-0.0214
exact,0.0028
examination,0.0434
examining,0.0844
example,-0.0005
excessive,0.0541
exclusively,-0.0234
executed,-0.0461
execution,-0.0613
executive,-0.0078
executive control,0.0022
executive function,0.0093
executive functions,-0.0077
exert,-0.0076
exhibit,0.0005
exhibited,0.0158
exhibited greater,-0.0263
exhibiting,0.0298
exist,-0.0113
existence,-0.0296
existing,0.0299
exists,0.0149
expectancy,-0.0186
expectation,-0.0202
expectations,0.0145
expected,-0.0087
experience,-0.0022
experienced,0.0119
experiences,0.0647
experiencing,0.028
experiment,-0.0488
experimental,0.0141
experimental conditions,0.0042
experimentally,0.0314
experiments,-0.0486
expertise,-0.0355
explain,0.0258
explained,0.0098
explanation,-0.0091
explicit,0.01
explicitly,0.0229
exploration,-0.0408
exploratory,0.0381
explore,0.0438
explored,0.0231
exploring,-0.0063
exposed,-0.0006
exposure,0.0375
expressed,-0.023
expression,-0.0196
expressions,-0.0065
extend,0.0168
extended,0.0237
extending,0.0162
extends,0.0097
extension,-0.0075
extensive,0.0085
extensively,-0.0278
extent,-0.0201
external,0.058
externally,0.0044
extinction,-0.0168
extra,-0.0178
extract,-0.0029
extracted,0.0398
extrastriate,-0.0759
eye,-0.037
eye field,-0.0418
eye fields,-0.0327
eye movement,-0.0031
eye movements,-0.0644
eyes,0.0238
fa,0.0166
face,-0.0662
face ffa,-0.0622
face recognition,-0.0506
faces,-0.0479
facial,-0.0107
facial expression,-0.0338
facial expressions,-0.0027
facilitate,-0.0051
facilitated,-0.0266
facilitates,-0.0174
facilitation,-0.0213
fact,0.0659
factor,0.0573
factorial,-0.0678
factorial design,-0.044
factors,-0.0205
failed,-0.0494
failure,0.0395
false,0.0667
familiar,-0.0419
familiarity,-0.0137
family,0.0375
far,0.022
fasciculus,-0.0213
fashion,-0.0065
fast,-0.0467
faster,-0.028
fc,0.0779
fear,0.0096
fearful,-0.0255
fearful faces,-0.0266
feature,-0.0403
features,-0.0203
feedback,0.0015
feeling,-0.0018
feelings,0.0223
female,0.0443
females,0.0224
fewer,-0.0098
ffa,-0.0552
fiber,-0.0362
field,-0.0226
fields,-0.046
final,0.0312
finally,0.0003
fine,-0.0342
finger,-0.0351
finger movements,-0.0208
finger tapping,-0.0271
fixation,-0.0169
fixed,-0.0314
flexibility,0.0123
flexible,-0.0062
flexibly,-0.0106
flow,0.0177
fluctuation,0.0853
fluctuations,0.1023
fluency,-0.0136
focal,0.0238
foci,-0.0228
focus,0.0489
focused,0.0324
focusing,-0.0049
follow,0.0637
followed,0.0243
following,-0.0228
food,-0.0206
foot,-0.0343
force,-0.0536
form,-0.0468
formation,-0.0136
formed,-0.0227
forms,-0.0448
forward,-0.0277
fourteen,-0.0217
fractional,0.0415
fractional anisotropy,0.0115
framework,0.035
free,0.0512
frequencies,0.0056
frequency,0.0615
frequency fluctuations,0.075
frequent,-0.0218
frequently,0.0076
frontal,-0.0533
frontal cortex,-0.0404
frontal cortices,0.0093
frontal eye,-0.0451
frontal gyri,-0.002
frontal gyrus,-0.0162
frontal lobe,-0.018
frontal lobes,-0.0615
frontal operculum,-0.0281
frontal parietal,-0.0497
frontal temporal,0.0166
fronto,-0.0444
fronto parietal,-0.0633
fronto striatal,-0.0029
fronto temporal,0.0202
frontoparietal,-0.0497
frontoparietal network,-0.0476
frontopolar,0.0111
frontotemporal,0.0064
fully,-0.0252
function,0.0427
functional abnormalities,0.0171
functional connections,0.0269
functional connectivity,0.1366
functional coupling,-0.0132
functional magnetic,-0.0695
functional network,0.0688
functional networks,0.1024
functional neuroanatomy,-0.0257
functional organization,0.0173
functional role,-0.0129
functional structural,-0.0024
functionally,0.0494
functionally connected,0.0144
functioning,0.0471
functions,-0.0287
fundamental,0.0107
furthermore,-0.0055
fusiform,-0.0895
fusiform face,-0.0593
fusiform gyri,-0.0536
fusiform gyrus,-0.0928
future,0.0748
gain,-0.0011
gains,-0.0008
gambling,0.0351
game,0.0623
gamma,0.0045
ganglia,-0.0129
gap,0.0368
gaze,-0.0324
gender,0.0524
gene,0.0196
general,-0.0182
general linear,0.0041
generalized,0.0249
generally,-0.0446
generate,0.0221
generated,0.0304
generating,0.0124
generation,-0.0378
genes,0.0207
genetic,0.0432
genetic risk,0.0569
genotype,0.034
german,0.0042
gestures,-0.0316
given,-0.0235
global,0.0513
globus,0.0043
globus pallidus,0.004
gm,0.0161
gm volume,0.0096
goal,-0.0032
goal directed,0.0063
goals,0.0094
good,0.0146
gradient,0.0193
granger,0.043
graph,0.0295
grasping,-0.0534
gray,0.0456
gray matter,0.0455
great,0.0392
greater,-0.0291
greater extent,-0.0485
greatest,0.0188
grey,0.0155
grey matter,0.0179
group,0.0474
group comparisons,0.0307
group healthy,0.0461
group level,-0.0257
groups,0.0393
growing,0.0142
guide,0.0004
guided,-0.0354
gyri,-0.0017
gyrus,-0.0109
gyrus anterior,0.014
gyrus ba,-0.0228
gyrus cerebellum,0.0351
gyrus ifg,-0.0748
gyrus inferior,-0.0211
gyrus insula,-0.0043
gyrus medial,0.0423
gyrus mfg,-0.0179
gyrus middle,0.0322
gyrus posterior,0.0344
gyrus precuneus,0.086
gyrus stg,-0.0044
gyrus superior,0.0104
half,0.0123
hand,-0.0438
hand movements,-0.03
handed,-0.0746
handedness,-0.0343
hands,-0.0495
happy,0.0021
happy faces,-0.0235
having,0.0136
hc,0.0644
hcs,0.0163
head,-0.0098
health,0.0651
healthy,0.0291
healthy adults,-0.0183
healthy control,0.0024
healthy controls,0.0948
healthy handed,-0.0193
healthy human,-0.0007
healthy individuals,0.0301
healthy male,-0.0346
healthy volunteers,-0.0491
healthy young,-0.0025
heard,0.0251
hearing,-0.0375
heart,0.0016
heart rate,-0.0015
heightened,0.0111
held,0.0076
help,0.0676
hemisphere,-0.0915
hemispheres,-0.0686
hemispheric,-0.0992
hemodynamic,0.0206
hemodynamic response,0.0041
hemodynamic responses,0.0418
heschl,0.0285
heschl gyrus,0.0347
heterogeneity,-0.0448
heterogeneous,0.0292
hierarchical,0.0241
hierarchy,-0.0285
high,0.0669
high frequency,0.0097
high functioning,0.0219
high level,-0.0313
high low,0.0058
high resolution,0.0392
high risk,0.0719
higher,0.0203
higher level,0.0127
higher levels,0.0122
higher order,-0.0507
highest,-0.0229
highlight,0.0148
highlighted,-0.0291
highlights,-0.0125
highly,0.0225
hippocampal,0.0149
hippocampus,0.0203
history,0.0159
hoc,0.0269
homogeneity,0.0863
homogeneity reho,0.0925
hub,0.0459
hubs,0.0272
hum,0.0142
hum mapp,0.0106
human,-0.0222
humans,-0.0612
hyperactivation,0.0033
hyperactivity,0.0623
hyperactivity disorder,0.0696
hypoactivation,0.0067
hypothalamus,0.025
hypotheses,-0.0023
hypothesize,-0.0157
hypothesized,0.0037
hz,0.0133
ica,0.1456
idea,-0.0267
identical,-0.0392
identification,-0.0398
identified,0.0185
identify,0.0222
identifying,0.0257
identity,-0.0515
ifg,-0.0526
ii,-0.0037
iii,-0.012
illness,0.0893
illusion,-0.0575
illustrate,-0.0246
image,0.0057
imagery,-0.0575
images,-0.0131
images acquired,0.013
imagine,0.003
imagined,-0.0054
imitation,-0.0537
immediate,0.0164
immediately,0.0036
impact,0.0027
impacts,0.0061
impaired,0.018
impairment,0.0208
impairments,0.0302
implementation,-0.0002
implemented,0.0134
implicate,0.0014
implicated,0.0508
implications,0.0118
implications understanding,0.0544
implicit,0.028
imply,-0.002
importance,0.011
important,0.011
important role,-0.0192
importantly,0.0111
improve,0.0274
improved,-0.022
improvement,0.0164
improvements,0.037
improves,0.023
impulsive,0.0586
impulsivity,0.0633
incentive,-0.0009
incentive delay,0.023
incidental,0.0172
include,0.0253
included,-0.019
includes,0.0114
incongruent,-0.0553
inconsistent,0.0072
incorrect,-0.0025
increases,-0.0066
increasing,0.0024
increasingly,0.0063
independent,0.0992
independent component,0.1784
independently,-0.0233
index,-0.0197
index finger,-0.023
indexed,-0.0135
indicate,-0.0056
indicated,-0.0376
indicates,0.0054
indicating,-0.0166
indices,0.0219
indirect,0.0423
