Feature,../../data/brains/braindiff_ad_mni.nii.gz
brains,0.0145
brainstem,-0.0141
brief,0.0173
broad,-0.0128
broader,0.0324
broca,-0.0956
brodmann,-0.0173
brodmann ba,-0.0494
button,0.0212
calculated,0.0505
calculation,-0.0881
called,0.0228
callosum,-0.0208
candidate,0.0282
canonical,0.0139
capacity,-0.004
capture,0.0144
carried,-0.0299
carriers,0.0154
case,-0.0155
cases,-0.0153
categorical,-0.0452
categories,-0.0736
categorization,-0.0657
category,-0.0737
caudal,0.0053
caudate,-0.0182
caudate nucleus,-0.0235
causal,-0.0495
causal modeling,-0.0912
causality,0.1068
cause,-0.0096
caused,0.0157
causes,0.0313
center,-0.0134
centered,-0.0016
central,0.0616
central role,0.0469
cerebellar,-0.0351
cerebellum,-0.0262
cerebral,0.02
cerebral blood,0.0131
cerebral cortex,0.0121
certain,0.0246
challenge,0.0143
challenges,-0.009
challenging,0.021
change,-0.0146
changed,0.0404
changing,0.0018
character,-0.0025
characteristic,0.0122
characteristics,0.0199
characterization,0.0014
characterize,0.0615
characterized,0.0922
characterizing,0.0265
characters,-0.0771
childhood,0.0245
children,-0.0163
children adolescents,0.0502
chinese,-0.1033
choice,0.031
choices,0.0296
choose,0.0142
chosen,0.016
chronic,0.0486
chronic pain,0.0233
cingulate,0.1226
cingulate cortex,0.1128
cingulate cortices,0.0262
cingulate gyrus,0.0635
circuit,0.0246
circuitry,0.0282
circuits,0.0321
clarify,0.0105
class,-0.0154
classic,0.0333
classical,-0.0037
classification,-0.0372
classified,-0.0128
clear,-0.0235
clearly,-0.011
clinical,0.0673
clinically,0.0285
clips,0.0043
close,0.0293
closed,0.0539
closely,0.0099
cluster,-0.0148
clustering,0.0577
clusters,-0.0288
code,-0.0055
coding,-0.0499
cognition,0.0724
cognitive,0.0626
cognitive control,0.0114
cognitive deficits,-0.063
cognitive emotional,0.0348
cognitive function,-0.0282
cognitive functions,-0.003
cognitive impairment,0.0249
cognitive neuroscience,0.0165
cognitive performance,0.0189
cognitive processes,0.0347
cognitive task,0.0519
cognitive tasks,0.0269
cognitively,0.0123
coherence,0.0606
coherent,0.0718
cohort,0.0045
collected,0.0494
collectively,-0.0108
color,-0.0641
combination,-0.0048
combinations,-0.0204
combined,-0.0226
combining,0.0023
common,0.0121
commonly,0.0136
communication,0.0466
community,0.0036
comparable,0.0124
compare,0.0154
comparing,-0.0158
comparisons,0.0129
compatible,0.007
compensate,0.0091
compensation,0.0241
compensatory,-0.0034
competing,-0.0039
competition,-0.0259
complementary,0.0355
complete,0.0261
completed,0.0222
completely,0.0156
complex,-0.0246
complexity,-0.0168
component,0.1186
component ica,0.1862
components,0.027
composed,-0.0069
comprehension,-0.0013
comprehensive,0.038
comprised,0.0323
compromised,0.0001
compulsive,-0.0142
compulsive disorder,-0.0107
computation,0.0098
computational,0.0162
computed,0.0484
concentration,-0.0071
concept,0.0405
concepts,-0.0204
conceptual,-0.0427
concerning,0.0769
conclude,-0.0253
conclusion,-0.009
concomitant,0.0089
concrete,0.0025
concurrent,0.0154
concurrently,-0.0329
condition,0.0252
conditioned,-0.0389
conditioning,-0.0268
conditions,0.0037
conductance,0.0201
conducted,0.0227
confidence,0.0218
confirm,0.0337
confirmed,-0.0136
conflict,-0.0142
conflicting,-0.0693
confounding,-0.0105
congruency,-0.0578
congruent,-0.056
congruent incongruent,-0.0265
conjunction,-0.0001
connected,0.049
connection,-0.0091
connections,0.0642
connectivity,0.1658
connectivity amygdala,0.0111
connectivity analyses,0.0148
connectivity anterior,0.0408
connectivity fc,0.0643
connectivity networks,0.1345
connectivity patterns,0.0771
connectivity posterior,0.0697
connectivity rsfc,0.0389
connectivity using,0.0441
conscious,0.0256
consciousness,0.0292
consecutive,0.0124
consequence,-0.0025
consequences,0.0417
consequently,0.0183
consider,-0.0068
considerable,-0.0489
considered,0.0179
considering,0.0539
consisted,-0.003
consistency,0.0185
consistently,0.0496
consisting,-0.0249
consists,0.008
consolidation,0.0153
constant,-0.0204
constitute,0.0234
constrained,0.0369
constraints,0.0002
construct,0.0381
constructed,0.0274
construction,0.0443
consumption,0.0554
contain,-0.0015
contained,0.0058
containing,-0.03
contains,-0.0221
content,0.0496
contents,0.0218
context,-0.007
contexts,0.021
contextual,0.0248
contingent,0.0158
continuous,0.069
continuously,0.0084
contralateral,0.0049
contrary,0.0279
contrast,-0.0004
contrasted,-0.0116
contrasting,-0.0123
contrasts,-0.0524
contribute,0.0003
contributed,0.0261
contributes,-0.0175
contributing,0.0126
contribution,-0.0456
contributions,0.0162
control,0.0111
control condition,-0.0084
control conditions,0.0011
control group,0.0119
control groups,0.0132
control network,0.0645
control processes,-0.0215
control task,-0.094
controlled,0.0272
controlling,0.002
controls,0.0579
controls hc,0.054
controls hcs,0.0182
controls using,0.0195
controversial,-0.0641
conventional,0.0163
convergence,-0.031
converging,-0.0621
conversely,-0.037
conveyed,-0.0012
coordinates,-0.0404
coordination,0.0048
core,0.0207
corpus,-0.0243
corpus callosum,-0.0208
correct,-0.0113
corrected,0.0468
correction,0.027
correctly,-0.0198
correlate,-0.0514
correlated,0.028
correlated negatively,0.0313
correlated positively,-0.0094
correlates,0.0895
correlating,0.0108
correlation,0.0706
correlation analyses,0.0025
correlations,0.0755
correspond,-0.0365
corresponded,-0.0173
correspondence,0.0295
corresponding,0.0211
cortex acc,0.0164
cortex amygdala,-0.0171
cortex anterior,0.0034
cortex ba,-0.0275
cortex bilaterally,-0.0506
cortex cerebellum,-0.01
cortex dacc,-0.0024
cortex dlpfc,-0.0158
cortex dmpfc,0.1079
cortex dorsal,-0.0008
cortex dorsolateral,-0.0007
cortex frontal,0.0167
cortex hippocampus,-0.021
cortex inferior,-0.0113
cortex insula,-0.0169
cortex involved,-0.0105
cortex lateral,-0.0171
cortex m1,0.0159
cortex medial,0.0535
cortex middle,0.0319
cortex mpfc,0.1562
cortex ofc,0.0005
cortex parietal,-0.0252
cortex pcc,0.157
cortex pfc,-0.007
cortex posterior,0.1274
cortex ppc,-0.0231
cortex precuneus,0.1381
cortex suggest,-0.0235
cortex superior,0.0636
cortex supplementary,0.0133
cortex thalamus,-0.0095
cortex ventral,0.0073
cortex vlpfc,0.0169
cortex vmpfc,0.0692
cortical,0.0241
cortical involved,-0.0236
cortical network,0.0105
cortical networks,0.0191
cortical subcortical,-0.0044
cortical thickness,0.0428
cortices,0.0153
cortico,-0.0038
cost,-0.0253
costs,-0.0308
coupled,0.0421
coupling,0.0292
course,0.0426
courses,0.0737
covariance,0.0391
covaried,-0.0046
covert,-0.0535
craving,0.0257
created,-0.0012
criteria,-0.004
critical,-0.0292
critical role,-0.0246
critically,-0.0111
cross,-0.036
cross modal,-0.0822
cross sectional,0.0498
crossover,-0.035
crucial,-0.0108
crucial role,-0.0441
crucially,-0.0418
crus,-0.0457
cue,-0.0057
cued,0.0031
cues,0.0217
cuneus,0.0833
current,0.0212
current functional,0.0264
currently,0.0236
dacc,-0.0088
daily,0.0123
daily life,0.0213
damage,-0.0697
dataset,0.0783
datasets,0.0743
date,0.0623
day,0.0148
days,0.0047
deactivated,0.0382
deactivation,0.1121
deactivations,0.0771
debate,-0.0516
debated,-0.0459
decision,0.0106
decision making,0.0527
decision task,-0.0261
decisions,0.0038
decline,0.0059
declines,-0.0214
decoding,-0.0492
decreases,0.0599
decreasing,0.0202
deep,-0.0193
default,0.2473
default mode,0.246
default network,0.1498
deficient,0.0182
deficit,-0.0176
deficit hyperactivity,0.0531
deficits,-0.0594
define,-0.0014
defined,0.0355
degree,-0.0174
degrees,-0.0112
delay,-0.0218
delayed,-0.0007
delivered,-0.0158
demand,0.0118
demanding,0.0013
demands,-0.1032
dementia,-0.0314
demonstrate,-0.0049
demonstrated,0.004
demonstrates,-0.0146
demonstrating,-0.0072
density,0.0205
depend,0.0054
depended,-0.0033
dependence,0.0458
depending,0.0029
depends,0.0066
depicting,-0.0077
depressed,0.0556
depression,0.0459
depressive,0.0321
depressive disorder,0.0241
deprivation,-0.017
depth,-0.0578
derived,0.0238
described,0.0102
describing,0.0199
design,-0.0078
designed,-0.0025
designs,-0.0187
despite,-0.0125
detailed,-0.0217
details,0.0158
detect,0.0242
detected,0.0109
detecting,-0.0267
detection,-0.0022
detection task,0.0001
determine,0.0244
determined,-0.0396
determining,0.0083
develop,0.0234
developed,-0.0295
developing,0.0438
development,0.0283
developmental,-0.0083
diagnosed,-0.0107
diagnosis,0.0213
diagnostic,0.0198
did,-0.0433
did differ,-0.0248
differ,0.0069
differed,-0.0248
difference,0.0049
differential,-0.0276
differentially,-0.0308
differentiate,-0.0102
differentiated,0.0204
differentiation,0.004
differently,0.0325
differing,-0.0344
differs,0.0087
difficult,-0.022
difficulties,0.0514
difficulty,-0.0201
diffusion,-0.0436
diffusion tensor,-0.0372
digit,-0.0354
dimension,-0.0318
dimensional,0.0052
dimensions,-0.0289
diminished,0.0051
direct,-0.0194
direct evidence,-0.0431
directed,0.0713
direction,-0.0021
directions,0.0135
directly,-0.007
disability,0.0246
discrete,0.0025
discriminate,-0.0077
discriminated,0.0004
discrimination,-0.0502
discrimination task,-0.0296
discriminative,0.0211
discuss,-0.0003
discussed,0.0296
discussion,0.0238
disease,0.0285
disease ad,0.0468
disease pd,-0.0075
diseases,0.0299
disentangle,-0.0497
disgust,-0.0133
disorder,0.052
disorder adhd,0.038
disorder mdd,0.0164
disorder ocd,-0.01
disorder ptsd,0.0292
disorders,0.0739
display,0.0129
displayed,-0.0001
displays,0.0124
disrupted,0.0542
disruption,0.0347
dissociable,-0.0069
dissociate,-0.0315
dissociated,-0.0452
dissociation,0.0104
distance,-0.0607
distinction,-0.0029
distinguish,0.0174
distinguished,-0.0094
distraction,-0.0355
distractor,-0.0454
distractors,-0.0129
distress,0.035
distributed,-0.0213
distributed network,-0.0755
distribution,0.0075
disturbances,0.0277
disturbed,0.052
divergent,0.0224
diverse,0.0159
divided,-0.0719
dlpfc,-0.0156
dmn,0.225
dmpfc,0.1244
documented,-0.0465
does,-0.0262
domain,-0.0362
domain general,-0.0001
domains,0.0097
dominance,-0.0584
dominant,-0.0062
dopamine,-0.034
dopaminergic,-0.0007
dorsal,0.0357
dorsal anterior,0.0527
dorsal attention,0.0873
dorsal medial,0.1021
dorsal premotor,0.0433
dorsal striatum,0.0078
dorsal ventral,-0.0398
dorsolateral,-0.0194
dorsolateral pfc,-0.0058
dorsolateral prefrontal,-0.0141
dorsomedial,0.1081
dorsomedial prefrontal,0.1102
dose,-0.0147
dot,-0.0201
double,0.0082
double blind,-0.0094
drive,0.0061
driven,0.0579
driving,-0.0463
drug,0.01
drugs,0.0091
dti,-0.0262
dual,-0.0383
duration,0.0195
dynamic,-0.0077
dynamic causal,-0.0864
dynamically,0.0081
dynamics,0.0565
dysfunction,0.0725
dysfunctional,0.0022
dysfunctions,0.0217
dyslexia,-0.076
dysregulation,0.016
earlier,0.0098
early,-0.0306
early stage,-0.0358
early stages,-0.0377
early visual,-0.0198
easy,-0.0036
eating,0.0014
echo,-0.0029
economic,0.038
education,0.008
eeg,0.0513
effect,-0.0324
effective,-0.0068
effective connectivity,-0.0233
effectively,0.0003
effects,-0.0274
efficacy,-0.0192
efficiency,0.0162
efficient,-0.039
effort,-0.0204
effortful,-0.0007
eighteen,-0.0087
elderly,0.012
electrical,-0.0079
electroencephalography,0.0596
electroencephalography eeg,0.0522
electrophysiological,0.0062
elements,-0.006
elevated,-0.0134
elicit,0.0275
elicited,-0.0383
elicits,0.0268
elucidate,0.025
elucidated,0.0022
elusive,-0.0007
embedded,0.0242
emerge,0.027
emerged,0.0365
emergence,0.0102
emerging,0.0274
emission,0.0122
emission tomography,0.01
emotion,0.0428
emotion regulation,0.0656
emotional,0.0325
emotional faces,-0.0305
emotional information,-0.0167
emotional responses,0.0537
emotional stimuli,0.0451
emotional valence,0.0001
emotionally,-0.0157
emotions,0.0579
empathic,0.0622
empathy,0.0498
emphasize,0.0047
empirical,0.033
employed,0.009
employing,0.0306
enable,0.0249
enabled,0.0317
enables,0.0523
encode,-0.028
encoded,-0.0198
encoding,-0.0974
encoding retrieval,-0.0544
encompassing,0.0415
end,-0.0294
endogenous,0.0057
engage,0.0043
engaged,0.0411
engagement,-0.0447
engages,-0.0183
engaging,-0.0064
english,-0.0684
enhance,-0.0227
enhancement,-0.0456
enhances,-0.0092
enhancing,-0.0554
entire,0.0284
environment,0.0019
environmental,-0.0274
environments,-0.0082
epilepsy,0.0144
episode,0.002
episodes,-0.0064
episodic,0.063
episodic memory,0.0295
equal,-0.0394
equally,-0.0282
equivalent,-0.0551
erp,-0.0236
error,-0.0117
errors,-0.0134
especially,-0.0285
essential,-0.0056
establish,-0.0047
established,-0.0031
estimate,0.0164
estimated,0.0371
estimates,0.0477
estimation,0.037
et,0.0074
et al,0.0149
evaluate,0.0483
evaluated,0.0334
evaluating,0.0128
evaluation,0.0615
evaluations,0.0642
event,-0.0141
event design,-0.0313
event functional,-0.0476
event potential,0.0051
event potentials,-0.0155
events,0.0556
everyday,0.0248
everyday life,-0.0055
evidence,-0.0287
evidence suggests,0.0324
evidenced,0.0021
evident,0.0317
evoke,-0.0444
evoked,-0.008
evolution,0.0128
exact,-0.022
examination,0.0583
examining,0.0702
example,0.0078
excessive,0.05
exclusively,-0.0054
executed,-0.0134
execution,-0.0005
executive,-0.0041
executive control,0.0021
executive function,0.0125
executive functions,-0.0112
exert,0.0018
exhibit,0.0058
exhibited,0.004
exhibited greater,-0.0365
exhibiting,0.0387
exist,-0.0184
existence,-0.0374
existing,0.0257
exists,0.0196
expectancy,-0.0246
expectation,-0.0008
expectations,0.0265
expected,-0.0007
experience,-0.0026
experienced,0.0173
experiences,0.0649
experiencing,0.0267
experiment,-0.0589
experimental,0.0413
experimental conditions,0.0169
experimentally,0.0316
experiments,-0.0356
expertise,-0.026
explain,0.0124
explained,-0.0164
explanation,-0.0114
explicit,0.006
explicitly,0.0255
exploration,-0.006
exploratory,0.0342
explore,0.0383
explored,0.034
exploring,-0.0146
exposed,-0.0343
exposure,0.0178
expressed,-0.0271
expression,-0.0181
expressions,-0.0394
extend,-0.0045
extended,0.0287
extending,-0.022
extends,0.0068
extension,0.0279
extensive,0.0144
extensively,-0.0017
extent,-0.0038
external,0.0755
externally,0.0351
extinction,-0.0036
extra,-0.0236
extract,0.0056
extracted,0.0339
extrastriate,-0.0471
eye,0.0046
eye field,0.0139
eye fields,0.0128
eye movement,0.0156
eye movements,-0.0288
eyes,0.0317
fa,-0.0357
face,-0.096
face ffa,-0.0847
face recognition,-0.052
faces,-0.0735
facial,-0.0462
facial expression,-0.0201
facial expressions,-0.036
facilitate,-0.0141
facilitated,-0.0291
facilitates,-0.0214
facilitation,-0.0242
fact,0.0629
factor,0.0325
factorial,-0.0276
factorial design,-0.0167
factors,-0.0228
failed,-0.0482
failure,0.0057
false,0.0499
familiar,-0.0405
familiarity,-0.0163
family,0.014
far,0.0362
fasciculus,-0.0592
fashion,-0.0236
fast,-0.0451
faster,-0.0055
fc,0.0689
fear,-0.0084
fearful,-0.037
fearful faces,-0.0359
feature,-0.0434
features,-0.0251
feedback,0.0311
feeling,0.0214
feelings,0.0263
female,0.0394
females,0.0187
fewer,-0.0127
ffa,-0.0863
fiber,-0.0776
field,0.0058
fields,0.007
final,0.022
finally,-0.0111
fine,-0.0075
finger,0.0232
finger movements,0.0262
finger tapping,-0.002
fixation,0.0115
fixed,-0.0137
flexibility,-0.0035
flexible,-0.0063
flexibly,0.0091
flow,0.0233
fluctuation,0.0815
fluctuations,0.1199
fluency,-0.0461
focal,0.004
foci,0.0128
focus,0.067
focused,0.0422
focusing,-0.0113
follow,0.0782
followed,0.0271
following,-0.0251
food,-0.0274
foot,-0.0131
force,-0.02
form,-0.0629
formation,-0.0661
formed,-0.0345
forms,-0.0518
forward,-0.0257
fourteen,-0.0032
fractional,-0.0083
fractional anisotropy,-0.0405
framework,0.0505
free,0.0474
frequencies,0.0257
frequency,0.0728
frequency fluctuations,0.0576
frequent,-0.0125
frequently,0.0014
frontal,-0.0761
frontal cortex,-0.0323
frontal cortices,-0.0013
frontal eye,0.0013
frontal gyri,-0.0333
frontal gyrus,-0.0647
frontal lobe,-0.0404
frontal lobes,-0.0606
frontal operculum,-0.0139
frontal parietal,-0.0396
frontal temporal,-0.0053
fronto,-0.03
fronto parietal,-0.015
fronto striatal,-0.0371
fronto temporal,-0.0218
frontoparietal,-0.0279
frontoparietal network,-0.0413
frontopolar,0.0559
frontotemporal,-0.0277
fully,-0.0267
function,0.0398
functional abnormalities,-0.0128
functional connections,0.0471
functional connectivity,0.1643
functional coupling,0.0202
functional magnetic,-0.042
functional network,0.0717
functional networks,0.1398
functional neuroanatomy,-0.0124
functional organization,0.0223
functional role,-0.0167
functional structural,-0.0224
functionally,0.072
functionally connected,0.0433
functioning,0.0496
functions,-0.0233
fundamental,-0.0015
furthermore,0.0128
fusiform,-0.1275
fusiform face,-0.0879
fusiform gyri,-0.0668
fusiform gyrus,-0.1327
future,0.0874
gain,-0.0067
gains,-0.0074
gambling,0.0102
game,0.0514
gamma,0.001
ganglia,-0.0093
gap,0.0237
gaze,-0.0192
gender,0.0346
gene,-0.0176
general,0.0088
general linear,0.0528
generalized,0.0151
generally,-0.0318
generate,0.0197
generated,0.0336
generating,0.026
generation,-0.0217
genes,-0.0169
genetic,0.0066
genetic risk,0.0286
genotype,-0.0062
german,-0.0263
gestures,-0.0452
given,-0.0203
global,0.0583
globus,0.009
globus pallidus,0.0091
gm,-0.0122
gm volume,-0.0124
goal,0.0387
goal directed,0.048
goals,0.0252
good,0.009
gradient,0.0157
granger,0.0774
graph,0.0815
grasping,-0.005
gray,0.0053
gray matter,0.0101
great,0.0475
greater,-0.0475
greater extent,-0.0423
greatest,0.0053
grey,-0.0195
grey matter,-0.0132
group,0.0203
group comparisons,0.0202
group healthy,0.0283
group level,-0.0214
groups,0.0252
growing,0.0025
guide,0.0295
guided,0.0301
gyri,-0.0227
gyrus,-0.061
gyrus anterior,0.0152
gyrus ba,-0.067
gyrus cerebellum,0.0268
gyrus ifg,-0.1126
gyrus inferior,-0.0484
gyrus insula,-0.0037
gyrus medial,0.0471
gyrus mfg,-0.0248
gyrus middle,0.0066
gyrus posterior,0.0339
gyrus precuneus,0.0491
gyrus stg,-0.025
gyrus superior,-0.0016
half,-0.0128
hand,0.0115
hand movements,-0.0035
handed,-0.0465
handedness,-0.0252
hands,0.0004
happy,-0.0194
happy faces,-0.0195
having,0.011
hc,0.053
hcs,0.0138
head,0.0102
health,0.0489
healthy,0.0293
healthy adults,0.0092
healthy control,0.0015
healthy controls,0.0767
healthy handed,-0.0039
healthy human,0.0046
healthy individuals,0.0242
healthy male,-0.0315
healthy volunteers,-0.0271
healthy young,-0.0122
heard,0.0029
hearing,-0.074
heart,-0.0015
heart rate,-0.006
heightened,0.0106
held,0.0224
help,0.0708
hemisphere,-0.1111
hemispheres,-0.0682
hemispheric,-0.1067
hemodynamic,0.0436
hemodynamic response,0.0292
hemodynamic responses,0.0351
heschl,-0.0037
heschl gyrus,0.0019
heterogeneity,-0.0495
heterogeneous,0.0188
hierarchical,0.0278
hierarchy,-0.0338
high,0.0356
high frequency,0.026
high functioning,0.0426
high level,-0.0215
high low,0.011
high resolution,0.011
high risk,0.0532
higher,0.0342
higher level,-0.0124
higher levels,0.0203
higher order,-0.0248
highest,0.0045
highlight,0.0275
highlighted,-0.0083
highlights,0.0157
highly,0.0279
hippocampal,-0.0204
hippocampus,-0.018
history,-0.009
hoc,0.0172
homogeneity,0.0795
homogeneity reho,0.089
hub,0.0569
hubs,0.055
hum,0.0341
hum mapp,0.0345
human,0.0123
humans,-0.0313
hyperactivation,-0.0051
hyperactivity,0.0563
hyperactivity disorder,0.0556
hypoactivation,-0.0009
hypothalamus,0.0022
hypotheses,0.0117
hypothesize,0.0024
hypothesized,0.0266
hz,0.0473
ica,0.1875
idea,-0.02
identical,-0.0325
identification,-0.0559
identified,0.0164
identify,0.0312
identifying,0.0191
identity,-0.0549
ifg,-0.0967
ii,-0.0082
iii,-0.0231
illness,0.0539
illusion,-0.0233
illustrate,-0.0383
image,0.0001
imagery,-0.023
images,-0.0471
images acquired,-0.0068
imagine,0.0014
imagined,0.0073
imitation,-0.0186
immediate,0.0198
immediately,0.0048
impact,0.0128
impacts,-0.0096
impaired,0.0192
impairment,0.0106
impairments,0.0255
implementation,-0.0026
implemented,0.0358
implicate,-0.014
implicated,0.0293
implications,0.0034
implications understanding,0.0489
implicit,0.013
imply,0.007
importance,0.0141
important,0.0126
important role,-0.0067
importantly,0.0017
improve,0.0183
improved,-0.0039
improvement,0.0049
improvements,0.0204
improves,0.0012
impulsive,0.0285
impulsivity,0.0499
incentive,-0.017
incentive delay,0.0066
incidental,0.0236
include,0.026
included,-0.0074
includes,0.0134
incongruent,-0.0657
inconsistent,0.0095
incorrect,-0.0074
increases,-0.0236
increasing,-0.0092
increasingly,0.0189
independent,0.1312
independent component,0.2022
independently,-0.0038
index,0.0203
index finger,0.0273
indexed,0.0084
indicate,-0.0042
indicated,-0.0552
indicates,0.0156
indicating,0.0021
indices,0.006
indirect,0.0
individual,0.0206
individual variability,0.0073
individually,0.0018
