Feature,../../data/brains/braindiff_a2_mni.nii.gz
adolescence,0.0117
adolescent,0.0473
adolescents,0.0354
adopted,-0.0402
adult,0.0147
adulthood,0.0114
adults,0.0254
advance,0.0071
advanced,-0.0015
advances,-0.0098
advantage,-0.0203
affect,-0.0076
affected,-0.0272
affecting,-0.0374
affective,-0.0041
affects,0.034
age,0.0196
age controls,-0.0518
age gender,0.044
age groups,0.03
age healthy,-0.0325
age sex,-0.0072
aged,-0.0077
agent,0.0332
ages,0.0099
aging,0.0263
agreement,0.0444
aim,0.0027
aimed,0.0011
aims,0.0108
al,0.0147
alcohol,0.0172
alff,0.0133
algorithm,0.0108
allele,-0.0053
allocation,0.0159
allow,0.0002
allowed,0.0001
allowing,0.0182
allows,0.0324
alpha,-0.0093
alter,0.0215
alteration,0.0077
alterations,0.0321
altered,0.0385
alternating,-0.0002
alternative,0.0187
alters,0.0032
alzheimer,-0.0236
alzheimer disease,-0.0217
ambiguous,-0.0228
amnestic,0.0184
amplitude,-0.0012
amplitude low,0.018
amplitudes,0.0201
amygdala,-0.0449
amygdala anterior,-0.0273
amygdala hippocampus,-0.033
amygdala insula,-0.0191
amygdala response,-0.0244
amygdala responses,-0.0403
analysed,0.0261
analyses,0.0175
analyze,-0.0271
analyzed,0.0012
analyzed using,-0.0047
analyzing,0.0093
anatomical,-0.0701
anatomically,-0.0269
anatomy,-0.0464
anger,-0.0203
angry,-0.0295
angular,0.0825
angular gyrus,0.0796
animal,-0.0614
animals,-0.0347
anisotropy,-0.0607
anisotropy fa,-0.0636
anterior,0.0455
anterior cingulate,0.0588
anterior hippocampus,-0.0365
anterior insula,0.0111
anterior insular,-0.0208
anterior intraparietal,0.0052
anterior medial,0.0216
anterior posterior,0.0453
anterior prefrontal,0.0599
anterior superior,0.019
anterior temporal,-0.0732
anti,0.0499
anticipation,-0.0146
anticipatory,-0.0252
anxiety,-0.0028
anxiety disorders,-0.0338
apart,-0.0154
aphasia,-0.0445
apparent,-0.0193
appear,-0.0359
appeared,-0.0318
appears,-0.0112
application,0.0068
applied,-0.0049
apply,-0.0076
applying,-0.025
appraisal,0.0213
approach,0.0296
approaches,0.042
appropriate,0.0089
approximately,0.0038
architecture,0.0373
argue,0.0001
arise,0.0217
arithmetic,-0.0488
arm,0.014
arousal,-0.0281
arterial,0.015
arterial spin,0.0183
articulatory,-0.0327
asd,0.0288
asked,-0.0115
aspect,0.0358
aspects,0.036
assess,-0.0112
assessed,0.0148
assessed using,0.0197
assessing,-0.0108
assessment,-0.0219
assessments,-0.0089
assigned,0.0265
association,0.0084
associations,-0.015
associative,-0.0396
assume,-0.0413
assumed,0.035
assumption,0.0004
asymmetry,-0.0253
atrophy,-0.0285
attempt,0.0106
attempted,0.0053
attend,-0.0092
attended,-0.0051
attending,0.0236
attention,0.0685
attention deficit,0.0346
attention network,0.056
attention task,0.0295
attentional,0.0545
attentional control,0.0623
attenuated,-0.0231
attenuation,-0.0045
attributed,0.0121
attributes,-0.0181
attribution,0.0386
atypical,0.02
audiovisual,0.016
auditory,0.0073
auditory cortex,0.0018
auditory stimuli,0.0025
auditory visual,0.0073
autism,0.0566
autism spectrum,0.0402
autobiographical,0.0347
autobiographical memory,0.023
automated,0.0073
automatic,0.0162
automatically,-0.0146
autonomic,-0.013
available,0.0095
average,-0.0282
aversive,-0.0269
avoid,0.0069
avoidance,-0.0059
awareness,0.0178
away,0.0674
axis,-0.0343
ba,0.0138
ba 44,-0.0581
background,0.004
balance,0.0285
band,0.0158
bands,0.0473
basal,-0.0213
basal ganglia,-0.0127
baseline,-0.0189
bases,0.0092
basic,0.0017
basis,0.0223
bayesian,0.0107
beginning,-0.0096
behavior,0.0696
behavioral,0.0006
behavioral evidence,0.0292
behavioral level,-0.0058
behavioral measures,0.0043
behavioral performance,0.0061
behavioral responses,-0.0294
behaviorally,0.0277
behaviors,0.033
behaviour,0.0548
behavioural,-0.0334
belief,0.0854
beliefs,0.1544
believed,-0.0113
beneficial,0.0455
benefit,0.0081
benefits,0.0033
best,-0.0163
beta,0.0406
better,-0.001
better understanding,-0.0348
bias,-0.0082
biased,0.0061
biases,-0.0114
bilaterally,-0.0482
bilinguals,-0.0006
binding,-0.0279
biological,0.0227
biomarker,-0.0036
biomarkers,0.0295
bipolar,0.0214
bipolar disorder,0.0218
blind,-0.0202
block,-0.0195
block design,-0.0403
blocked,-0.0478
blocks,-0.0151
blood,-0.0162
blood flow,0.0
blood oxygen,-0.011
blood oxygenation,-0.0074
bodily,-0.0232
body,-0.0483
bold,0.0067
bold response,0.0032
bold responses,-0.014
bold signal,0.0315
bold signals,0.0125
brains,-0.0282
brainstem,-0.0374
brief,0.0177
broad,-0.0176
broader,0.0215
broca,-0.0498
brodmann,0.0247
brodmann ba,0.0029
button,0.0236
calculated,-0.0072
calculation,-0.0384
called,0.0356
callosum,-0.0365
candidate,-0.0175
canonical,0.009
capacity,0.0432
capture,0.0348
carried,-0.0081
carriers,0.0053
case,-0.0125
cases,0.0169
categorical,-0.0297
categories,-0.0473
categorization,-0.0321
category,-0.0207
caudal,0.0082
caudate,-0.0182
caudate nucleus,0.0063
causal,-0.0304
causal modeling,-0.044
causality,0.0462
cause,0.0082
caused,0.0019
causes,0.0239
center,-0.0133
centered,-0.0006
central,0.0483
central role,0.046
cerebellar,-0.0553
cerebellum,-0.0567
cerebral,-0.0037
cerebral blood,-0.0036
cerebral cortex,-0.005
certain,0.0219
challenge,0.0202
challenges,-0.0046
challenging,0.0157
change,-0.0139
changed,0.0264
changing,0.0259
character,0.003
characteristic,0.0132
characteristics,-0.0054
characterization,-0.0164
characterize,0.0691
characterized,0.046
characterizing,0.0143
characters,-0.0404
childhood,0.0048
children,0.0002
children adolescents,0.0278
chinese,-0.0482
choice,0.0419
choices,0.0518
choose,0.0332
chosen,0.0099
chronic,-0.0092
chronic pain,-0.0223
cingulate,0.0892
cingulate cortex,0.0692
cingulate cortices,0.0162
cingulate gyrus,0.0525
circuit,-0.0
circuitry,0.0039
circuits,0.0328
clarify,-0.0088
class,-0.0117
classic,0.0242
classical,-0.0065
classification,-0.0341
classified,-0.0154
clear,-0.0334
clearly,0.0102
clinical,0.0017
clinically,0.0106
clips,0.0478
close,0.0217
closed,0.0443
closely,0.0146
cluster,-0.0532
clustering,0.0126
clusters,-0.0412
code,0.0368
coding,-0.0137
cognition,0.0647
cognitive,0.0753
cognitive control,0.076
cognitive deficits,-0.0477
cognitive emotional,0.0336
cognitive function,-0.0231
cognitive functions,-0.0003
cognitive impairment,-0.0269
cognitive neuroscience,0.0052
cognitive performance,0.0004
cognitive processes,0.0574
cognitive task,0.011
cognitive tasks,0.0027
cognitively,0.0417
coherence,0.0476
coherent,0.0403
cohort,-0.0113
collected,0.0402
collectively,0.0045
color,-0.0011
combination,-0.049
combinations,-0.0172
combined,-0.0083
combining,0.0174
common,0.0405
commonly,-0.0151
communication,0.038
community,-0.0154
comparable,-0.0026
compare,0.0174
comparing,-0.0213
comparisons,0.0173
compatible,0.0207
compensate,-0.0013
compensation,0.0493
compensatory,0.0138
competing,0.0056
competition,0.0095
complementary,0.0171
complete,0.0165
completed,0.0088
completely,0.0104
complex,-0.0306
complexity,0.0105
component,0.0935
component ica,0.1105
components,0.038
composed,-0.0199
comprehension,0.0123
comprehensive,-0.0005
comprised,0.037
compromised,-0.0078
compulsive,0.0135
compulsive disorder,0.0182
computation,0.0063
computational,-0.019
computed,0.0165
concentration,-0.0251
concept,0.0124
concepts,-0.0108
conceptual,-0.0391
concerning,0.0324
conclude,-0.0072
conclusion,-0.0427
concomitant,0.0261
concrete,-0.0093
concurrent,0.0209
concurrently,-0.013
condition,0.036
conditioned,-0.0573
conditioning,-0.0453
conditions,0.0162
conductance,-0.002
conducted,0.0094
confidence,0.0358
confirm,0.0064
confirmed,-0.0583
conflict,0.0488
conflicting,-0.0313
confounding,-0.0245
congruency,0.0067
congruent,-0.0172
congruent incongruent,-0.0016
conjunction,0.0254
connected,0.0133
connection,-0.0201
connections,0.0061
connectivity,0.063
connectivity amygdala,-0.0265
connectivity analyses,0.0159
connectivity anterior,0.0218
connectivity fc,0.0076
connectivity networks,0.0937
connectivity patterns,0.0311
connectivity posterior,0.0075
connectivity rsfc,0.0
connectivity using,0.05
conscious,0.0373
consciousness,0.0364
consecutive,0.0068
consequence,0.0024
consequences,0.0111
consequently,0.0013
consider,-0.0105
considerable,-0.0379
considered,0.0141
considering,0.055
consisted,-0.0189
consistency,0.006
consistently,0.0432
consisting,-0.0258
consists,0.0028
consolidation,-0.0267
constant,-0.0264
constitute,0.0248
constrained,0.0162
constraints,-0.0358
construct,0.0066
constructed,0.0058
construction,0.0029
consumption,0.0283
contain,0.0035
contained,0.0092
containing,-0.0017
contains,-0.022
content,0.0277
contents,0.0323
context,-0.0055
contexts,0.0568
contextual,0.0195
contingent,0.027
continuous,0.062
continuously,0.0156
contralateral,-0.0247
contrary,0.0271
contrast,0.0265
contrasted,-0.0226
contrasting,0.0047
contrasts,-0.0349
contribute,-0.0213
contributed,0.0147
contributes,-0.0158
contributing,0.0118
contribution,-0.0041
contributions,0.0183
control,0.0483
control condition,0.0303
control conditions,0.0075
control group,-0.0136
control groups,0.0152
control network,0.0585
control processes,0.0465
control task,-0.0449
controlled,0.0666
controlling,-0.0102
controls,0.0031
controls hc,0.0443
controls hcs,-0.0181
controls using,-0.0106
controversial,-0.0432
conventional,0.009
convergence,-0.0261
converging,-0.0451
conversely,-0.0266
conveyed,0.025
coordinates,-0.0359
coordination,-0.0133
core,0.0051
corpus,-0.0408
corpus callosum,-0.0365
correct,0.0298
corrected,-0.0057
correction,-0.0105
correctly,-0.0079
correlate,-0.0332
correlated,-0.0094
correlated negatively,0.0046
correlated positively,-0.0236
correlates,0.1092
correlating,0.0018
correlation,0.0066
correlation analyses,-0.0193
correlations,0.0254
correspond,-0.0113
corresponded,-0.0307
correspondence,0.0316
corresponding,-0.0034
cortex acc,0.0415
cortex amygdala,-0.0449
cortex anterior,0.0091
cortex ba,0.0022
cortex bilaterally,-0.0278
cortex cerebellum,-0.0239
cortex dacc,0.0067
cortex dlpfc,0.0576
cortex dmpfc,0.0454
cortex dorsal,-0.0064
cortex dorsolateral,0.0173
cortex frontal,0.0279
cortex hippocampus,-0.0494
cortex inferior,0.0002
cortex insula,0.0001
cortex involved,-0.0127
cortex lateral,-0.004
cortex m1,-0.0057
cortex medial,0.0399
cortex middle,0.0283
cortex mpfc,0.0855
cortex ofc,-0.0135
cortex parietal,0.0181
cortex pcc,0.0704
cortex pfc,0.0109
cortex posterior,0.0667
cortex ppc,0.0216
cortex precuneus,0.0834
cortex suggest,-0.0164
cortex superior,0.0385
cortex supplementary,0.0062
cortex thalamus,-0.01
cortex ventral,-0.0029
cortex vlpfc,0.0269
cortex vmpfc,0.0116
cortical,0.0039
cortical involved,-0.036
cortical network,0.0077
cortical networks,0.0191
cortical subcortical,-0.0196
cortical thickness,0.012
cortices,0.0312
cortico,-0.04
cost,-0.0106
costs,0.0096
coupled,0.021
coupling,0.0099
course,0.0328
courses,0.0582
covariance,0.0202
covaried,-0.0113
covert,-0.0357
craving,0.0033
created,0.0056
criteria,-0.006
critical,0.0259
critical role,-0.0182
critically,0.0233
cross,0.0022
cross modal,-0.0313
cross sectional,0.0429
crossover,-0.039
crucial,0.0065
crucial role,-0.0263
crucially,-0.0148
crus,-0.06
cue,0.0566
cued,0.0363
cues,0.0609
cuneus,0.0756
current,0.0243
current functional,0.0346
currently,0.0117
dacc,0.0169
daily,0.0362
daily life,0.0318
damage,-0.0535
dataset,0.0747
datasets,0.0504
date,0.0446
day,-0.0212
days,-0.0058
deactivated,0.0023
deactivation,0.0579
deactivations,0.0205
debate,-0.0058
debated,-0.03
decision,0.0359
decision making,0.0597
decision task,-0.0114
decisions,0.0253
decline,-0.0069
declines,-0.0335
decoding,-0.0124
decreases,0.0114
decreasing,0.013
deep,-0.0486
default,0.1203
default mode,0.1236
default network,0.0594
deficient,0.0179
deficit,-0.0103
deficit hyperactivity,0.0391
deficits,-0.0141
define,-0.0275
defined,0.0072
degree,-0.0282
degrees,-0.0073
delay,-0.008
delayed,0.0464
delivered,-0.0216
demand,0.0262
demanding,0.0267
demands,-0.0272
dementia,-0.0697
demonstrate,-0.004
demonstrated,0.0138
demonstrates,-0.0344
demonstrating,-0.0407
density,-0.0398
depend,0.0031
depended,-0.0093
dependence,0.0288
depending,0.0051
depends,0.005
depicting,0.0108
depressed,0.025
depression,0.0042
depressive,-0.0068
depressive disorder,-0.004
deprivation,0.0041
depth,-0.0299
derived,0.0011
described,-0.009
describing,0.0202
design,-0.0163
designed,-0.0117
designs,-0.0071
despite,-0.0127
detailed,-0.0115
details,-0.0476
detect,0.0254
detected,0.0114
detecting,0.013
detection,0.0274
detection task,0.0102
determine,0.016
determined,-0.0288
determining,0.0177
develop,0.0023
developed,-0.0319
developing,0.0192
development,0.0067
developmental,0.0065
diagnosed,-0.0247
diagnosis,-0.016
diagnostic,-0.0085
did,-0.0094
did differ,0.0099
differ,0.0142
differed,-0.0037
difference,-0.0221
differential,-0.0064
differentially,0.0037
differentiate,-0.0178
differentiated,0.0123
differentiation,0.0095
differently,0.0358
differing,0.0064
differs,0.0074
difficult,-0.0075
difficulties,0.0285
difficulty,0.0219
diffusion,-0.0654
diffusion tensor,-0.063
digit,-0.0189
dimension,-0.0092
dimensional,-0.0125
dimensions,-0.0273
diminished,0.007
direct,0.0162
direct evidence,-0.0066
directed,0.0523
direction,0.02
directions,-0.033
directly,0.0048
disability,-0.0077
discrete,-0.0068
discriminate,-0.0102
discriminated,-0.0132
discrimination,-0.0486
discrimination task,-0.0487
discriminative,0.0017
discuss,-0.0263
discussed,0.0243
discussion,-0.0176
disease,-0.032
disease ad,-0.003
disease pd,-0.0146
diseases,-0.0085
disentangle,0.0205
disgust,-0.0297
disorder,0.0272
disorder adhd,0.0294
disorder mdd,-0.0063
disorder ocd,0.0158
disorder ptsd,0.016
disorders,0.0224
display,0.0238
displayed,-0.0098
displays,-0.0237
disrupted,0.0225
disruption,0.0073
dissociable,0.0102
dissociate,-0.0168
dissociated,-0.0163
dissociation,0.0282
distance,-0.0338
distinction,0.0011
distinguish,0.0281
distinguished,0.0016
distraction,-0.0046
distractor,-0.0256
distractors,-0.0054
distress,0.0308
distributed,0.0171
distributed network,-0.0403
distribution,0.0293
disturbances,0.0183
disturbed,0.0632
divergent,-0.0019
diverse,0.0092
divided,-0.041
dlpfc,0.0624
dmn,0.1131
dmpfc,0.0562
documented,-0.0284
does,-0.0081
domain,-0.0037
domain general,0.042
domains,-0.0075
dominance,-0.0396
dominant,-0.0021
dopamine,-0.0358
dopaminergic,-0.0106
dorsal,0.0538
dorsal anterior,0.054
dorsal attention,0.06
dorsal medial,0.0611
dorsal premotor,0.0379
dorsal striatum,0.001
dorsal ventral,-0.0032
dorsolateral,0.0714
dorsolateral pfc,0.022
dorsolateral prefrontal,0.0717
dorsomedial,0.0725
dorsomedial prefrontal,0.0641
dose,-0.0332
dot,-0.0122
double,0.0104
double blind,-0.0242
drive,-0.0036
driven,0.0612
driving,-0.0552
drug,-0.0078
drugs,0.0156
dti,-0.0406
dual,0.0105
duration,-0.0103
dynamic,-0.0125
dynamic causal,-0.0489
dynamically,0.0013
dynamics,0.0396
dysfunction,0.0396
dysfunctional,0.0105
dysfunctions,0.0283
dyslexia,-0.0544
dysregulation,0.0046
earlier,0.0106
early,-0.0258
early stage,-0.0326
early stages,-0.0178
early visual,-0.0057
easy,0.0247
eating,-0.0211
echo,-0.0341
economic,0.0323
education,0.0095
eeg,0.0224
effect,-0.0443
effective,0.0046
effective connectivity,0.01
effectively,0.002
effects,-0.0386
efficacy,-0.0141
efficiency,0.0352
efficient,0.004
effort,0.0135
effortful,0.0184
eighteen,0.0114
elderly,0.01
electrical,-0.0469
electroencephalography,0.0284
electroencephalography eeg,0.0091
electrophysiological,0.0032
elements,0.0029
elevated,-0.0213
elicit,0.0398
elicited,-0.014
elicits,0.0338
elucidate,0.0405
elucidated,-0.0167
elusive,-0.0056
embedded,0.0455
emerge,0.001
emerged,-0.0036
emergence,-0.0047
emerging,0.0034
emission,-0.0149
emission tomography,-0.0116
emotion,0.0111
emotion regulation,0.0439
emotional,-0.0087
emotional faces,-0.0242
emotional information,-0.0172
emotional responses,0.0453
emotional stimuli,-0.0001
emotional valence,-0.0323
emotionally,-0.0414
emotions,0.0154
empathic,0.0431
empathy,0.0195
emphasize,-0.0027
empirical,0.0188
employed,0.0086
employing,0.017
enable,0.0163
enabled,0.0305
enables,0.0466
encode,-0.0252
encoded,0.0057
encoding,-0.062
encoding retrieval,-0.0288
encompassing,0.0086
end,-0.0245
endogenous,0.0056
engage,-0.0086
engaged,0.045
engagement,-0.0092
engages,-0.0039
engaging,-0.0025
english,-0.0202
enhance,-0.0382
enhancement,-0.041
enhances,-0.0229
enhancing,-0.0419
entire,0.007
environment,0.0313
environmental,0.0232
environments,0.0315
epilepsy,-0.0338
episode,-0.0243
episodes,0.0147
episodic,0.0282
episodic memory,0.0079
equal,-0.0206
equally,-0.0364
equivalent,-0.0371
erp,-0.0051
error,0.0348
errors,0.0373
especially,-0.033
essential,0.0183
establish,-0.0144
established,-0.0012
estimate,-0.0085
estimated,-0.0137
estimates,0.0313
estimation,0.0072
et,0.0095
et al,0.0138
evaluate,0.0395
evaluated,0.0218
evaluating,-0.0041
evaluation,0.0397
evaluations,0.052
event,0.0309
event design,-0.0219
event functional,0.0317
event potential,0.0165
event potentials,0.0028
events,0.0364
everyday,0.029
everyday life,0.013
evidence,-0.0228
evidence suggests,-0.0074
evidenced,-0.0186
evident,-0.012
evoke,-0.0288
evoked,-0.0295
evolution,-0.0156
exact,0.0002
examination,0.0231
examining,0.0492
example,0.0187
excessive,0.0398
exclusively,-0.0202
executed,-0.0132
execution,0.0158
executive,0.0457
executive control,0.0312
executive function,0.0238
executive functions,0.028
exert,-0.0011
exhibit,0.0014
exhibited,0.0026
exhibited greater,-0.0343
exhibiting,0.0239
exist,-0.0197
existence,-0.0283
existing,0.0447
exists,0.0229
expectancy,0.0177
expectation,-0.0058
expectations,-0.0018
expected,0.0031
experience,-0.0091
experienced,-0.0074
experiences,0.0235
experiencing,0.0108
experiment,-0.0141
experimental,0.0258
experimental conditions,0.0126
experimentally,0.0018
experiments,-0.0197
expertise,-0.0244
explain,0.0039
explained,0.013
explanation,-0.0297
explicit,0.011
explicitly,0.0184
exploration,-0.0201
exploratory,0.0277
explore,0.0294
explored,0.0196
exploring,0.013
exposed,-0.0255
exposure,0.0112
expressed,-0.0272
expression,-0.0352
expressions,-0.0417
extend,-0.019
extended,0.0096
extending,-0.017
extends,-0.011
extension,-0.0011
extensive,0.01
extensively,-0.012
extent,0.0157
external,0.0472
externally,0.0338
extinction,-0.0249
extra,-0.0378
extract,-0.0086
extracted,-0.0035
extrastriate,-0.0312
eye,0.0364
eye field,0.035
eye fields,0.0331
eye movement,0.0315
eye movements,-0.0116
eyes,0.0223
fa,-0.0548
face,-0.0806
face ffa,-0.0713
face recognition,-0.0595
faces,-0.0749
facial,-0.0511
facial expression,-0.0425
facial expressions,-0.0413
facilitate,-0.0195
facilitated,-0.0176
facilitates,-0.015
facilitation,0.0004
fact,0.0524
factor,0.0194
factorial,-0.042
factorial design,-0.0316
factors,-0.0146
failed,-0.0037
failure,0.0502
false,0.0516
familiar,-0.0407
familiarity,-0.0215
family,0.0141
far,0.0205
fasciculus,-0.0727
fashion,0.0212
fast,-0.0364
faster,-0.0001
fc,0.0135
fear,-0.0265
fearful,-0.0483
fearful faces,-0.0445
feature,-0.0059
features,0.005
feedback,0.0205
feeling,-0.0055
feelings,-0.0067
female,0.0007
females,-0.0021
fewer,0.0025
ffa,-0.0625
fiber,-0.0935
field,0.0147
fields,0.0152
final,0.0075
finally,0.0027
fine,-0.0242
finger,0.0041
finger movements,0.0227
finger tapping,-0.0056
fixation,0.0155
fixed,-0.0238
flexibility,0.0236
flexible,0.0379
flexibly,0.0135
flow,0.0112
fluctuation,0.0298
fluctuations,0.0467
fluency,-0.0122
focal,-0.0186
foci,0.0132
focus,0.0473
focused,0.0165
focusing,-0.004
follow,0.0128
followed,0.007
following,-0.0427
food,-0.0383
foot,-0.0211
force,-0.0416
form,-0.0298
formation,-0.059
formed,-0.0118
forms,-0.0046
forward,-0.0118
fourteen,-0.0128
fractional,-0.0369
fractional anisotropy,-0.0596
framework,-0.0073
free,0.0333
frequencies,0.0063
frequency,0.0269
frequency fluctuations,0.0057
frequent,-0.0209
frequently,-0.0009
frontal,0.0419
frontal cortex,0.0295
frontal cortices,0.0639
frontal eye,0.0378
frontal gyri,0.0236
frontal gyrus,0.0212
frontal lobe,-0.0114
frontal lobes,-0.0291
frontal operculum,-0.0172
frontal parietal,0.0368
frontal temporal,-0.0009
fronto,0.0359
fronto parietal,0.0443
fronto striatal,0.0183
fronto temporal,-0.0139
frontoparietal,0.0415
frontoparietal network,0.0403
frontopolar,0.0372
frontotemporal,-0.0188
fully,-0.0237
function,-0.0119
functional abnormalities,-0.012
functional connections,0.0071
functional connectivity,0.0574
functional coupling,-0.0088
functional magnetic,-0.0163
functional network,0.0567
functional networks,0.103
functional neuroanatomy,-0.0096
functional organization,0.032
functional role,-0.0224
functional structural,-0.0168
functionally,0.041
functionally connected,0.0263
functioning,0.0197
functions,-0.0121
fundamental,0.0121
furthermore,-0.0055
fusiform,-0.0897
fusiform face,-0.0694
fusiform gyri,-0.0397
fusiform gyrus,-0.0863
future,0.0211
gain,0.0083
gains,-0.0232
gambling,0.0224
game,0.0653
gamma,-0.0114
ganglia,-0.0116
gap,0.0197
gaze,-0.0031
gender,0.0078
gene,-0.0252
general,0.0336
general linear,0.0256
generalized,0.018
generally,-0.0179
generate,0.0146
generated,0.0173
generating,0.0185
generation,-0.0084
genes,-0.0085
genetic,0.0017
genetic risk,0.036
genotype,-0.0065
german,0.0052
gestures,0.0035
given,0.0028
global,0.0419
globus,-0.0126
globus pallidus,-0.0123
gm,-0.0441
gm volume,-0.0421
goal,0.0408
goal directed,0.0342
goals,0.0146
good,0.0103
gradient,0.0275
granger,0.0271
graph,0.0249
grasping,0.0299
gray,-0.0218
gray matter,-0.0139
great,0.036
greater,-0.0118
greater extent,-0.0269
greatest,0.0085
grey,-0.0646
grey matter,-0.0625
group,0.0036
group comparisons,0.0266
group healthy,0.0123
group level,-0.032
groups,0.0203
growing,-0.0034
guide,0.0147
guided,0.0163
gyri,-0.0101
gyrus,-0.0066
gyrus anterior,0.025
gyrus ba,0.0085
gyrus cerebellum,0.0051
gyrus ifg,-0.06
gyrus inferior,-0.0014
gyrus insula,-0.0102
gyrus medial,0.0466
gyrus mfg,-0.0077
gyrus middle,0.0127
gyrus posterior,0.0308
gyrus precuneus,0.0522
gyrus stg,-0.0061
gyrus superior,0.0086
half,-0.0041
hand,0.0064
hand movements,-0.0137
handed,-0.0408
handedness,-0.0311
hands,-0.005
happy,-0.0488
happy faces,-0.0507
having,0.0237
hc,0.0237
hcs,-0.0075
head,-0.0116
health,0.0142
healthy,-0.031
healthy adults,0.0011
healthy control,-0.0163
healthy controls,0.0264
healthy handed,0.0058
healthy human,-0.0086
healthy individuals,-0.0105
healthy male,-0.063
healthy volunteers,-0.0271
healthy young,-0.0181
heard,-0.0001
hearing,-0.0413
heart,-0.013
heart rate,-0.0164
heightened,-0.0021
held,0.0319
help,0.0489
hemisphere,-0.0696
hemispheres,-0.0623
hemispheric,-0.0588
hemodynamic,0.0272
hemodynamic response,0.0228
hemodynamic responses,0.0247
heschl,0.0047
heschl gyrus,0.0116
heterogeneity,-0.052
heterogeneous,-0.0046
hierarchical,0.0527
hierarchy,0.0068
high,0.0139
high frequency,0.0104
high functioning,0.0232
high level,-0.0174
high low,-0.0002
high resolution,-0.0392
high risk,0.0399
higher,0.0205
higher level,0.0081
higher levels,0.0065
higher order,-0.0212
highest,-0.0187
highlight,-0.0052
highlighted,-0.0196
highlights,-0.044
highly,0.0202
hippocampal,-0.0525
hippocampus,-0.0577
history,-0.0126
hoc,-0.0017
homogeneity,0.0372
homogeneity reho,0.0507
hub,0.0091
hubs,0.0032
hum,0.0049
hum mapp,-0.0003
human,-0.0103
humans,-0.0532
hyperactivation,0.0169
hyperactivity,0.0334
hyperactivity disorder,0.0434
hypoactivation,0.0076
hypothalamus,-0.0299
hypotheses,-0.0021
hypothesize,-0.0246
hypothesized,0.0064
hz,0.0095
ica,0.1125
idea,-0.0259
identical,-0.0058
identification,-0.0341
identified,0.0203
identify,0.0078
identifying,0.0234
identity,-0.0545
ifg,-0.0377
ii,-0.0324
iii,-0.0327
illness,0.0292
illusion,-0.0424
illustrate,-0.0203
image,-0.036
imagery,0.0
images,-0.0439
images acquired,-0.0091
imagine,-0.0187
imagined,-0.0153
imitation,-0.0098
immediate,0.0084
immediately,0.0183
impact,-0.0196
impacts,-0.0205
impaired,-0.0013
impairment,-0.0127
impairments,0.0074
implementation,0.0362
implemented,0.0303
implicate,-0.0227
implicated,0.0283
implications,0.0091
implications understanding,0.0407
implicit,-0.0003
imply,0.0175
importance,-0.0169
important,-0.0271
important role,-0.0304
importantly,0.0214
improve,0.005
improved,-0.0239
improvement,0.0012
improvements,0.0144
improves,0.0289
impulsive,0.0435
impulsivity,0.0532
incentive,-0.0207
incentive delay,-0.0064
incidental,0.0143
include,-0.0013
included,-0.0369
includes,0.0149
incongruent,-0.0063
inconsistent,-0.0041
incorrect,0.0078
increases,-0.0106
increasing,0.017
increasingly,0.0275
independent,0.0904
independent component,0.1382
independently,0.0057
index,-0.0216
index finger,0.0042
indexed,-0.0016
indicate,0.0036
indicated,-0.0137
indicates,0.0182
indicating,-0.0078
indices,-0.0062
