Feature,/Users/paxtonfitzpatrick/Desktop/a1_mni.nii.gz
blocked,0.0093
blocks,0.018
blood,-0.0107
blood flow,0.0163
blood oxygen,-0.0167
blood oxygenation,-0.0125
bodily,-0.0287
body,0.0224
bold,-0.0272
bold response,-0.0236
bold responses,-0.0434
bold signal,0.0003
bold signals,0.0047
brains,-0.024
brainstem,-0.0279
brief,-0.0041
broad,0.0144
broader,0.0212
broca,-0.1077
brodmann,0.0123
brodmann ba,-0.0061
button,0.029
calculated,-0.0246
calculation,0.1057
called,-0.0159
callosum,-0.0184
candidate,-0.0556
canonical,-0.0069
capacity,0.0466
capture,0.028
carried,0.0367
carriers,0.0363
case,-0.0373
cases,-0.0025
categorical,-0.0076
categories,-0.019
categorization,0.0197
category,-0.0031
caudal,0.0208
caudate,0.0243
caudate nucleus,0.0552
causal,0.0086
causal modeling,0.0254
causality,-0.0298
cause,0.0337
caused,0.0129
causes,-0.0081
center,-0.0132
centered,-0.0012
central,-0.0058
central role,0.0016
cerebellar,0.0072
cerebellum,-0.0185
cerebral,0.0011
cerebral blood,0.0108
cerebral cortex,-0.0161
certain,0.0204
challenge,0.01
challenges,0.0037
challenging,-0.0064
change,0.0197
changed,0.0264
changing,0.0531
character,-0.049
characteristic,0.0187
characteristics,0.0122
characterization,0.0015
characterize,0.0239
characterized,0.0149
characterizing,0.0036
characters,-0.0042
childhood,-0.0051
children,0.0042
children adolescents,0.0001
chinese,-0.014
choice,0.1111
choices,0.1101
choose,0.0726
chosen,0.0239
chronic,-0.0465
chronic pain,-0.007
cingulate,0.0468
cingulate cortex,0.0216
cingulate cortices,0.0223
cingulate gyrus,0.0126
circuit,0.0047
circuitry,0.0219
circuits,-0.0063
clarify,-0.0231
class,-0.0389
classic,-0.0222
classical,-0.0195
classification,0.0224
classified,0.0407
clear,-0.0262
clearly,-0.0061
clinical,-0.0165
clinically,-0.0033
clips,0.0095
close,0.0284
closed,0.0008
closely,0.0024
cluster,-0.0486
clustering,-0.0228
clusters,-0.0115
code,0.016
coding,0.047
cognition,0.0225
cognitive,0.0696
cognitive control,0.0957
cognitive deficits,0.0464
cognitive emotional,0.0081
cognitive function,0.0398
cognitive functions,0.0128
cognitive impairment,0.021
cognitive neuroscience,-0.0417
cognitive performance,0.0331
cognitive processes,0.0238
cognitive task,0.0101
cognitive tasks,0.0434
cognitively,0.0318
coherence,-0.0048
coherent,-0.0213
cohort,0.0118
collected,-0.0027
collectively,0.035
color,0.099
combination,-0.0287
combinations,-0.0386
combined,-0.0097
combining,-0.0205
common,0.0322
commonly,-0.0237
communication,-0.0778
community,-0.0079
comparable,-0.0019
compare,0.0079
comparing,-0.0203
comparisons,0.0067
compatible,-0.0249
compensate,-0.0203
compensation,0.0022
compensatory,0.0194
competing,-0.0046
competition,0.0057
complementary,-0.0251
complete,-0.0141
completed,0.0247
completely,0.0149
complex,-0.0416
complexity,-0.051
component,0.0203
component ica,0.008
components,0.0131
composed,-0.0509
comprehension,-0.1633
comprehensive,-0.0076
comprised,0.0062
compromised,0.0419
compulsive,0.0638
compulsive disorder,0.0608
computation,0.0219
computational,-0.0069
computed,0.0124
concentration,-0.0017
concept,-0.0204
concepts,0.0042
conceptual,-0.0409
concerning,-0.019
conclude,0.0239
conclusion,-0.0094
concomitant,0.0035
concrete,-0.0218
concurrent,0.0194
concurrently,0.024
condition,0.0063
conditioned,0.0233
conditioning,0.0135
conditions,-0.038
conductance,-0.0092
conducted,-0.0041
confidence,0.0102
confirm,-0.0478
confirmed,-0.0124
conflict,0.087
conflicting,0.0202
confounding,0.0368
congruency,0.0129
congruent,0.0163
congruent incongruent,-0.0345
conjunction,0.0271
connected,-0.0142
connection,-0.0366
connections,-0.0302
connectivity,-0.0011
connectivity amygdala,-0.0187
connectivity analyses,-0.0027
connectivity anterior,0.0035
connectivity fc,0.0134
connectivity networks,0.0159
connectivity patterns,-0.0027
connectivity posterior,-0.0394
connectivity rsfc,-0.0224
connectivity using,0.0465
conscious,0.0579
consciousness,0.0196
consecutive,-0.0238
consequence,-0.0274
consequences,-0.0066
consequently,-0.0205
consider,0.0043
considerable,0.031
considered,0.0096
considering,0.036
consisted,-0.0319
consistency,-0.0108
consistently,-0.026
consisting,-0.0189
consists,-0.021
consolidation,-0.0425
constant,0.0035
constitute,0.003
constrained,-0.0
constraints,-0.0564
construct,-0.0027
constructed,0.0031
construction,-0.0457
consumption,0.0201
contain,-0.0073
contained,-0.0477
containing,-0.063
contains,-0.0108
content,-0.0521
contents,-0.0246
context,-0.0257
contexts,-0.0046
contextual,-0.007
contingent,0.0369
continuous,-0.0019
continuously,0.0019
contralateral,-0.0246
contrary,-0.0255
contrast,0.0059
contrasted,0.0032
contrasting,-0.0035
contrasts,-0.0689
contribute,0.0164
contributed,0.011
contributes,0.0018
contributing,0.0321
contribution,0.0325
contributions,0.0283
control,0.087
control condition,0.0438
control conditions,0.0227
control group,0.0219
control groups,0.0149
control network,0.021
control processes,0.0655
control task,0.0235
controlled,0.025
controlling,0.0035
controls,0.0124
controls hc,0.0324
controls hcs,0.0067
controls using,-0.0047
controversial,0.0124
conventional,-0.0254
convergence,-0.0017
converging,-0.0086
conversely,0.0272
conveyed,-0.0473
coordinates,-0.0195
coordination,-0.0196
core,-0.032
corpus,-0.0248
corpus callosum,-0.0184
correct,0.1015
corrected,-0.0027
correction,-0.0102
correctly,0.0402
correlate,0.0085
correlated,0.0255
correlated negatively,-0.0139
correlated positively,0.0037
correlates,0.0364
correlating,0.0193
correlation,-0.0046
correlation analyses,-0.0031
correlations,0.0138
correspond,0.0118
corresponded,0.0165
correspondence,-0.0124
corresponding,-0.0017
cortex acc,0.0599
cortex amygdala,0.0053
cortex anterior,0.0539
cortex ba,0.0013
cortex bilaterally,0.0063
cortex cerebellum,0.0108
cortex dacc,0.044
cortex dlpfc,0.1286
cortex dmpfc,-0.0386
cortex dorsal,-0.0078
cortex dorsolateral,0.0392
cortex frontal,0.013
cortex hippocampus,-0.0263
cortex inferior,-0.0029
cortex insula,0.0092
cortex involved,0.0534
cortex lateral,0.0208
cortex m1,-0.0099
cortex medial,0.0098
cortex middle,-0.0168
cortex mpfc,-0.0225
cortex ofc,0.0548
cortex parietal,0.0824
cortex pcc,0.0031
cortex pfc,0.0382
cortex posterior,-0.002
cortex ppc,0.0888
cortex precuneus,-0.0227
cortex suggest,-0.0023
cortex superior,-0.0374
cortex supplementary,-0.0094
cortex thalamus,-0.0114
cortex ventral,0.0214
cortex vlpfc,-0.01
cortex vmpfc,0.0441
cortical,-0.046
cortical involved,0.0138
cortical network,-0.0302
cortical networks,0.0095
cortical subcortical,-0.0367
cortical thickness,-0.0024
cortices,0.0185
cortico,-0.0015
cost,0.0124
costs,0.0557
coupled,-0.0128
coupling,-0.0081
course,-0.0037
courses,-0.0334
covariance,0.0455
covaried,0.0108
covert,-0.0431
craving,0.0135
created,0.002
criteria,0.0414
critical,0.0352
critical role,0.0104
critically,0.0386
cross,0.0161
cross modal,-0.0113
cross sectional,-0.0056
crossover,0.0064
crucial,0.0412
crucial role,0.0215
crucially,-0.0185
crus,0.0035
cue,0.083
cued,0.0318
cues,0.0364
cuneus,0.0185
current,0.0485
current functional,0.0435
currently,0.0003
dacc,0.0594
daily,0.0073
daily life,0.006
damage,0.0073
dataset,0.0258
datasets,-0.0043
date,0.017
day,-0.0319
days,-0.0041
deactivated,-0.0098
deactivation,0.0044
deactivations,-0.0504
debate,0.0205
debated,-0.002
decision,0.0853
decision making,0.1151
decision task,-0.0413
decisions,0.0876
decline,0.0294
declines,-0.0216
decoding,-0.0532
decreases,-0.0168
decreasing,0.0212
deep,-0.0576
default,-0.0212
default mode,-0.0158
default network,-0.0362
deficient,-0.004
deficit,-0.0167
deficit hyperactivity,0.0201
deficits,0.0664
define,-0.0367
defined,-0.0229
degree,-0.0147
degrees,0.0098
delay,0.0385
delayed,0.0519
delivered,-0.023
demand,0.0167
demanding,0.0668
demands,0.0303
dementia,-0.0016
demonstrate,0.0204
demonstrated,0.0354
demonstrates,-0.0202
demonstrating,0.0004
density,-0.0094
depend,-0.0048
depended,-0.0351
dependence,0.0363
depending,-0.0245
depends,-0.0092
depicting,-0.0156
depressed,0.027
depression,0.0264
depressive,0.035
depressive disorder,0.0431
deprivation,0.0102
depth,0.0325
derived,-0.0013
described,-0.0513
describing,-0.0146
design,-0.0217
designed,-0.0241
designs,-0.0088
despite,-0.0095
detailed,0.0052
details,-0.0267
detect,0.0212
detected,0.0042
detecting,0.0325
detection,0.0148
detection task,-0.0021
determine,-0.0267
determined,0.0164
determining,0.0101
develop,0.0001
developed,0.0418
developing,-0.0105
development,0.0129
developmental,0.0118
diagnosed,0.0028
diagnosis,0.0132
diagnostic,0.0064
did,0.0439
did differ,0.0566
differ,0.0235
differed,0.0268
difference,-0.007
differential,0.0254
differentially,0.0552
differentiate,-0.0059
differentiated,0.0277
differentiation,0.0168
differently,-0.0386
differing,0.0186
differs,0.0106
difficult,0.034
difficulties,-0.0344
difficulty,0.038
diffusion,-0.009
diffusion tensor,-0.0256
digit,0.0588
dimension,0.0681
dimensional,0.0342
dimensions,0.0028
diminished,0.0015
direct,0.0098
direct evidence,-0.0056
directed,0.034
direction,0.0173
directions,-0.0241
directly,-0.0363
disability,0.0047
discrete,0.0242
discriminate,0.0472
discriminated,0.015
discrimination,0.0098
discrimination task,0.0102
discriminative,0.0037
discuss,-0.0139
discussed,-0.0144
discussion,-0.0384
disease,0.018
disease ad,0.0028
disease pd,0.0193
diseases,-0.0025
disentangle,0.0436
disgust,0.0119
disorder,0.0524
disorder adhd,0.0252
disorder mdd,0.0318
disorder ocd,0.0577
disorder ptsd,0.0305
disorders,0.0087
display,0.0077
displayed,0.0232
displays,-0.0175
disrupted,-0.0093
disruption,0.0059
dissociable,0.0326
dissociate,0.0042
dissociated,0.0055
dissociation,0.0093
distance,0.0903
distinction,-0.0229
distinguish,0.0232
distinguished,0.0184
distraction,0.037
distractor,0.0138
distractors,0.0286
distress,-0.0322
distributed,0.0318
distributed network,0.0285
distribution,-0.016
disturbances,0.0089
disturbed,0.002
divergent,0.0279
diverse,-0.0165
divided,0.0417
dlpfc,0.1371
dmn,-0.0202
dmpfc,-0.0546
documented,-0.0054
does,-0.0176
domain,0.0095
domain general,0.0009
domains,0.0307
dominance,-0.0442
dominant,-0.0482
dopamine,0.0379
dopaminergic,0.0401
dorsal,0.0603
dorsal anterior,0.0372
dorsal attention,0.0454
dorsal medial,0.0024
dorsal premotor,0.0156
dorsal striatum,0.0151
dorsal ventral,-0.0117
dorsolateral,0.1593
dorsolateral pfc,0.0522
dorsolateral prefrontal,0.1569
dorsomedial,-0.0407
dorsomedial prefrontal,-0.0437
dose,0.0042
dot,0.0353
double,0.0409
double blind,0.023
drive,-0.0198
driven,0.0077
driving,-0.0089
drug,0.0534
drugs,0.031
dti,-0.0284
dual,0.0021
duration,-0.0227
dynamic,-0.0314
dynamic causal,0.0103
dynamically,-0.023
dynamics,0.0129
dysfunction,0.0353
dysfunctional,0.0063
dysfunctions,0.0344
dyslexia,-0.0541
dysregulation,0.0262
earlier,0.005
early,0.0104
early stage,0.005
early stages,0.0128
early visual,0.0184
easy,0.0541
eating,0.034
echo,-0.0191
economic,0.0182
education,0.0423
eeg,-0.0018
effect,0.0117
effective,0.0104
effective connectivity,0.0331
effectively,0.0217
effects,-0.013
efficacy,-0.01
efficiency,0.0317
efficient,0.0244
effort,0.0093
effortful,-0.0156
eighteen,0.0024
elderly,-0.0039
electrical,-0.0791
electroencephalography,0.0027
electroencephalography eeg,-0.0176
electrophysiological,0.0013
elements,0.019
elevated,-0.0039
elicit,0.0041
elicited,-0.0309
elicits,0.0108
elucidate,0.0041
elucidated,-0.0111
elusive,0.016
embedded,-0.0365
emerge,-0.0319
emerged,-0.0068
emergence,-0.0042
emerging,-0.0416
emission,0.01
emission tomography,0.0143
emotion,-0.0519
emotion regulation,-0.0551
emotional,-0.0517
emotional faces,0.0103
emotional information,-0.0138
emotional responses,-0.0477
emotional stimuli,-0.028
emotional valence,-0.0539
emotionally,-0.0588
emotions,-0.0894
empathic,-0.0753
empathy,-0.0877
emphasize,-0.0234
empirical,0.0181
employed,0.0194
employing,-0.007
enable,0.0185
enabled,0.0012
enables,-0.0085
encode,-0.0089
encoded,0.0651
encoding,0.0174
encoding retrieval,0.0345
encompassing,-0.0159
end,0.0154
endogenous,0.034
engage,-0.044
engaged,-0.0155
engagement,0.012
engages,-0.0018
engaging,-0.0401
english,-0.0597
enhance,-0.0102
enhancement,0.0088
enhances,-0.051
enhancing,0.0035
entire,-0.019
environment,0.0416
environmental,0.007
environments,0.0479
epilepsy,-0.0324
episode,0.0401
episodes,0.04
episodic,0.0006
episodic memory,0.0078
equal,0.0017
equally,-0.043
equivalent,0.0019
erp,0.0514
error,0.0952
errors,0.0918
especially,-0.0032
essential,-0.0141
establish,0.0
established,-0.0034
estimate,-0.0136
estimated,-0.0104
estimates,-0.0063
estimation,0.0357
et,-0.0086
et al,-0.0172
evaluate,0.0206
evaluated,0.0042
evaluating,-0.015
evaluation,-0.0141
evaluations,-0.0012
event,0.0322
event design,0.0042
event functional,0.0524
event potential,0.0331
event potentials,0.0386
events,0.0038
everyday,0.0007
everyday life,0.0219
evidence,0.0155
evidence suggests,-0.0143
evidenced,-0.0288
evident,-0.007
evoke,-0.0121
evoked,-0.0558
evolution,0.0061
exact,0.0339
examination,0.0155
examining,-0.0078
example,0.008
excessive,0.0249
exclusively,-0.0201
executed,-0.019
execution,0.0084
executive,0.1151
executive control,0.0742
executive function,0.0608
executive functions,0.0532
exert,0.0357
exhibit,0.0035
exhibited,0.0317
exhibited greater,0.0481
exhibiting,0.0054
exist,-0.0059
existence,-0.0226
existing,0.0199
exists,0.0226
expectancy,0.0473
expectation,-0.002
expectations,-0.011
expected,-0.0041
experience,-0.0404
experienced,-0.0161
experiences,-0.024
experiencing,-0.0174
experiment,-0.0093
experimental,0.0212
experimental conditions,-0.0059
experimentally,-0.0318
experiments,0.0099
expertise,0.0096
explain,-0.0216
explained,0.0522
explanation,-0.0036
explicit,-0.0429
explicitly,-0.0164
exploration,-0.0027
exploratory,0.0556
explore,0.0499
explored,0.0136
exploring,0.0151
exposed,-0.0104
exposure,0.0064
expressed,-0.0266
expression,-0.0043
expressions,-0.0376
extend,-0.0207
extended,-0.027
extending,-0.0536
extends,-0.0022
extension,-0.0581
extensive,-0.0259
extensively,-0.0169
extent,-0.0052
external,0.0185
externally,0.0509
extinction,0.0023
extra,-0.0152
extract,-0.0205
extracted,-0.0224
extrastriate,0.0265
eye,0.0518
eye field,0.0583
eye fields,0.0468
eye movement,0.0244
eye movements,0.0258
eyes,0.0092
fa,-0.0151
face,0.0006
face ffa,0.0123
face recognition,0.0224
faces,0.0065
facial,-0.0283
facial expression,-0.0099
facial expressions,-0.0294
facilitate,-0.0199
facilitated,-0.0109
facilitates,-0.0041
facilitation,0.0014
fact,-0.0142
factor,-0.0132
factorial,-0.0764
factorial design,-0.0634
factors,0.023
failed,0.0549
failure,0.0489
false,-0.0365
familiar,0.0176
familiarity,0.0198
family,0.0215
far,0.02
fasciculus,-0.0286
fashion,0.0504
fast,0.0063
faster,0.0342
fc,0.017
fear,-0.0065
fearful,0.0039
fearful faces,0.0256
feature,0.0354
features,-0.032
feedback,0.0023
feeling,-0.0413
feelings,-0.0623
female,0.0016
females,0.0036
fewer,0.0361
ffa,0.0245
fiber,-0.0296
field,0.05
fields,0.0115
final,-0.0256
finally,0.0167
fine,-0.0284
finger,0.0073
finger movements,0.0359
finger tapping,0.0148
fixation,0.0194
fixed,-0.0141
flexibility,0.0623
flexible,0.0591
flexibly,0.0173
flow,0.0293
fluctuation,-0.0031
fluctuations,-0.0144
fluency,-0.0183
focal,-0.021
foci,0.0344
focus,-0.0049
focused,-0.0125
focusing,0.0025
follow,-0.0256
followed,-0.0294
following,0.0106
food,0.045
foot,-0.0497
force,-0.0393
form,-0.0534
formation,-0.0168
formed,-0.0306
forms,-0.0108
forward,-0.0124
fourteen,0.0208
fractional,0.003
fractional anisotropy,-0.0085
framework,-0.0614
free,-0.008
frequencies,-0.0308
frequency,-0.0551
frequency fluctuations,-0.0114
frequent,-0.0103
frequently,0.0063
frontal,0.0327
frontal cortex,0.0737
frontal cortices,0.0665
frontal eye,0.0709
frontal gyri,-0.0039
frontal gyrus,-0.053
frontal lobe,0.0444
frontal lobes,0.0405
frontal operculum,-0.0495
frontal parietal,0.1086
frontal temporal,-0.0483
fronto,0.1025
fronto parietal,0.1247
fronto striatal,0.0755
fronto temporal,-0.1037
frontoparietal,0.1356
frontoparietal network,0.1166
frontopolar,0.0196
frontotemporal,-0.0413
fully,0.0018
function,0.0145
functional abnormalities,0.0041
functional connections,-0.0091
functional connectivity,-0.0004
functional coupling,0.0058
functional magnetic,0.0126
functional network,0.0061
functional networks,-0.003
functional neuroanatomy,-0.0433
functional organization,0.0159
functional role,-0.0785
functional structural,0.0071
functionally,-0.0343
functionally connected,-0.0009
functioning,0.0067
functions,0.0085
fundamental,-0.0146
furthermore,-0.004
fusiform,0.0092
fusiform face,0.0241
fusiform gyri,0.0218
fusiform gyrus,-0.0026
future,0.0031
gain,0.0436
gains,0.0235
gambling,0.0758
game,0.0776
gamma,-0.0096
ganglia,-0.0081
gap,0.0104
gaze,-0.0091
gender,0.0061
gene,0.0307
general,-0.008
general linear,-0.0169
generalized,0.038
generally,0.0083
generate,-0.0274
generated,-0.0051
generating,0.0052
generation,-0.0164
genes,0.0507
genetic,0.0438
genetic risk,0.0487
genotype,0.041
german,-0.0494
gestures,-0.0247
given,0.0196
global,-0.0034
globus,0.0061
globus pallidus,0.0058
gm,0.0016
gm volume,0.0115
goal,0.0654
goal directed,0.0348
goals,0.0248
good,0.0006
gradient,0.0719
granger,-0.0004
graph,-0.0047
grasping,0.0467
gray,0.0113
gray matter,0.0213
great,0.0218
greater,-0.0055
greater extent,-0.0062
greatest,-0.023
grey,-0.0042
grey matter,-0.0094
group,-0.0066
group comparisons,0.0354
group healthy,-0.0342
group level,-0.0512
groups,0.0231
growing,0.0054
guide,-0.0246
guided,0.0315
gyri,-0.0639
gyrus,-0.0919
gyrus anterior,0.0109
gyrus ba,-0.017
gyrus cerebellum,0.0027
gyrus ifg,-0.1047
gyrus inferior,-0.0004
gyrus insula,-0.0331
gyrus medial,0.0174
gyrus mfg,0.0073
gyrus middle,-0.056
gyrus posterior,0.0002
gyrus precuneus,0.0003
gyrus stg,-0.1303
gyrus superior,-0.0396
half,-0.003
hand,0.01
hand movements,-0.0187
handed,-0.0188
handedness,-0.0098
hands,0.0233
happy,-0.0134
happy faces,0.0087
having,0.0204
hc,0.0426
hcs,0.0248
head,-0.0219
health,-0.0018
healthy,0.0062
healthy adults,0.0369
healthy control,0.029
healthy controls,0.0156
healthy handed,-0.0173
healthy human,0.0123
healthy individuals,-0.0289
healthy male,-0.0392
healthy volunteers,0.0009
healthy young,0.0193
heard,-0.1268
hearing,-0.0978
heart,0.0151
heart rate,0.0145
heightened,0.0183
held,0.012
help,0.0358
hemisphere,-0.0761
hemispheres,-0.0053
hemispheric,-0.0546
hemodynamic,-0.0209
hemodynamic response,-0.0039
hemodynamic responses,-0.0313
heschl,-0.1013
heschl gyrus,-0.0997
heterogeneity,0.0208
heterogeneous,-0.0444
hierarchical,0.0119
hierarchy,-0.0168
high,0.0194
high frequency,-0.0267
high functioning,-0.0242
high level,-0.0042
high low,-0.006
high resolution,-0.0189
high risk,0.0201
higher,0.0025
higher level,-0.0546
higher levels,-0.0496
higher order,-0.029
highest,-0.0156
highlight,-0.0282
highlighted,-0.0091
highlights,-0.0397
highly,0.0126
hippocampal,-0.0113
hippocampus,-0.013
history,0.0333
hoc,-0.0557
homogeneity,0.0212
homogeneity reho,0.0355
hub,-0.0544
hubs,-0.0178
hum,0.0164
hum mapp,0.0095
human,0.0008
humans,0.0284
hyperactivation,0.013
hyperactivity,0.0133
hyperactivity disorder,0.0199
hypoactivation,-0.0276
hypothalamus,-0.0049
hypotheses,-0.0071
hypothesize,-0.0253
hypothesized,-0.0212
hz,-0.0367
ica,0.0051
idea,0.0022
identical,-0.0375
identification,0.015
identified,-0.0129
identify,-0.0014
identifying,-0.0027
identity,-0.0276
ifg,-0.1005
ii,-0.0274
iii,-0.0216
illness,0.0012
illusion,-0.0041
illustrate,-0.0172
image,-0.0309
imagery,0.0061
images,0.0618
images acquired,-0.0219
imagine,-0.0446
imagined,-0.0013
imitation,-0.0335
immediate,0.0075
immediately,0.0157
impact,-0.0015
impacts,0.0036
impaired,-0.0107
impairment,0.0268
impairments,-0.001
implementation,0.0491
implemented,0.0352
implicate,0.0109
implicated,0.0281
implications,0.0012
implications understanding,-0.019
implicit,-0.0117
imply,0.0082
importance,-0.0321
important,-0.0311
important role,-0.0032
importantly,0.0322
improve,-0.0117
improved,0.0186
improvement,-0.0227
improvements,0.0055
improves,0.0226
impulsive,0.057
impulsivity,0.084
incentive,0.0369
incentive delay,0.0241
incidental,0.0065
include,-0.0052
included,-0.0365
includes,-0.035
incongruent,0.018
inconsistent,-0.0251
incorrect,0.0307
increases,0.0275
increasing,0.04
increasingly,0.0134
independent,0.0274
independent component,0.0077
independently,-0.0256
index,-0.0261
index finger,-0.0025
indexed,0.0082
indicate,-0.03
indicated,0.0555
indicates,0.0114
indicating,-0.0089
