Frame,Onset time,Narrative details (external events),Narrative details (internal state),Characters on screen,Music presence,Speech,Character speaking,Indoor/outdoor,Setting,Scene name
1235,49.40000000000001,"Earn laments the small amount of marijuana he had on him. He asks Alfred Paper Boy how bad it is, since he has been arrested for possession before.",,Earn,no,"It was just, like, half a blunt, like... you've been arrested for weed, it's not that bad, right?",Earn,indoor,Jail waiting room,County Jail Exposition
1321,52.84,"Alfred Paper Boy turns to look at Earn, pauses and tells Earn flippantly that it is certainly worse than not being arrested at all.",,"Alfred Paper Boy, Earn",no,"Well it's not as good as not getting arrested for weed, Earn.",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1467,58.68000000000001,Earn stares at Alfred Paper Boy. Alfred Paper Boy notices and points out a woman he thinks he knows. Earn turns to look at her.,,Earn,no,"Look, that's Gina Simms, man.",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1577,63.08000000000001,"A black woman in a tight, red dress and high heels stands on the other side of the room against the wall. Around her, other people sit or stand and wait.",,Gina Simms,no,That's Gina Simms from that T-Pain video.,Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1653,66.12,Alfred Paper Boy leans forward and stares at the woman across the room. Earn slouches with his arms folded.,Earn is disinterested,"Alfred Paper Boy, Earn",no,"Ooh, shorty is bad, damn. I wonder what she's doing in here.",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1755,70.2,Earn says he doesn't think the woman is Gina Simms,Earn is skeptical,"Alfred Paper Boy, Earn",no,"I don't know, man. I don't think that's her.",Earn,indoor,Jail waiting room,County Jail Exposition
1796,71.84,The woman in the red dress stands with her arms crossed and her eyes downcast.,The woman looks downtrodden and nervous.,Gina Simms,no,"No, no, no, no, no",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1865,74.60000000000002,Alfred Paper Boy points at the woman and says it is definitely Gina Simms because he would recognize her ass anywhere. He sits back and laughs. Earn shakes his head.,,"Alfred Paper Boy, Earn",no,"That is definitely her, man. I know that ass anywhere, you know?",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1975,79.0,"Earn begins to disagree with Alfred Paper Boy. Alfred Paper Boy turns his head, and pretends to sneeze while shouting the woman's name.",,"Alfred Paper Boy, Earn",no,"No, man ""Gina!""","Earn, Alfred Paper Boy",indoor,Jail waiting room,County Jail Exposition
2018,80.72,"The woman, who is Gina Simms, is startled and looks around. She sees Alfred Paper Boy and Earn and covers her face with her hand. Alfred Paper Boy and Earn laugh.",Gina is embarrassed that they recognized her.,Gina Simms,no,,,indoor,Jail waiting room,County Jail Exposition
2089,83.56,Alfred Paper Boy and Earn laugh. Alfred Paper Boy says he was right.,,"Alfred Paper Boy, Earn",no,You see? You see?,Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
2160,86.4,Earn laughs at Gina trying not to look their direction.,,Earn,no,"See I told ya. ""Yo, she was trying not to look."" ""She got shook, like a in the headlights""","Alfred Paper Boy, Earn",indoor,Jail waiting room,County Jail Exposition
2234,89.36,Alfred Paper Boy and Earn imitate the woman's expression and laugh.,The two men are surprisingly relaxed for having been arrested.,"Alfred Paper Boy, Earn",no,,,indoor,Jail waiting room,County Jail Exposition
2285,91.4,Earn laughs,,Earn,no,,,indoor,Jail waiting room,County Jail Exposition
2321,92.84,Earn and Alfred Paper Boy gradually stop laughing and lean back in their chairs against the wall.,Earn and Alfred Paper Boy become more serious,"Earn, Alfred Paper Boy",no,,,indoor,Jail waiting room,County Jail Exposition
2450,98.0,Earn looks sideways at Alfred Paper Boy and asks if he thinks the man that was shot is dead.,The conversation suddenly became much more serious.,"Alfred Paper Boy, Earn",no,"Do you think he's dead, man?",Earn,indoor,Jail waiting room,County Jail Exposition
2494,99.76,Alfred Paper Boy replies slowly and quietly,Alfred Paper Boy does not want to acknowledge or admit to the shooting while at the prison,"Alfred Paper Boy, Earn",no,I do not know what you're talking about,Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
2568,102.72,"Alfred Paper Boy looks up at the ceiling, indicating the security cameras, and continues",Alfred Paper Boy scolds Earn for bringing it up while they're there and could be overheard.,"Alfred Paper Boy, Earn",no,"and now is definitely not the time, man",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
2636,105.44,"The intercom beeps and a voice calls Alfred Paper Boy's name and number, signaling he can leave",,"Alfred Paper Boy, Earn",no,"A. Marks, 278",Intercom,indoor,Jail waiting room,County Jail Exposition
2746,109.84,"Alfred Paper Boy stands up, high-five's Earn and walks away. Earn smiles",,"Alfred Paper Boy, Earn",no,"Alright man, stay up.",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
2938,117.52,"Earn looks around, looks at Alfred Paper Boy's empty chair, and sits silently for a moment.","Earn starts to get bored, realizes he may be there a lot longer, and the seriousness of the situation begins to sink in.",Earn,no,,,indoor,Jail waiting room,County Jail Exposition
3161,126.44,Earn continues to look around and settles in. Music fades in.,,Earn,yes,,,indoor,Jail waiting room,County Jail Exposition
3242,129.68,We see a concrete wall with the word ATLANTA painted on it. Music plays loudly,,,yes,,,indoor,Opening Title wall,Opening Title
3412,136.479999999,The clerk fills out a form and passes it to Alfred Paper Boy under the glass barrier.,,"Clerk, Alfred Paper Boy",no,"Okay, so here's the info with your court date on it.",Clerk,indoor,Clerk's window,Alfred Paper Boy is released
3515,140.60000000000002,"Without looking up, the clerk tells Alfred Paper Boy he has to be in court early or he will not be let in and a warrant for his arrest will be issued. Alfred Paper Boy looks up at her.",,"Alfred Paper Boy, Clerk",no,Be here before nine AM on the twenty-third or they won't let you in and a warrant will be issued.,Clerk,indoor,Clerk's window,Alfred Paper Boy is released
3658,146.32000000000005,Alfred Paper Boy holds up the paper and asks if he can leave.,,"Alfred Paper Boy, Clerk",no,So I'm free to go?,Alfred Paper Boy,indoor,Clerk's window,Alfred Paper Boy is released
3694,147.76000000000005,"Without looking up, the clerk shuffles papers around, tells Alfred his bond has been paid, but he may have to come back after the shooting is investigated",The clerk is disinterested in disengaged,"Clerk, Alfred Paper Boy",no,"Yes sir. They're still investigating the shooting so you might have to come back for that later, but your bond has already been paid for the disorderly conduct charge.",Clerk,indoor,Clerk's window,Alfred Paper Boy is released
3890,155.60000000000005,Alfred Paper Boy asks about Earn,,"Alfred Paper Boy, Clerk",no,"Well hold on, what about my cousin? Earnest? Marks?",Alfred Paper Boy,indoor,Clerk's window,Alfred Paper Boy is released
3942,157.68,"The clerk, without looking up, tells Alfred Paper Boy that Earn has not been processed yet so his bail cannot be posted.",The clerk is disinterested,"Clerk, Alfred Paper Boy",no,"He's not in the system yet. But when he is, then his bail can be posted.",Clerk,indoor,Clerk's window,Alfred Paper Boy is released
4034,161.36,Alfred Paper Boy asks what charge Earn is being held for.,He is exasperated,"Alfred Paper Boy, Clerk",no,Well what's the charge?,Alfred Paper Boy,indoor,Clerk's window,Alfred Paper Boy is released
4079,163.16,The clerk finally looks up at Alfred Paper Boy and repeats his question.,The clerk is surprised and sarcastic,Clerk,no,What's the charge?,Clerk,indoor,Clerk's window,Alfred Paper Boy is released
4157,166.28,"The clerk chides Alfred Paper Boy, telling him it does not work that way and that he has to wait until Earn is processed. She taps stamps a paper.",,Clerk,no,"Nigga, this ain't a movie, you better wait until he's in the system.",Clerk,indoor,Clerk's window,Alfred Paper Boy is released
4254,170.16,Alfred Paper Boy stares sullenly at the clerk and signs the form without breaking eye contact,Alfred Paper Boy is frustrated,"Alfred Paper Boy, Clerk",no,,,indoor,Clerk's window,Alfred Paper Boy is released
4374,174.96,"Alfred Paper Boy locks eyes with the clerk, leans down to the window opening, and whispers that he hates the prison.",Alfred Paper Boy is Frustrated,"Alfred Paper Boy, Clerk",no,I hate this place.,Alfred Paper Boy,indoor,Clerk's window,Alfred Paper Boy is released
4468,178.72,"Alfred Paper Boy passes the form back to the clerk and takes a plastic bag of his belongings. He turns and starts to walk away from the window. From behind him, Darius calls out to him, holding a slurpee and pretending to be a fan.",,"Alfred Paper Boy, Clerk, Darius",no,Is that Paper Boy?,Darius,indoor,Clerk's window,Alfred Paper Boy is released
4507,180.28,Alfred Paper Boy turns around and greets Darius.,Alfred Paper Boy is happy and relieved to see Darius,"Alfred Paper Boy, Darius, Clerk",no,"Oh man, thank God, man. ""What's up, man? What it do?""","Alfred Paper Boy, Darius",indoor,Clerk's window,Alfred Paper Boy is released
4590,183.6,Alfred Paper Boy and Darius walk away from the window. Darius says the shooting was on the news.,,"Alfred Paper Boy, Darius",no,"Yo, you know y'all made the news, right?",Darius,indoor,Clerk's window,Alfred Paper Boy is released
4656,186.24,Alfred Paper Boy stops and asks Darius if it is true,"Alfred Paper Boy is momentarily concerned, then excited.","Alfred Paper Boy, Darius",no,"Damn. Wait, for real?",Alfred Paper Boy,indoor,Jail exit hallway,Pictures with the police officer
4706,188.24,The pair continue walking. Darius says that Paper Boy's song has been playing on the radio all day,Alfred Paper Boy's arrest has actually benefitted his rap career.,"Alfred Paper Boy, Darius",no,"Yeah, yeah, 106.5 The Jam been playing 'Paper Boy' all morning.",Darius,indoor,Jail exit hallway,Pictures with the police officer
4841,193.64,Alfred Paper Boy punches Darius's shoulder. He roots through is plastic bag of belongings and says he wants to go get food.,Alfred Paper Boy is excited.,"Alfred Paper Boy, Darius",no,"Man, that's what's up! ""Right?"" ""I need some food, I ain't eat in there.""","Alfred Paper Boy, Darius",indoor,Jail exit hallway,Pictures with the police officer
4943,197.72,The two walk down the hallway toward the door. Darius warns Alfred Paper Boy that prison food makes people lie and asks where Earn is. Alfred Paper Boy holds up and then pockets a pack of cigars from the plastic bag.,Darius is paranoid,"Alfred Paper Boy, Darius",no,Good. Food in there is genetically modified to make you lie. Where's Earn?,Darius,indoor,Jail exit hallway,Pictures with the police officer
5106,204.24,Alfred Paper Boy and Darius walk toward the door past a metal detector. Alfred begins to explain why Earn cannot leave yet but is interrupted by an excited police officer yelling and running up to him.,,"Alfred Paper Boy, Darius, Officer",no,"Man, not in the system yet. She said I can't bail him out 'cause...  ""Hey!""","Alfred Paper Boy, Black Officer",indoor,Jail exit hallway,Pictures with the police officer
5187,207.48,"An excited, African American police officer runs up behind Alfred Paper Boy and claps him on the shoulder. He asks him if he is ""Paper Man."" Alfred Paper Boy looks at the officer's hand on his shoulder. The officer asks another if he has got the right person.",,"Alfred Paper Boy, Black Officer, Darius",no,"Hey! Hey! You that Paper Man, right? Hey, is he the one?",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5257,210.28,Alfred Paper Boy lazily corrects the officer. The officer excitedly talks to him and hangs on his shoulder.,Alfred Paper Boy is uncomfortable,"Alfred Paper Boy, Black Officer, Darius",no,"Paper Boy. ""Paper Boy! Yeah, yeah!""","Alfred Paper Boy, Black Officer",indoor,Jail exit hallway,Pictures with the police officer
5336,213.44000000000003,The officer stops Alfred Paper Boy suddenly and asks for a picture.,,"Alfred Paper Boy, Black Officer, Darius",no,"Well hold up, man. I gotta get a picture.","Alfred Paper Boy, Black Officer, Darius",indoor,Jail exit hallway,Pictures with the police officer
5394,215.76,Darius stares at the officer and looks around.,"Darius is uncomfortable too, now","Darius, Alfred Paper Boy",no,,,indoor,Jail exit hallway,Pictures with the police officer
5430,217.2,The black officer hands Darius his cell phone.,,"Alfred Paper Boy, Darius, Black Officer",no,Here you go.,Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5474,218.96,"The officer excitedly tells Alfred he loves rap and came to get a picture when he heard a rapper was in the prison. Alfred Paper Boy stares at the officer, straight-faced.","Alfred Paper Boy is annoyed at the black officer's apparent admiration of him, despite representing the police that arrested and mistreated him.","Alfred Paper Boy, Black Officer",no,"Yeah I love this rap shit, boy. You know, when they told me a rapper was in here, I had to come snap a pic.",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5569,222.76,"The officer grins, puts his arm around Alfred Paper Boy, and instructs him to lean in. He smiles for the picture. Alfred Paper Boy continues to stare sullenly at the officer.",Alfred Paper Boy is uncomfortable and annoyed by the officer's perkiness.,"Alfred Paper Boy, Black Officer",no,"Man, get on in here.",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5630,225.2,The officer asks Alfred Paper Boy if he listens to the rapper Gucci Mane. Alfred says flatly that he does. The officer excitedly says that he arrested Gucci Mane.,The black officer paradoxically idolizes rappers and takes pride in arresting them.,"Alfred Paper Boy, Black Officer",no,"Hey, you listen to Gucci Man? ""Yeah."" ""Man, I locked that nigga up!""","Black Officer, Alfred Paper Boy",indoor,Jail exit hallway,Pictures with the police officer
5751,230.04,"Darius stares, then raises the phone to take a picture.",,Darius,no,"Go ahead, go ahead.",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5808,232.32,The officer poses with his fingers pointing at Alfred Paper Boy like a gun. Alfred Paper Boy stares sullenly at the officer. The camera makes a noise.,,"Alfred Paper Boy, Black Officer",no,,,indoor,Jail exit hallway,Pictures with the police officer
5849,233.96,The officer starts singing excitedly and turns to pose for another picture with his back to Alfred Paper Boy and his arms crossed. Alfred Paper Boy continues to stare at him.,,"Alfred Paper Boy, Black Officer",no,"Yeah! One more for the Insta sluts, one more for the Insta...",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
5947,237.88,The officer cuts himself off and tells Alfred Paper Boy to stand back-to-back with him. Alfred Paper Boy does not move and the officer asks him again.,Alfred Paper Boy is annoyed and somewhat disgusted with the officer.,"Alfred Paper Boy, Black Officer",no,"Back to back. Come on, man, back to back!",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
6020,240.8,Darius takes a second picture with the officer's phone.,,Darius,no,,,indoor,Jail exit hallway,Pictures with the police officer
6052,242.08,The black officer takes his phone back from Darius. Alfred Paper Boy has not moved.,,"Alfred Paper Boy, Black Officer",no,Nice!,Black Officer,indoor,Jail exit hallway,Pictures with the police officer
6100,244.00000000000003,"The officer looks at the phone excitedly, slaps Alfred Paper Boy on the back, and walks away. Alfred Paper Boy stands completely still.",,"Alfred Paper Boy, Black Officer",no,"That's awesome, that's awesome. Alright see you around",Black Officer,indoor,Jail exit hallway,Pictures with the police officer
6196,247.84,The officer hurries away. Alfred Paper Boy stares after him. Darius waves awkwardly,Both Darius and Alfred Paper Boy were left feeling awkward by the encounter.,"Darius, Alfred Paper Boy",no,I appreciate it!,Black Officer,indoor,Jail exit hallway,Pictures with the police officer
6286,251.44000000000003,Alfred Paper Boy says again that he hates the prison. He and Darius turn and walk toward the exit.,,"Alfred Paper Boy, Darius",no,"I fucking hate this place, man.",Alfred Paper Boy,indoor,Jail exit hallway,Pictures with the police officer
6368,254.72000000000003,"Alfred Paper Boy and Darius walk toward the door. Darius asks why Alfred Paper Boy hates the prison.""",Darius is simple and oblivious to the social implications.,"Alfred Paper Boy, Darius",no,Why?,Darius,indoor,Jail exit hallway,Pictures with the police officer
6453,258.12,"Earn is making a call on the phone in the corner of the waiting room. He is calling Van to ask her to pay his bail so he can leave. He taps on the wall with his hand, looks around, and looks back down. The phone rings.",,Earn,no,,,indoor,Jail phone,Leaving a message for Van
6525,261.0,Van does not answer the phone and the call goes to voicemail. Earn sighs frustratedly.,Van is mad at Earn and ignoring him.,Earn,no,"Hey, it's Vanessa. Leave a message, thanks, bye.",Van,indoor,Jail phone,Leaving a message for Van
6637,265.48,Earn awkwardly starts to leave Van a message,,Earn,no,"Hey Van, umm",Earn,indoor,Jail phone,Leaving a message for Van
6684,267.36,Earn leaves Van an apology message from the waiting room phone.,Earn knows Van is not answering or bailing him out because she is mad.,Earn,no,"I know you're probably mad at me, I know you probably think I'm pretty irresponsible",Earn,indoor,Jail phone,Leaving a message for Van
6823,272.92,Earn continues leaving Van the message,,Earn,no,but I'm working on something that I think could be really big for me,Earn,indoor,Jail phone,Leaving a message for Van
6961,278.44,Earn catches himself coming off as selfish and awkwardly adds that what he is doing will also help Van. He looks up from the phone at something.,,Earn,no,a- and you... too...,Earn,indoor,Jail phone,Leaving a message for Van
7047,281.88,A mean-looking man glares at Earn from a holding cell.,,Prisoner,no,,,indoor,Jail phone,Leaving a message for Van
7143,285.72,Earn stares at the man for a moment and then looks back down.,Earn is uncomfortable in the jail and wants to leave.,Earn,no,,,indoor,Jail phone,Leaving a message for Van
7200,288.0,Earn goes back to leaving Van the message. He offers to explain what he has been up to when he gets out and asks if Van will pay his bail.,,Earn,no,"yeah, I can explain all of it when I get home. Also, I was thinking maybe you could bail me out?",Earn,indoor,Jail phone,Leaving a message for Van
7316,292.6400000000001,Earn says he will repay Van,,Earn,no,"you know, and I- I can pay you back, you know, and",Earn,indoor,Jail phone,Leaving a message for Van
7398,295.92,Earn awkwardly adds that he will also pay Van the rent money he owes. A laugh from the background cuts him off. A police officer who overheard Earn's message shakes his head. Earn trails off.,,"Earn, Officer",no,"I guess rent money, too...I guess...",Earn,indoor,Jail phone,Leaving a message for Van
7529,301.16,"The officer shakes his head. Earn looks at the officer for a moment, then turns back to the phone.",The officer disapproves. Earn feels self-conscious.,"Earn, officer",no,,,indoor,Jail phone,Leaving a message for Van
7623,304.92,Earn awkwardly stammers through the rest of his message.,,"Earn, Officer",no,"Yeah, so, I guess I'll...I'll see you later. Bye. I love you.""",Earn,indoor,Jail phone,Leaving a message for Van
7749,309.9600000000001,Earn hangs up the phone and shakes his head.,Earn knows the call did not go well.,"Earn, Officer",no,,,indoor,Jail phone,Leaving a message for Van
7832,313.2800000000001,Earn walks away from the phone.,,"Earn, Officer",no,,,indoor,Jail phone,Leaving a message for Van
7901,316.04,BLACK SCREEN 1,,,no,,,,,
7976,319.04,"A group of people, including Earn, sit in chairs in the waiting room. A man in a hospital gown walks by.",,"Lee, Earn",no,,,indoor,Jail waiting room,No sleeping; Buck & Grady
8099,323.9600000000001,"Earn slouches in his chair, asleep. A man in front of him wearing an orange shirt yawns.",Earn has been in the waiting room for a long time and is getting tired.,"Earn, Buck, Officer Jones",no,,,indoor,Jail waiting room,No sleeping; Buck & Grady
8156,326.24,Officer Jones walks behind Earn and bangs on his chair. Earn starts awake and looks at the officer.,,"Earn, Officer Jones",no,Hey.,Officer Jones,indoor,Jail waiting room,No sleeping; Buck & Grady
8222,328.88,"Earn looks at Officer Jones, who tells him he cannot sleep in the waiting room.",,Earn,no,There's no sleeping here. Sit up.,Officer Jones,indoor,Jail waiting room,No sleeping; Buck & Grady
8288,331.5200000000001,"Earn, half asleep with his eyes drooping, argues that everyone has to sleep.",Earn is tired.,"Earn, Officer Jones",no,"But, you have to sleep. Everybody...everybody has always slept.",Earn,indoor,Jail waiting room,No sleeping; Buck & Grady
8409,336.36,Officer Jones tells Earn he cannot sleep until he is processed and sent to a cell.,,"Earn, Officer Jones",no,"If you wanna sleep, you gotta wait until you're processed and sent to your cell upstairs.",Officer Jones,indoor,Jail waiting room,No sleeping; Buck & Grady
8490,339.6,"Mike, a man in a blue shirt asks the officer to be sent upstairs to a cell so he can sleep.",Mike is so tired he wants to be locked up so he can sleep.,"Mike, Earn, Officer Jones",no,"Man, can y'all please send me upstairs?  I'm so tired.",Mike,indoor,Jail waiting room,No sleeping; Buck & Grady
8580,343.2000000000001,"Officer Jones responds loudly that if the men wanted to sleep, they should not have been arrested.",The officers and system assume the detainees' guilt.,"Earn, Mike, Officer Jones",no,"No! If you wanted to sleep, you should've thought about that before you came to jail.",Officer Jones,indoor,Jail waiting room,No sleeping; Buck & Grady
8655,346.2000000000001,"Officer Jones walks away. Buck, a man in an orange shirt complains to Earn",Earn looks puzzled at what Officer Jones said.,"Earn, Officer Jones",no,"I don't believe this. Ridiculous, man.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
8754,350.16,Officer Jones walks away. Buck turns around to talk to Earn.,,"Earn, Officer Jones, Buck",no,,,indoor,Jail waiting room,No sleeping; Buck & Grady
8814,352.56,Buck asks Earn why he is in jail.,,"Buck, Earn, Officer Jones, Grady",no,"What'd you, uh, what'd you do to get in here?",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
8854,354.16,Earn begins to answer.,,Earn,no,Umm,Earn,indoor,Jail waiting room,No sleeping; Buck & Grady
8916,356.6400000000001,Buck cuts Earn off and starts complaining animatedly.,Buck is frustrated.,"Buck, Earn, Grady",no,"Damn man, I should've just went home, boy.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9005,360.2000000000001,Buck continues talking to Earn,,"Buck, Earn, Grady",no,"Shit, instead I'm in here locked up with this fool I ain't seen in about eleven years, man.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9109,364.36,"Earn stares at Buck. Buck seems to be drunk, slurring his words and not speaking clearly.",,Earn,no,"I was at Five Points about to catch a bus, you feel me? And this nigga I ain't",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9207,368.28,"Buck tells his story, but his words are difficult to understand.",,"Buck, Earn, Grady",no,"Seen in eleven years come up, talking about, 'Man, listen. Boy, I ain't seen you in about eleven years, boy. Let's hang out. You know, get a beer.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9344,373.7600000000001,Buck tells Earn how his friend Grady is responsible for him being arrested.,,"Buck, Earn, Grady",no,"So I follow him to the goddamn gas station. We get two beers. Ain't get but two of them, but they were the big ones, though. They were the big ones.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9467,378.68,Buck says his friend convinced him to go drink at his house.,,"Buck, Grady",no,"Anyway, so, nigga like 'man, come on, let's go- go to the house and drink them.'",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9543,381.72,Buck says he and his friend decided to drink on the porch.,,"Buck, Grady",no,"So, we get to the house and he's like, 'Man, my old lady ain't here so we gotta drink them on the porch.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9634,385.36,Earn blinks tiredly. Buck says he was worried about being caught by the police,,Earn,no,"I'm like 'Boy, A.P.D. be rolling through here, boy.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9694,387.7600000000001,Buck says his friend talked him into drinking in public and the police came and arrested them.,,"Buck, Grady",no,"And he done talked me into it, so sure enough, A.P.D done rolled up and seen the goddamn two cans out there. Locked me up for public",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9843,393.72,Earn stares tiredly and silently listens to the story.,,Earn,no,intoxication. [inaudible],Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
9905,396.2000000000001,Buck says he is in jail because of his friend.,Buck is frustrated and agitated,"Buck, Grady",no,"Now I'm in here, man, cause of this nigga, man. I ain't seen him in eleven years, man.",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
10004,400.16,Buck says he will be in jail until Tuesday because he will not have the money to post bail until he is paid.,,"Buck, Grady",no,I'm gonna be in here until Tuesday cause I ain't cash my check.,Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
10049,401.96,Earn looks up at Buck and sympathizes.,"Earn is suddenly more interested now, hearing how the prison system cornered Buck into an unfair situation.",Earn,no,That's messed up.,Earn,indoor,Jail waiting room,No sleeping; Buck & Grady
10106,404.24,Buck yells loudly that he should have just gone home.,Buck is frustrated at himself and the unfairness of his situation.,"Buck, Grady",no,"Ah, man, I should've went home, boy! Shit!",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
10183,407.32000000000005,"A man in a green shirt sitting in front of Buck, who was the friend named Grady he was arrested with, turns around and apologizes.",Grady also appears slightly drunk.,"Grady, Buck",no,"Damn, man, I said I was sorry. I just ain't seen you in, like, twelve years though.",Grady,indoor,Jail waiting room,No sleeping; Buck & Grady
10311,412.44,"Buck cuts Grady off, points at him, and yells at him to shut up.",,"Buck, Grady, Earn",no,"Man, fuck you, Grady! Shut up!",Buck,indoor,Jail waiting room,No sleeping; Buck & Grady
