Frame	Time	Scene info	Scene info:narrative details - external	Scene info:narrative details - internal	Scene info:characters on screen	Scene info:Music Presence	speech	speech:transcription	speech:character speaking	setting	setting:indoor/outdoor	setting:setting	Scene name	Scene name:scene name	
116	4.640000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
117	4.680000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
118	4.720000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
119	4.760000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
120	4.800000000000001	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
121	4.84	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
122	4.88	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
123	4.92	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
124	4.96	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
125	5.0	1	Fade into the bright sun and pan to Michael Bluth, standing on a boat, wearing a suit. Orange County, California is written on the screen.	0	Michael	1	1	0	0	1	2	Family boat party	1	Introducing the Bluths	
126	5.04	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
127	5.08	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
128	5.12	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
129	5.16	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
130	5.2	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
131	5.24	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
132	5.28	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
133	5.32	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
134	5.36	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
135	5.4	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
136	5.44	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
137	5.48	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
138	5.5200000000000005	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
139	5.5600000000000005	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
140	5.6000000000000005	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
141	5.640000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
142	5.680000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
143	5.720000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
144	5.760000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
145	5.800000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
146	5.840000000000001	1	Michael stands, leaning on the railing of the boat, looking out over the water. Michael Bluth Manager / The Bluth Company is written on the screen. The narrator introduces him.	0	Michael	1	1	"This is Michael Bluth."	Narrator	1	2	Family boat party	1	Introducing the Bluths	
